number	plate_info	area	mean	IntDen	median	RawIntDen	slice	length	seedling	genotype	KNO3	plate
1	plate1-1mM-35sluc_luc_120s.tif:0238-0050	1582	349.949	553618.692	317.848	553618.692	1	224.989	seedling1	35s:luc	1mM	plate1
2	plate1-1mM-35sluc_luc_120s.tif:0224-0093	1470	360.711	530244.822	323.498	530244.822	1	208.982	seedling2	35s:luc	1mM	plate1
3	plate1-1mM-35sluc_luc_120s.tif:0211-0167	1435	365.369	524305.049	324.262	524305.049	1	203.986	seedling3	35s:luc	1mM	plate1
4	plate1-1mM-35sluc_luc_120s.tif:0237-0202	1645	372.012	611959.587	335.564	611959.587	1	233.99	seedling4	35s:luc	1mM	plate1
5	plate1-1mM-35sluc_luc_120s.tif:0216-0273	1393	375.168	522609.456	328.199	522609.456	1	197.994	seedling5	35s:luc	1mM	plate1
6	plate1-1mM-35sluc_luc_120s.tif:0216-0338	1428	367.538	524844.422	323.869	524844.422	1	202.988	seedling6	35s:luc	1mM	plate1
7	plate1-1mM-35sluc_luc_120s.tif:0231-0379	1575	366.404	577086.634	328.629	577086.634	1	223.998	seedling7	35s:luc	1mM	plate1
8	plate1-1mM-35sluc_luc_120s.tif:0215-0442	1323	354.855	469473.261	320.505	469473.261	1	187.994	seedling8	35s:luc	1mM	plate1
9	plate1-1mM-35sluc_luc_120s.tif:0085-0185	1505	287.98	433409.287	287.985	433409.287	1	214	background	35s:luc	1mM	plate1
10	plate1-1mM-35sluc_luc_120s.tif:0249-0241	1456	289.911	422111.116	289.948	422111.116	1	207	background	35s:luc	1mM	plate1
11	plate1-1mM-35sluc_luc_120s.tif:0351-0373	1372	288.93	396412.261	288.942	396412.261	1	195	background	35s:luc	1mM	plate1
1	plate2-1mM-35sluc_luc_120s.tif:0223-0075	1582	350.003	553704.739	318.145	553704.739	1	224.991	seedling9	35s:luc	1mM	plate2
2	plate2-1mM-35sluc_luc_120s.tif:0207-0121	1323	345.79	457480.618	314.248	457480.618	1	187.986	seedling10	35s:luc	1mM	plate2
3	plate2-1mM-35sluc_luc_120s.tif:0215-0171	1407	362.496	510031.804	324.991	510031.804	1	199.991	seedling11	35s:luc	1mM	plate2
4	plate2-1mM-35sluc_luc_120s.tif:0214-0230	1330	363.607	483596.65	323.954	483596.65	1	188.999	seedling12	35s:luc	1mM	plate2
5	plate2-1mM-35sluc_luc_120s.tif:0210-0355	1337	350.189	468202.309	317.474	468202.309	1	189.995	seedling13	35s:luc	1mM	plate2
6	plate2-1mM-35sluc_luc_120s.tif:0218-0414	1442	362.233	522340.489	322.477	522340.489	1	204.994	seedling14	35s:luc	1mM	plate2
7	plate2-1mM-35sluc_luc_120s.tif:0207-0470	1239	351.99	436115.247	311.188	436115.247	1	175.998	seedling15	35s:luc	1mM	plate2
8	plate2-1mM-35sluc_luc_120s.tif:0207-0264	1463	288.149	421562.69	288.076	421562.69	1	208	background	35s:luc	1mM	plate2
9	plate2-1mM-35sluc_luc_120s.tif:0079-0158	1379	286.376	394912.427	286.36	394912.427	1	196	background	35s:luc	1mM	plate2
10	plate2-1mM-35sluc_luc_120s.tif:0334-0356	1386	287.557	398553.519	287.529	398553.519	1	197	background	35s:luc	1mM	plate2
1	plate3-1mM-35sluc_luc_120s.tif:0230-0059	1442	345.069	497589.923	310.492	497589.923	1	204.975	seedling16	35s:luc	1mM	plate3
