number	plate_info	area	mean	IntDen	median	RawIntDen	slice	length	seedling	genotype	KNO3	plate
1	plate1-35sluc-1mM-luc.tif:0207-0068	1990	312.653	622179.934	291.38	622179.934	1	197.996	seedling1	35s:luc	1mM	plate1
2	plate1-35sluc-1mM-luc.tif:0243-0112	2620	332.699	871671.402	302.524	871671.402	1	260.993	seedling2	35s:luc	1mM	plate1
3	plate1-35sluc-1mM-luc.tif:0234-0171	2410	334.286	805628.605	302.631	805628.605	1	239.993	seedling3	35s:luc	1mM	plate1
4	plate1-35sluc-1mM-luc.tif:0257-0228	2800	339.474	950526.602	307.995	950526.602	1	278.984	seedling4	35s:luc	1mM	plate1
5	plate1-35sluc-1mM-luc.tif:0214-0287	1950	327.061	637769.102	299.87	637769.102	1	193.998	seedling5	35s:luc	1mM	plate1
6	plate1-35sluc-1mM-luc.tif:0253-0359	2590	342.298	886552.245	310.557	886552.245	1	257.993	seedling6	35s:luc	1mM	plate1
7	plate1-35sluc-1mM-luc.tif:0261-0406	2610	340.279	888128.313	309.851	888128.313	1	259.996	seedling7	35s:luc	1mM	plate1
8	plate1-35sluc-1mM-luc.tif:0245-0455	2190	325.235	712264.429	299.351	712264.429	1	217.995	seedling8	35s:luc	1mM	plate1
9	plate1-35sluc-1mM-luc.tif:0082-0211	2490	282.596	703663.156	282.56	703663.156	1	248	background	35s:luc	1mM	plate1
10	plate1-35sluc-1mM-luc.tif:0400-0377	2080	283.671	590036.589	283.617	590036.589	1	207	background	35s:luc	1mM	plate1
11	plate1-35sluc-1mM-luc.tif:0243-0324	2180	284.722	620693.05	284.742	620693.05	1	217	background	35s:luc	1mM	plate1
1	plate2-35sluc-1mM-luc.tif:0270-0062	2920	322.4	941408.607	295.676	941408.607	1	290.988	seedling9	35s:luc	1mM	plate2
2	plate2-35sluc-1mM-luc.tif:0257-0113	2660	323.357	860128.779	296.711	860128.779	1	264.993	seedling10	35s:luc	1mM	plate2
3	plate2-35sluc-1mM-luc.tif:0261-0189	2760	331.428	914740.29	303.973	914740.29	1	274.989	seedling11	35s:luc	1mM	plate2
4	plate2-35sluc-1mM-luc.tif:0262-0235	2810	335.255	942066.291	303.529	942066.291	1	279.987	seedling12	35s:luc	1mM	plate2
5	plate2-35sluc-1mM-luc.tif:0266-0275	2890	333.788	964647.123	306.528	964647.123	1	287.99	seedling13	35s:luc	1mM	plate2
6	plate2-35sluc-1mM-luc.tif:0268-0364	2930	333.261	976453.82	305.394	976453.82	1	291.988	seedling14	35s:luc	1mM	plate2
7	plate2-35sluc-1mM-luc.tif:0250-0396	2540	336.032	853522.396	306.099	853522.396	1	252.995	seedling15	35s:luc	1mM	plate2
8	plate2-35sluc-1mM-luc.tif:0262-0455	2800	330.912	926554.083	302.439	926554.083	1	278.996	seedling16	35s:luc	1mM	plate2
9	plate2-35sluc-1mM-luc.tif:0251-0150	2610	281.047	733533.401	281.048	733533.401	1	260	background	35s:luc	1mM	plate2
10	plate2-35sluc-1mM-luc.tif:0093-0237	1900	279.681	531393.891	279.736	531393.891	1	189	background	35s:luc	1mM	plate2
11	plate2-35sluc-1mM-luc.tif:0435-0358	2500	280.497	701242.306	280.493	701242.306	1	249	background	35s:luc	1mM	plate2
1	plate3-35sluc-1mM-luc.tif:0280-0083	2800	319.381	894266.527	292.021	894266.527	1	278.977	seedling17	35s:luc	1mM	plate3
2	plate3-35sluc-1mM-luc.tif:0238-0131	1890	307.025	580277.299	287.654	580277.299	1	187.999	seedling18	35s:luc	1mM	plate3
3	plate3-35sluc-1mM-luc.tif:0270-0188	2520	332.424	837709.016	299.802	837709.016	1	250.991	seedling19	35s:luc	1mM	plate3
4	plate3-35sluc-1mM-luc.tif:0272-0257	2780	328.399	912948.361	302.702	912948.361	1	276.98	seedling20	35s:luc	1mM	plate3
5	plate3-35sluc-1mM-luc.tif:0290-0313	2910	315.992	919535.941	303.38	919535.941	1	289.989	seedling21	35s:luc	1mM	plate3
6	plate3-35sluc-1mM-luc.tif:0275-0356	2770	332.228	920272.016	303.848	920272.016	1	275.981	seedling22	35s:luc	1mM	plate3
7	plate3-35sluc-1mM-luc.tif:0287-0420	2710	322.284	873389.719	300.125	873389.719	1	269.987	seedling23	35s:luc	1mM	plate3
8	plate3-35sluc-1mM-luc.tif:0275-0480	2630	315.347	829363.774	296.859	829363.774	1	261.995	seedling24	35s:luc	1mM	plate3
9	plate3-35sluc-1mM-luc.tif:0273-0160	2520	278.918	702873.699	278.971	702873.699	1	251	background	35s:luc	1mM	plate3
10	plate3-35sluc-1mM-luc.tif:0080-0191	2240	277.41	621399.299	277.406	621399.299	1	223	background	35s:luc	1mM	plate3
11	plate3-35sluc-1mM-luc.tif:0467-0377	2130	279.145	594578.165	279.144	594578.165	1	212	background	35s:luc	1mM	plate3
1	plate4-35sluc-1mM-luc.tif:0245-0070	2670	322.436	860903.94	290.829	860903.94	1	265.993	seedling25	35s:luc	1mM	plate4
2	plate4-35sluc-1mM-luc.tif:0241-0115	2490	322.315	802564.209	293.426	802564.209	1	247.996	seedling26	35s:luc	1mM	plate4
3	plate4-35sluc-1mM-luc.tif:0259-0182	2880	333.552	960629.4	300.54	960629.4	1	286.969	seedling27	35s:luc	1mM	plate4
4	plate4-35sluc-1mM-luc.tif:0264-0256	2850	335.228	955400.658	304.083	955400.658	1	283.995	seedling28	35s:luc	1mM	plate4
5	plate4-35sluc-1mM-luc.tif:0265-0306	2750	333.539	917232.859	302.61	917232.859	1	273.98	seedling29	35s:luc	1mM	plate4
6	plate4-35sluc-1mM-luc.tif:0275-0367	3030	331.763	1005241.776	305.739	1005241.776	1	301.976	seedling30	35s:luc	1mM	plate4
7	plate4-35sluc-1mM-luc.tif:0230-0431	2310	321.89	743565.878	295.906	743565.878	1	229.97	seedling31	35s:luc	1mM	plate4
8	plate4-35sluc-1mM-luc.tif:0239-0475	2360	318.811	752393.353	294.251	752393.353	1	234.996	seedling32	35s:luc	1mM	plate4
9	plate4-35sluc-1mM-luc.tif:0312-0225	2500	278.704	696760.13	278.753	696760.13	1	249	background	35s:luc	1mM	plate4
10	plate4-35sluc-1mM-luc.tif:0077-0174	2090	276.068	576981.812	276.012	576981.812	1	208	background	35s:luc	1mM	plate4
11	plate4-35sluc-1mM-luc.tif:0430-0385	2300	277.779	638891.921	277.796	638891.921	1	229	background	35s:luc	1mM	plate4
1	plate1-35sluc-10mM-luc.tif:0266-0188	2570	319.729	821703.609	293.424	821703.609	1	255.996	seedling1	35s:luc	10mM	plate1
2	plate1-35sluc-10mM-luc.tif:0253-0226	2480	338.202	838741.989	303.916	838741.989	1	246.994	seedling2	35s:luc	10mM	plate1
3	plate1-35sluc-10mM-luc.tif:0250-0311	2510	323.192	811212.013	298.282	811212.013	1	249.986	seedling3	35s:luc	10mM	plate1
4	plate1-35sluc-10mM-luc.tif:0265-0362	2700	329.073	888496.981	300.501	888496.981	1	268.979	seedling4	35s:luc	10mM	plate1
5	plate1-35sluc-10mM-luc.tif:0287-0152	2290	277.563	635620.396	277.575	635620.396	1	228	background	35s:luc	10mM	plate1
6	plate1-35sluc-10mM-luc.tif:0085-0193	1830	275.542	504241.89	275.503	504241.89	1	182	background	35s:luc	10mM	plate1
7	plate1-35sluc-10mM-luc.tif:0412-0374	2090	277.363	579688.866	277.371	579688.866	1	208	background	35s:luc	10mM	plate1
1	plate2-35sluc-10mM-luc.tif:0224-0046	2360	311.675	735552.83	283.372	735552.83	1	234.985	seedling5	35s:luc	10mM	plate2
2	plate2-35sluc-10mM-luc.tif:0238-0104	2560	322.439	825444.178	291.272	825444.178	1	254.981	seedling6	35s:luc	10mM	plate2
3	plate2-35sluc-10mM-luc.tif:0233-0179	2520	329.883	831306.006	295.551	831306.006	1	250.99	seedling7	35s:luc	10mM	plate2
