number	plate_info	area	mean	IntDen	median	RawIntDen	slice	length	seedling	genotype	KNO3	plate
1	p35S_1mM_plate1_luc.tif:0145-0201	1409	1350.463	1902802	1125	1902802	1	175.108	seedling1	35s:luc	1mM	plate1
2	p35S_1mM_plate1_luc.tif:0136-0255	1255	1286.897	1615056	1102	1615056	1	156.337	seedling2	35s:luc	1mM	plate1
3	p35S_1mM_plate1_luc.tif:0148-0310	1436	1296.32	1861516	1108	1861516	1	179.002	seedling3	35s:luc	1mM	plate1
4	p35S_1mM_plate1_luc.tif:0149-0366	1493	1321.421	1972882	1107	1972882	1	185.937	seedling4	35s:luc	1mM	plate1
5	p35S_1mM_plate1_luc.tif:0145-0418	1406	1307.012	1837659	1109	1837659	1	175.589	seedling5	35s:luc	1mM	plate1
6	p35S_1mM_plate1_luc.tif:0167-0465	1668	1338.18	2232085	1138	2232085	1	207.607	seedling6	35s:luc	1mM	plate1
7	p35S_1mM_plate1_luc.tif:0175-0515	1880	1379.596	2593641	1154	2593641	1	233.782	seedling7	35s:luc	1mM	plate1
8	p35S_1mM_plate1_luc.tif:0170-0574	1725	1343.288	2317172	1140	2317172	1	214.987	seedling8	35s:luc	1mM	plate1
9	p35S_1mM_plate1_luc.tif:0151-0288	1448	1043.95	1511639	1044	1511639	1	179.77	background	35s:luc	1mM	plate1
10	p35S_1mM_plate1_luc.tif:0176-0394	1196	1048.661	1254198	1050	1254198	1	148.355	background	35s:luc	1mM	plate1
11	p35S_1mM_plate1_luc.tif:0171-0612	1651	1038.009	1713753	1038	1713753	1	205.412	background	35s:luc	1mM	plate1
1	p35S_1mM_plate2_luc.tif:0186-0223	1709	1335.637	2282604	1122	2282604	1	212.423	seedling9	35s:luc	1mM	plate2
2	p35S_1mM_plate2_luc.tif:0190-0260	1635	1477.352	2415471	1190	2415471	1	203.303	seedling10	35s:luc	1mM	plate2
3	p35S_1mM_plate2_luc.tif:0160-0323	1239	1223.65	1516102	1085	1516102	1	153.966	seedling11	35s:luc	1mM	plate2
4	p35S_1mM_plate2_luc.tif:0168-0369	1448	1317.431	1907640	1110	1907640	1	180.062	seedling12	35s:luc	1mM	plate2
5	p35S_1mM_plate2_luc.tif:0177-0424	1511	1356.727	2050015	1122	2050015	1	187.895	seedling13	35s:luc	1mM	plate2
6	p35S_1mM_plate2_luc.tif:0164-0485	1435	1283.962	1842485	1106	1842485	1	178.254	seedling14	35s:luc	1mM	plate2
7	p35S_1mM_plate2_luc.tif:0170-0533	1700	1344.745	2286066	1149	2286066	1	211.911	seedling15	35s:luc	1mM	plate2
8	p35S_1mM_plate2_luc.tif:0200-0579	1943	1439.338	2796634	1202	2796634	1	242.51	seedling16	35s:luc	1mM	plate2
9	p35S_1mM_plate2_luc.tif:0182-0298	1331	1045.258	1391238	1044	1391238	1	164.407	background	35s:luc	1mM	plate2
10	p35S_1mM_plate2_luc.tif:0174-0400	1377	1046.409	1440905	1046	1440905	1	171.181	background	35s:luc	1mM	plate2
11	p35S_1mM_plate2_luc.tif:0202-0616	1526	1043.01	1591633	1043	1591633	1	189.791	background	35s:luc	1mM	plate2
1	p35S_1mM_plate3_luc.tif:0137-0193	1458	1332.357	1942576	1117	1942576	1	181.017	seedling17	35s:luc	1mM	plate3
2	p35S_1mM_plate3_luc.tif:0142-0264	1468	1321.817	1940428	1106	1940428	1	182.916	seedling18	35s:luc	1mM	plate3
3	p35S_1mM_plate3_luc.tif:0133-0302	1325	1291.297	1710968	1107	1710968	1	164.765	seedling19	35s:luc	1mM	plate3
