gene	Rcor	name	type	Pcor	Pthreshold
AT1G01090	0.3747826086956521	PDH_E1_ALPHA	Glycolysis	0.07115916006574713	more0.05
AT1G09780	0.020869565217391303	2,3_biphosphoglycerate_independent_phosphoglycerate_mutase,_putative	Glycolysis	0.9228917031216202	more0.05
AT1G12000	0.5243478260869564	Pyrophosphate__fructose_6_phosphate_1_phosphotransferase_beta_subunit,_putative	Glycolysis	0.008531088861189784	less0.05
AT1G13440	0.6495652173913042	GAPC_2	Glycolysis	5.925876293559374e-4	less0.05
AT1G20950	0.6504347826086956	Pyrophosphate__fructose_6_phosphate_1_phosphotransferase_related	Glycolysis	5.793122865606899e-4	less0.05
AT1G23190	0.13391304347826086	Phosphoglucomutase,_cytoplasmic,_putative	Glycolysis	0.5327356259700111	more0.05
AT1G24180	0.6269565217391304	IAR4	Glycolysis	0.0010432148096174785	less0.05
AT1G30120	-0.015652173913043476	PDH_E1_BETA	Glycolysis	0.9421320594035385	more0.05
AT1G34430	0.4234782608695652	EMB3003	Glycolysis	0.03920394759394162	less0.05
AT1G43670	-0.22086956521739126	Fructose_1,6_bisphosphatase,_putative	Glycolysis	0.29966517423017214	more0.05
AT1G48030	0.39565217391304347	MTLPD1	Glycolysis	0.05565238288922822	more0.05
AT1G50460	-0.4234782608695652	Hexokinase	Glycolysis	0.03920394759394162	less0.05
AT1G53310	0.48608695652173906	ATPPC1	Glycolysis	0.016026057350818978	less0.05
AT1G54220	0.23913043478260868	Dihydrolipoamide_S_acetyltransferase	Glycolysis	0.260427936802927	more0.05
AT1G70730	0.22521739130434779	Phosphoglucomutase,_cytoplasmic,_putative	Glycolysis	0.2900074275938715	more0.05
AT1G74030	0.6339130434782607	Enolase	Glycolysis	8.807081227086998e-4	less0.05
AT1G79550	0.6208695652173912	PGK	Glycolysis	0.0012059039024496906	less0.05
AT2G22480	0.34086956521739126	Phosphofructokinase	Glycolysis	0.10309920611122547	more0.05
AT2G24270	-0.08782608695652172	ALDH11A3	Glycolysis	0.6832152692148052	more0.05
AT2G29560	0.3434782608695652	Enolase	Glycolysis	0.10032049069469845	more0.05
AT2G36530	0.2469565217391304	LOS2	Glycolysis	0.24467584594576183	more0.05
AT2G36580	0.31652173913043474	Pyruvate_kinase	Glycolysis	0.13183422455052596	more0.05
AT2G42600	0.1408695652173913	ATPPC2	Glycolysis	0.511462281884675	more0.05
AT3G13930	0.5260869565217391	Dihydrolipoamide_S_acetyltransferase	Glycolysis	0.008275921894264552	less0.05
AT3G14940	0.7278260869565216	ATPPC3	Glycolysis	5.5550867380989585e-5	less0.05
AT3G16950	-0.07652173913043478	LPD1	Glycolysis	0.7222991032128188	more0.05
AT3G17240	0.08347826086956521	LPD2	Glycolysis	0.6981606006787422	more0.05
AT3G22960	0.007826086956521738	PKP_ALPHA/PKP1	Glycolysis	0.9710483085120961	more0.05
AT3G49160	-0.4721739130434782	Pyruvate_kinase	Glycolysis	0.01982262541735267	less0.05
AT3G52200	0.1652173913043478	LTA3	Glycolysis	0.4404029231283094	more0.05
AT3G52930	0.7217391304347825	Fructose_bisphosphate_aldolase	Glycolysis	6.865036731420533e-5	less0.05
AT3G52990	0.49304347826086947	Pyruvate_kinase	Glycolysis	0.014363733768170048	less0.05
AT3G55440	0.22782608695652173	ATCTIMC	Glycolysis	0.28430742700718314	more0.05
AT4G04040	-0.6956521739130433	MEE51	Glycolysis	1.605234935555157e-4	less0.05
AT4G17260	0.5617391304347825	L_lactate_dehydrogenase	Glycolysis	0.004283140443219152	less0.05
AT4G24620	0.6339130434782607	PGI1	Glycolysis	8.807081227086998e-4	less0.05
AT4G26520	0.288695652173913	Fructose_bisphosphate_aldolase	Glycolysis	0.17126415242206866	more0.05
AT4G29220	-0.1652173913043478	Phosphofructokinase	Glycolysis	0.4404029231283094	more0.05
AT4G32840	0.36521739130434777	Phosphofructokinase	Glycolysis	0.079279890610089	more0.05
AT5G08570	-0.13565217391304346	Pyruvate_kinase	Glycolysis	0.5273785419058558	more0.05
AT5G17310	0.19217391304347822	UTP__glucose_1_phosphate_uridylyltransferase,_putative	Glycolysis	0.3683204887556273	more0.05
AT5G17380	-0.31304347826086953	Pyruvate_decarboxylase	Glycolysis	0.13636745841746573	more0.05
AT5G42740	0.23565217391304344	PGIC	Glycolysis	0.2676335104066906	more0.05
AT5G50850	0.08695652173913042	MAB1	Glycolysis	0.6861953252985288	more0.05
AT5G51820	0.07565217391304346	PGM	Glycolysis	0.7253351223309569	more0.05
AT5G52920	0.07652173913043478	PKP_BETA1	Glycolysis	0.7222991032128188	more0.05
AT5G56350	0.3860869565217391	Pyruvate_kinase	Glycolysis	0.06239715956765039	more0.05
AT5G63680	-0.11304347826086955	Pyruvate_kinase	Glycolysis	0.5989404349055966	more0.05
AT1G02500	0.16782608695652174	SAM1	Asp_family_pathway	0.4331165526494354	more0.05
AT1G08630	-0.4234782608695652	THA1	Asp_family_pathway	0.03920394759394162	less0.05
AT1G10070	-0.1991304347826087	BCAT2	Asp_family_pathway	0.3508987130768874	more0.05
AT1G14810	-0.23652173913043473	ASDDH	Asp_family_pathway	0.2658202941596179	more0.05
AT1G31230	0.08608695652173912	AK_HSDHI	Asp_family_pathway	0.6891799258775775	more0.05
AT1G64660	-0.07826086956521738	MGL	Asp_family_pathway	0.7162392905010877	more0.05
AT1G72810	-0.21304347826086953	TS	Asp_family_pathway	0.31754525245129106	more0.05
AT2G17265	8.695652173913042e-4	HSK	Asp_family_pathway	0.9967824967252695	more0.05
AT2G36880	0.3495652173913043	MAT3	Asp_family_pathway	0.09405311883595954	more0.05
AT2G44040	0.2295652173913043	DHDPR	Asp_family_pathway	0.28054687940936796	more0.05
AT3G01120	-0.2295652173913043	CGS1	Asp_family_pathway	0.28054687940936796	more0.05
AT3G02020	0.1034782608695652	AK	Asp_family_pathway	0.6303950708493536	more0.05
AT3G03780	0.03478260869565217	AtMS2	Asp_family_pathway	0.8718168719786575	more0.05
AT3G10050	-0.44434782608695644	TD	Asp_family_pathway	0.02960094733111683	less0.05
AT3G14390	0.027826086956521733	DAPD	Asp_family_pathway	0.8973048186218165	more0.05
AT3G19710	-0.3260869565217391	BCAT4	Asp_family_pathway	0.11992916225916489	more0.05
AT3G25900	0.2539130434782608	HMT_1	Asp_family_pathway	0.23120736516745433	more0.05
AT3G45300	-0.7043478260869565	IVDH	Asp_family_pathway	1.2214433051770522e-4	less0.05
AT3G47340	-0.21304347826086953	ASN1	Asp_family_pathway	0.31754525245129106	more0.05
AT3G48560	-0.38956521739130434	CSR1	Asp_family_pathway	0.05987547937487062	more0.05
AT3G49680	-0.448695652173913	BCAT3	Asp_family_pathway	0.027860041901524836	less0.05
AT3G53580	0.07478260869565216	DAPE	Asp_family_pathway	0.7283751615575546	more0.05
AT3G57050	-0.40086956521739125	CBL	Asp_family_pathway	0.052219460821296235	more0.05
AT3G58610	-0.2660869565217391	KARI	Asp_family_pathway	0.2088362148101019	more0.05
AT3G59890	-0.11304347826086955	DHDPR	Asp_family_pathway	0.5989404349055966	more0.05
AT4G01850	0.3217391304347825	SAM_2	Asp_family_pathway	0.12523945866486338	more0.05
AT4G13940	0.37043478260869556	SAHH	Asp_family_pathway	0.07476791686884622	more0.05
AT4G19710	0.18521739130434778	AK_HSDHII	Asp_family_pathway	0.38623268190217497	more0.05
AT4G29840	-0.5469565217391303	MTO2	Asp_family_pathway	0.0056769654286377156	less0.05
AT4G33150	-0.5017391304347825	LKR/SDH	Asp_family_pathway	0.012487219414302106	less0.05
AT4G33680	0.3947826086956521	AGD2	Asp_family_pathway	0.056241135165238654	more0.05
AT5G08100	0.18260869565217389	L_asparaginase	Asp_family_pathway	0.3930749931122939	more0.05
AT5G10240	0.24782608695652172	ASN3	Asp_family_pathway	0.24296488702038951	more0.05
AT5G11880	0.11043478260869563	DAPD	Asp_family_pathway	0.6074532587517107	more0.05
AT5G13280	-0.23739130434782607	AK_LYS1	Asp_family_pathway	0.2640149612138324	more0.05
AT5G14060	0.3217391304347825	AK	Asp_family_pathway	0.12523945866486338	more0.05
AT5G16290	-0.07130434782608694	AHASS	Asp_family_pathway	0.7405746871767942	more0.05
AT5G17920	0.4060869565217391	ATCIMS	Asp_family_pathway	0.04895342898055778	less0.05
AT5G20980	0.011304347826086953	ATMS3	Asp_family_pathway	0.958190162801108	more0.05
AT5G21060	0.617391304347826	HSD	Asp_family_pathway	0.001308288230488702	less0.05
AT5G49810	0.35478260869565215	MMT	Asp_family_pathway	0.08891743107314605	more0.05
AT5G52100	0.07391304347826086	CRR1	Asp_family_pathway	0.7314191793924034	more0.05
AT5G65010	-0.5260869565217391	ASN2	Asp_family_pathway	0.008275921894264552	less0.05
AT5G65780	-0.07391304347826086	BCAT5	Asp_family_pathway	0.7314191793924034	more0.05
AT1G27450	0.12869565217391302	APT1	ATP_biosynthesis	0.5489587886992761	more0.05
AT1G80050	-0.2791304347826087	APT2	ATP_biosynthesis	0.1865379607570455	more0.05
AT2G37250	-0.1017391304347826	ADK1	ATP_biosynthesis	0.6361837822056855	more0.05
AT3G57610	-0.047826086956521734	ATPURA	ATP_biosynthesis	0.8243778236378612	more0.05
AT4G22570	0.4547826086956521	APT3	ATP_biosynthesis	0.025561579704034474	less0.05
AT5G11160	-0.17043478260869563	APT5	ATP_biosynthesis	0.4258955363074478	more0.05
AT5G47840	-0.2243478260869565	AMK2	ATP_biosynthesis	0.2919232059452404	more0.05
AT5G50370	0.07217391304347825	Adenylate_kinase	ATP_biosynthesis	0.7375189840952582	more0.05
AT5G63400	0.03304347826086956	ADK1	ATP_biosynthesis	0.8781782520387229	more0.05
AT1G03130	0.48260869565217385	PSAD_2	Photosynthesis	0.01691429925807832	less0.05
AT1G06680	0.5095652173913043	PSBP_1	Photosynthesis	0.010975435304819021	less0.05
AT1G08380	0.35999999999999993	PSAO	Photosynthesis	0.08399469645152523	more0.05
AT1G11860	0.46260869565217383	Glycine_cleavage_T_protein	Photosynthesis	0.02283303420531362	less0.05
AT1G12900	0.6808695652173912	GAPA_2	Photosynthesis	2.501749680520713e-4	less0.05
AT1G14030	-0.1843478260869565	Rubisco_methyltransferase	Photosynthesis	0.3885058997417008	more0.05
AT1G14150	0.19478260869565217	PnsL2	Photosynthesis	0.3617295619849087	more0.05
AT1G16300	0.13130434782608694	GAPCP_2	Photosynthesis	0.5408189353993528	more0.05
AT1G30380	0.46086956521739125	PSAK	Photosynthesis	0.023418069813248496	less0.05
AT1G31330	0.43999999999999995	PSAF	Photosynthesis	0.03142771515017862	less0.05
AT1G32060	0.2626086956521739	PRK	Photosynthesis	0.2150731700983779	more0.05
AT1G32470	-0.06521739130434781	Single_hybrid_motif_superfamily_protein	Photosynthesis	0.7620689398781237	more0.05
AT1G42970	0.30956521739130427	GAPB	Photosynthesis	0.14101146711310472	more0.05
AT1G44575	0.42608695652173906	NPQ4	Photosynthesis	0.0378843048123712	less0.05
AT1G52230	0.7034782608695651	PSAH2	Photosynthesis	1.2558146221205608e-4	less0.05
AT1G55670	0.6669565217391303	PSAG	Photosynthesis	3.71540181691457e-4	less0.05
AT1G56190	0.43217391304347824	Phosphoglycerate_kinase	Photosynthesis	0.034941536627697944	less0.05
AT1G67090	-0.002608695652173913	RBCS1A	Photosynthesis	0.9903476848039036	more0.05
AT1G67740	0.5321739130434782	PSBY	Photosynthesis	0.007432234862799791	less0.05
AT1G68010	0.027826086956521733	HPR	Photosynthesis	0.8973048186218165	more0.05
AT1G70580	-0.09739130434782609	AOAT2	Photosynthesis	0.6507456469889162	more0.05
AT1G79040	0.04695652173913043	PSBR	Photosynthesis	0.8275237958648595	more0.05
AT1G79530	0.47478260869565214	GAPCP_1	Photosynthesis	0.019060098667360647	less0.05
AT2G01140	0.5626086956521739	PDE345	Photosynthesis	0.004211057389435805	less0.05
AT2G06520	0.40782608695652167	PSBX	Photosynthesis	0.047900920569171994	less0.05
AT2G13360	-0.16782608695652174	AGT	Photosynthesis	0.4331165526494354	more0.05
AT2G20260	-0.07304347826086956	PSAE_2	Photosynthesis	0.7344671341768292	more0.05
AT2G21170	0.40782608695652167	TIM	Photosynthesis	0.047900920569171994	less0.05
AT2G21330	0.614782608695652	FBA1	Photosynthesis	0.0013898820033517814	less0.05
AT2G26080	0.1043478260869565	GLDP2	Photosynthesis	0.6275085807240484	more0.05
AT2G30570	0.17739130434782607	PSBW	Photosynthesis	0.4069625513971567	more0.05
AT2G35120	0.48608695652173906	Single_hybrid_motif_superfamily_protein	Photosynthesis	0.016026057350818978	less0.05
AT2G35370	0.05826086956521739	GDCH	Photosynthesis	0.7868436161547347	more0.05
AT2G45290	0.49565217391304345	Transketolase	Photosynthesis	0.013778010050266364	less0.05
AT2G46820	0.5495652173913043	PSI_P	Photosynthesis	0.005406579828666849	less0.05
AT3G01440	0.3791304347826086	PnsL3	Photosynthesis	0.06768466488200432	more0.05
AT3G04790	0.1234782608695652	EMB3119	Photosynthesis	0.5654049951421967	more0.05
AT3G12780	0.208695652173913	PGK1	Photosynthesis	0.3277534837670476	more0.05
