AGI	nitrate_response_nlp7_compared_wt	type
AT5G25280	up	NLP7_target
AT5G17860	up	NLP7_target
AT3G63010	up	NLP7_target
AT5G20230	up	NLP7_target
AT3G15500	up	NLP7_target
AT3G26510	up	NLP7_target
AT3G45140	up	NLP7_target
AT3G51660	up	NLP7_target
AT2G34500	up	NLP7_target
AT5G14730	up	NLP7_target
AT4G26200	up	NLP7_target
AT3G12920	up	NLP7_target
AT5G25350	up	NLP7_target
AT4G37530	up	NLP7_target
AT2G30550	up	NLP7_target
AT5G59820	up	NLP7_target
AT5G13080	up	NLP7_target
AT3G50260	up	NLP7_target
AT4G37520	up	NLP7_target
AT2G44080	up	NLP7_target
AT4G17500	up	NLP7_target
AT4G20000	up	NLP7_target
AT5G47220	up	NLP7_target
AT2G18690	up	NLP7_target
AT3G44720	up	NLP7_target
AT1G51680	complex	NLP7_target
AT2G44370	complex	NLP7_target
AT4G23700	complex	NLP7_target
AT1G75750	complex	NLP7_target
AT4G36010	up	NLP7_target
AT3G55980	up	NLP7_target
AT3G57450	complex	NLP7_target
AT4G38340	down	NLP7_target
AT3G07350	down	NLP7_target
AT3G11410	down	NLP7_target
AT2G27510	down	NLP7_target
AT5G35630	down	NLP7_target
AT5G04840	down	NLP7_target
AT5G50200	down	NLP7_target
AT5G58320	down	NLP7_target
AT3G60750	down	NLP7_target
AT5G47560	down	NLP7_target
AT1G70410	down	NLP7_target
AT3G19030	down	NLP7_target
AT5G40850	down	NLP7_target
AT1G77760	down	NLP7_target
AT2G15620	down	NLP7_target
AT1G80840	up	NLP7_target
AT4G36670	up	NLP7_target
AT1G09070	up	NLP7_target
AT5G49520	up	NLP7_target
AT2G40140	up	NLP7_target
AT4G36500	up	NLP7_target
AT2G38470	up	NLP7_target
AT1G32928	up	NLP7_target
AT3G62260	up	NLP7_target
AT4G20860	up	NLP7_target
AT2G35930	up	NLP7_target
AT2G27500	up	NLP7_target
AT4G23010	up	NLP7_target
AT5G01540	up	NLP7_target
AT1G12940	up	NLP7_target
AT2G31880	up	NLP7_target
AT2G36690	complex	NLP7_target
AT5G22630	complex	NLP7_target
AT1G32920	complex	NLP7_target
AT4G13395	complex	NLP7_target
AT2G22510	down	NLP7_target
AT1G67920	down	NLP7_target
AT4G34770	down	NLP7_target
AT2G25490	down	NLP7_target
AT5G14040	down	NLP7_target
AT5G40470	down	NLP7_target
AT4G32940	down	NLP7_target
AT4G34800	down	NLP7_target
AT1G07150	down	NLP7_target
AT1G13245	down	NLP7_target
AT5G64560	down	NLP7_target
AT5G09800	down	NLP7_target
AT4G15550	down	NLP7_target
AT3G53260	down	NLP7_target
AT3G19680	up	NLP7_target
AT1G54740	up	NLP7_target
AT4G34740	up	NLP7_target
AT3G23210	down	NLP7_target
AT1G08090	down	NRT2.1
AT1G73600	down	NLP7_target
AT1G80380	down	NLP7_target
AT2G41560	down	NLP7_target
AT3G16150	down	NLP7_target
AT2G38170	down	NLP7_target
