gene	name	type
AT1G01220	GT	cell_wall
AT1G01390	GT1	cell_wall
AT1G01420	GT1	cell_wall
AT1G01570	GT31	cell_wall
AT1G02145	GT22	cell_wall
AT1G02310	GH5	cell_wall
AT1G02360	GH19	cell_wall
AT1G02405	Ext	cell_wall
AT1G02460	GH28	cell_wall
AT1G02550	CE	cell_wall
AT1G02640	CBM/GH3	cell_wall
AT1G02720	GT8	cell_wall
AT1G02730	GT2/CI	cell_wall
AT1G02790	GH28	cell_wall
AT1G02800	GH9	cell_wall
AT1G02810	CE8	cell_wall
AT1G02850	CBM/GH1	cell_wall
AT1G03310	GH13	cell_wall
AT1G03520	GT14	cell_wall
AT1G04010	GT	cell_wall
AT1G04680	PL1	cell_wall
AT1G04910	GTnc	cell_wall
AT1G04920	GT4	cell_wall
AT1G05150	GTnc	cell_wall
AT1G05170	GT31	cell_wall
AT1G05240	AA	cell_wall
AT1G05250	AA	cell_wall
AT1G05260	AA	cell_wall
AT1G05280	GT31	cell_wall
AT1G05310	CE8/CI	cell_wall
AT1G05530	GT1	cell_wall
AT1G05560	GT1	cell_wall
AT1G05570	CBM/GT48	cell_wall
AT1G05590	GH20	cell_wall
AT1G05650	GH28	cell_wall
AT1G05660	GH28	cell_wall
AT1G05670	GT1	cell_wall
AT1G05680	GT1	cell_wall
AT1G05850	GH19	cell_wall
AT1G06000	GT1	cell_wall
AT1G06020	GH	cell_wall
AT1G06030	GH	cell_wall
AT1G06410	GT20	cell_wall
AT1G06490	CBM/GT48	cell_wall
AT1G06780	GT8	cell_wall
AT1G07220	GT90	cell_wall
AT1G07240	GT1	cell_wall
AT1G07250	GT1	cell_wall
AT1G07260	GT1	cell_wall
AT1G07460	AA	cell_wall
AT1G07650	CBM57	cell_wall
AT1G07850	GT31	cell_wall
AT1G07890	AA	cell_wall
AT1G08040	GTnc	cell_wall
AT1G08280	GT29	cell_wall
AT1G08660	GT29	cell_wall
AT1G08990	GT8	cell_wall
AT1G09010	GH2	cell_wall
AT1G09020	CBM48	cell_wall
AT1G09350	GT8	cell_wall
AT1G09370	CE	cell_wall
AT1G09460	CBM43	cell_wall
AT1G09550	CE13	cell_wall
AT1G09880	PL4	cell_wall
AT1G09890	PL4	cell_wall
AT1G09910	PL4	cell_wall
AT1G10050	GH10	cell_wall
AT1G10280	GTnc	cell_wall
AT1G10400	GT1	cell_wall
AT1G10550	GH16	cell_wall
AT1G10640	GH28	cell_wall
AT1G10760	CBM45	cell_wall
AT1G10770	CE	cell_wall
AT1G10880	GTnc	cell_wall
AT1G11170	GTnc	cell_wall
AT1G11362	CE	cell_wall
AT1G11370	CE8	cell_wall
AT1G11410	AA	cell_wall
AT1G11545	GH/GH16	cell_wall
AT1G11580	CE8	cell_wall
AT1G11590	CE8	cell_wall
AT1G11593	CE	cell_wall
AT1G11720	GT5	cell_wall
AT1G11730	GT31	cell_wall
AT1G11820	GH17	cell_wall
AT1G11880	GT76	cell_wall
AT1G11920	PL1	cell_wall
AT1G11940	GTnc	cell_wall
AT1G11990	GTnc	cell_wall
AT1G12040	Ext	cell_wall
AT1G12240	GH32	cell_wall
AT1G12560	CBM	cell_wall
AT1G12990	GT17	cell_wall
AT1G13000	GTnc	cell_wall
AT1G13130	GH5	cell_wall
AT1G13250	GT8	cell_wall
AT1G13830	CBM43	cell_wall
AT1G14020	GTnc	cell_wall
AT1G14070	GT37	cell_wall
AT1G14080	GT37	cell_wall
AT1G14100	GT37	cell_wall
AT1G14110	GT37	cell_wall
AT1G14420	PL1	cell_wall
AT1G14540	AA	cell_wall
AT1G14550	AA	cell_wall
AT1G14590	GT77	cell_wall
AT1G14720	GH16	cell_wall
AT1G14870	CE	cell_wall
AT1G14880	CE	cell_wall
AT1G14890	CE	cell_wall
AT1G14970	GTnc	cell_wall
AT1G15530	AA	cell_wall
AT1G15980	GT9	cell_wall
AT1G16570	GT33	cell_wall
AT1G16860	CI	cell_wall
AT1G16900	GT22	cell_wall
AT1G16980	GT20	cell_wall
AT1G17000	GT20	cell_wall
AT1G17150	GH28	cell_wall
AT1G17270	GT68	cell_wall
AT1G18310	GH81	cell_wall
AT1G18580	GT8	cell_wall
AT1G18650	CBM43	cell_wall
AT1G18690	GT34	cell_wall
AT1G19170	GH28	cell_wall
AT1G19300	GT8	cell_wall
AT1G19360	GT77	cell_wall
AT1G19710	GT4	cell_wall
AT1G19940	GH9	cell_wall
AT1G20130	Ext	cell_wall
AT1G20190	CBM	cell_wall
AT1G20550	GTnc	cell_wall
AT1G20575	GT2	cell_wall
AT1G21310	Ext	cell_wall
AT1G21480	GT47	cell_wall
AT1G22015	GT31	cell_wall
AT1G22340	GT1	cell_wall
AT1G22360	GT1	cell_wall
AT1G22370	GT1	cell_wall
AT1G22380	GT1	cell_wall
AT1G22400	GT1	cell_wall
AT1G22460	GTnc	cell_wall
AT1G22650	GH/GH100	cell_wall
AT1G22880	GH/GH9	cell_wall
AT1G23200	CE8	cell_wall
AT1G23205	CE	cell_wall
AT1G23210	GH9	cell_wall
AT1G23350	CE	cell_wall
AT1G23460	GH28	cell_wall
AT1G23470	GH28/PL	cell_wall
AT1G23480	GT2	cell_wall
AT1G23720	Ext	cell_wall
AT1G23760	GH/PL	cell_wall
AT1G23870	GT20	cell_wall
AT1G24070	GT2	cell_wall
AT1G24100	GT1	cell_wall
AT1G24110	AA	cell_wall
AT1G24170	GT8	cell_wall
AT1G24320	CBM/GH/GH63	cell_wall
AT1G24350	AA	cell_wall
AT1G24570	GTnc	cell_wall
AT1G24793	CE11	cell_wall
AT1G24880	CE11	cell_wall
AT1G25054	CE11	cell_wall
AT1G25210	CE11	cell_wall
AT1G26150	Ext	cell_wall
AT1G26240	Ext	cell_wall
