gene	name	type
AT1G02500	SAM1	Asp_family_pathway
AT1G08630	THA1	Asp_family_pathway
AT1G10070	BCAT2	Asp_family_pathway
AT1G14810	ASDDH	Asp_family_pathway
AT1G31230	AK_HSDHI	Asp_family_pathway
AT1G64660	MGL	Asp_family_pathway
AT1G72810	TS	Asp_family_pathway
AT2G17265	HSK	Asp_family_pathway
AT2G36880	MAT3	Asp_family_pathway
AT2G44040	DHDPR	Asp_family_pathway
AT3G01120	CGS1	Asp_family_pathway
AT3G02020	AK	Asp_family_pathway
AT3G03780	AtMS2	Asp_family_pathway
AT3G10050	TD	Asp_family_pathway
AT3G14390	DAPD	Asp_family_pathway
AT3G19710	BCAT4	Asp_family_pathway
AT3G25900	HMT_1	Asp_family_pathway
AT3G45300	IVDH	Asp_family_pathway
AT3G47340	ASN1	Asp_family_pathway
AT3G48560	CSR1	Asp_family_pathway
AT3G49680	BCAT3	Asp_family_pathway
AT3G53580	DAPE	Asp_family_pathway
AT3G57050	CBL	Asp_family_pathway
AT3G58610	KARI	Asp_family_pathway
AT3G59890	DHDPR	Asp_family_pathway
AT4G01850	SAM_2	Asp_family_pathway
AT4G13940	SAHH	Asp_family_pathway
AT4G19710	AK_HSDHII	Asp_family_pathway
AT4G29840	MTO2	Asp_family_pathway
AT4G33150	LKR/SDH	Asp_family_pathway
AT4G33680	AGD2	Asp_family_pathway
AT5G08100	L_asparaginase	Asp_family_pathway
AT5G10240	ASN3	Asp_family_pathway
AT5G11880	DAPD	Asp_family_pathway
AT5G13280	AK_LYS1	Asp_family_pathway
AT5G14060	AK	Asp_family_pathway
AT5G16290	AHASS	Asp_family_pathway
AT5G17920	ATCIMS	Asp_family_pathway
AT5G20980	ATMS3	Asp_family_pathway
AT5G21060	HSD	Asp_family_pathway
AT5G49810	MMT	Asp_family_pathway
AT5G52100	CRR1	Asp_family_pathway
AT5G65010	ASN2	Asp_family_pathway
AT5G65780	BCAT5	Asp_family_pathway
AT1G27450	APT1	ATP_biosynthesis
AT1G80050	APT2	ATP_biosynthesis
AT2G37250	ADK1	ATP_biosynthesis
AT3G57610	ATPURA	ATP_biosynthesis
AT4G22570	APT3	ATP_biosynthesis
AT5G11160	APT5	ATP_biosynthesis
AT5G47840	AMK2	ATP_biosynthesis
AT5G50370	Adenylate_kinase	ATP_biosynthesis
AT5G63400	ADK1	ATP_biosynthesis
AT1G01090	PDH_E1_ALPHA	Glycolysis
AT1G09780	2,3_biphosphoglycerate_independent_phosphoglycerate_mutase,_putative	Glycolysis
AT1G12000	Pyrophosphate__fructose_6_phosphate_1_phosphotransferase_beta_subunit,_putative	Glycolysis
AT1G13440	GAPC_2	Glycolysis
AT1G20950	Pyrophosphate__fructose_6_phosphate_1_phosphotransferase_related	Glycolysis
AT1G23190	Phosphoglucomutase,_cytoplasmic,_putative	Glycolysis
AT1G24180	IAR4	Glycolysis
AT1G30120	PDH_E1_BETA	Glycolysis
AT1G34430	EMB3003	Glycolysis
AT1G43670	Fructose_1,6_bisphosphatase,_putative	Glycolysis
AT1G48030	MTLPD1	Glycolysis
AT1G50460	Hexokinase	Glycolysis
AT1G53310	ATPPC1	Glycolysis
AT1G54220	Dihydrolipoamide_S_acetyltransferase	Glycolysis
AT1G70730	Phosphoglucomutase,_cytoplasmic,_putative	Glycolysis
AT1G74030	Enolase	Glycolysis
AT1G79550	PGK	Glycolysis
AT2G22480	Phosphofructokinase	Glycolysis
AT2G24270	ALDH11A3	Glycolysis
AT2G29560	Enolase	Glycolysis
AT2G36530	LOS2	Glycolysis
AT2G36580	Pyruvate_kinase	Glycolysis
AT3G52990	Pyruvate_kinase	Glycolysis
AT2G42600	ATPPC2	Glycolysis
AT3G13930	Dihydrolipoamide_S_acetyltransferase	Glycolysis
AT3G14940	ATPPC3	Glycolysis
AT3G16950	LPD1	Glycolysis
AT3G17240	LPD2	Glycolysis
AT3G22960	PKP_ALPHA/PKP1	Glycolysis
AT3G49160	Pyruvate_kinase	Glycolysis
AT3G52200	LTA3	Glycolysis
AT3G52930	Fructose_bisphosphate_aldolase	Glycolysis
AT3G55440	ATCTIMC	Glycolysis
AT4G04040	MEE51	Glycolysis
AT4G17260	L_lactate_dehydrogenase	Glycolysis
AT4G24620	PGI1	Glycolysis
AT4G26520	Fructose_bisphosphate_aldolase	Glycolysis
AT4G29220	Phosphofructokinase	Glycolysis
AT4G32840	Phosphofructokinase	Glycolysis
AT5G08570	Pyruvate_kinase	Glycolysis
AT5G17310	UTP__glucose_1_phosphate_uridylyltransferase,_putative	Glycolysis
AT5G17380	Pyruvate_decarboxylase	Glycolysis
AT5G42740	PGIC	Glycolysis
AT5G50850	MAB1	Glycolysis
AT5G51820	PGM	Glycolysis
AT5G52920	PKP_BETA1	Glycolysis
AT5G56350	Pyruvate_kinase	Glycolysis
AT5G63680	Pyruvate_kinase	Glycolysis
AT1G03130	PSAD_2	Photosynthesis
AT1G06680	PSBP_1	Photosynthesis
AT1G08380	PSAO	Photosynthesis
AT1G11860	Glycine_cleavage_T_protein	Photosynthesis
AT1G12900	GAPA_2	Photosynthesis
AT1G14030	Rubisco_methyltransferase	Photosynthesis
AT1G14150	PnsL2	Photosynthesis
AT1G30380	PSAK	Photosynthesis
AT1G31330	PSAF	Photosynthesis
AT1G32060	PRK	Photosynthesis
