Primer	Name	Cp
ACT2	pNRT2.1_1mM_Seedling1	19.11
ACT2	pNRT2.1_1mM_Seedling1	19.12
ACT2	pNRT2.1_1mM_Seedling1	19.13
UBQ10	pNRT2.1_1mM_Seedling1	17.74
UBQ10	pNRT2.1_1mM_Seedling1	17.74
UBQ10	pNRT2.1_1mM_Seedling1	17.73
NRT2.1	pNRT2.1_1mM_Seedling1	19.53
NRT2.1	pNRT2.1_1mM_Seedling1	19.54
NRT2.1	pNRT2.1_1mM_Seedling1	19.53
LUC	pNRT2.1_1mM_Seedling1	24.15
LUC	pNRT2.1_1mM_Seedling1	24.14
LUC	pNRT2.1_1mM_Seedling1	24.2
ACT2	pNRT2.1_1mM_Seedling17	18.57
ACT2	pNRT2.1_1mM_Seedling17	18.66
ACT2	pNRT2.1_1mM_Seedling17	18.62
UBQ10	pNRT2.1_1mM_Seedling17	17.52
UBQ10	pNRT2.1_1mM_Seedling17	17.52
UBQ10	pNRT2.1_1mM_Seedling17	17.53
NRT2.1	pNRT2.1_1mM_Seedling17	17.76
NRT2.1	pNRT2.1_1mM_Seedling17	17.76
NRT2.1	pNRT2.1_1mM_Seedling17	17.8
LUC	pNRT2.1_1mM_Seedling17	22.56
LUC	pNRT2.1_1mM_Seedling17	22.57
LUC	pNRT2.1_1mM_Seedling17	22.58
ACT2	pNRT2.1_1mM_Seedling9	19.42
ACT2	pNRT2.1_1mM_Seedling9	19.46
ACT2	pNRT2.1_1mM_Seedling9	19.46
UBQ10	pNRT2.1_1mM_Seedling9	18.19
UBQ10	pNRT2.1_1mM_Seedling9	18.18
UBQ10	pNRT2.1_1mM_Seedling9	18.19
NRT2.1	pNRT2.1_1mM_Seedling9	18.91
NRT2.1	pNRT2.1_1mM_Seedling9	18.93
NRT2.1	pNRT2.1_1mM_Seedling9	18.94
LUC	pNRT2.1_1mM_Seedling9	23.65
LUC	pNRT2.1_1mM_Seedling9	23.65
LUC	pNRT2.1_1mM_Seedling9	23.71
ACT2	pNRT2.1_1mM_Seedling2	18.58
ACT2	pNRT2.1_1mM_Seedling2	18.62
ACT2	pNRT2.1_1mM_Seedling2	18.65
UBQ10	pNRT2.1_1mM_Seedling2	17.77
UBQ10	pNRT2.1_1mM_Seedling2	17.83
UBQ10	pNRT2.1_1mM_Seedling2	17.75
NRT2.1	pNRT2.1_1mM_Seedling2	18.35
NRT2.1	pNRT2.1_1mM_Seedling2	18.42
NRT2.1	pNRT2.1_1mM_Seedling2	18.49
LUC	pNRT2.1_1mM_Seedling2	23.09
LUC	pNRT2.1_1mM_Seedling2	23.17
LUC	pNRT2.1_1mM_Seedling2	23.16
ACT2	pNRT2.1_1mM_Seedling18	18.43
ACT2	pNRT2.1_1mM_Seedling18	18.46
ACT2	pNRT2.1_1mM_Seedling18	18.35
UBQ10	pNRT2.1_1mM_Seedling18	17.73
UBQ10	pNRT2.1_1mM_Seedling18	17.76
UBQ10	pNRT2.1_1mM_Seedling18	17.75
NRT2.1	pNRT2.1_1mM_Seedling18	17.85
NRT2.1	pNRT2.1_1mM_Seedling18	17.87
NRT2.1	pNRT2.1_1mM_Seedling18	17.84
LUC	pNRT2.1_1mM_Seedling18	22.64
LUC	pNRT2.1_1mM_Seedling18	22.53
LUC	pNRT2.1_1mM_Seedling18	22.56
ACT2	pNRT2.1_1mM_Seedling10	18.76
ACT2	pNRT2.1_1mM_Seedling10	18.88
ACT2	pNRT2.1_1mM_Seedling10	18.86
UBQ10	pNRT2.1_1mM_Seedling10	18.61
UBQ10	pNRT2.1_1mM_Seedling10	18.61
UBQ10	pNRT2.1_1mM_Seedling10	18.59
NRT2.1	pNRT2.1_1mM_Seedling10	19.17
NRT2.1	pNRT2.1_1mM_Seedling10	19.14
NRT2.1	pNRT2.1_1mM_Seedling10	19.17
LUC	pNRT2.1_1mM_Seedling10	23.88
LUC	pNRT2.1_1mM_Seedling10	23.84
LUC	pNRT2.1_1mM_Seedling10	23.95
ACT2	pNRT2.1_1mM_Seedling3	17.95
ACT2	pNRT2.1_1mM_Seedling3	17.97
ACT2	pNRT2.1_1mM_Seedling3	17.98
UBQ10	pNRT2.1_1mM_Seedling3	17.72
UBQ10	pNRT2.1_1mM_Seedling3	17.71
UBQ10	pNRT2.1_1mM_Seedling3	17.68
NRT2.1	pNRT2.1_1mM_Seedling3	18.03
NRT2.1	pNRT2.1_1mM_Seedling3	18.05
NRT2.1	pNRT2.1_1mM_Seedling3	18.08
LUC	pNRT2.1_1mM_Seedling3	22.9
LUC	pNRT2.1_1mM_Seedling3	22.85
LUC	pNRT2.1_1mM_Seedling3	22.94
