Primer	Name	Cp
ACT2	NRT2.1_luc_1mM_25	
ACT2	NRT2.1_luc_1mM_25	25.2
ACT2	NRT2.1_luc_1mM_25	25.56
UBQ10	NRT2.1_luc_1mM_25	21.45
UBQ10	NRT2.1_luc_1mM_25	21.34
UBQ10	NRT2.1_luc_1mM_25	21.35
NRT2.1	NRT2.1_luc_1mM_25	24.63
NRT2.1	NRT2.1_luc_1mM_25	24.84
NRT2.1	NRT2.1_luc_1mM_25	24.8
LVG	NRT2.1_luc_1mM_25	25.75
LVG	NRT2.1_luc_1mM_25	25.68
LVG	NRT2.1_luc_1mM_25	25.71
HVG	NRT2.1_luc_1mM_25	26.05
HVG	NRT2.1_luc_1mM_25	26.08
HVG	NRT2.1_luc_1mM_25	25.99
LUC	NRT2.1_luc_1mM_25	29.56
LUC	NRT2.1_luc_1mM_25	29.48
LUC	NRT2.1_luc_1mM_25	29.25
ACT2	NRT2.1_luc_1mM_27	25.71
ACT2	NRT2.1_luc_1mM_27	25.52
ACT2	NRT2.1_luc_1mM_27	25.73
UBQ10	NRT2.1_luc_1mM_27	21.27
UBQ10	NRT2.1_luc_1mM_27	21.29
UBQ10	NRT2.1_luc_1mM_27	
NRT2.1	NRT2.1_luc_1mM_27	25.24
NRT2.1	NRT2.1_luc_1mM_27	25.04
NRT2.1	NRT2.1_luc_1mM_27	25.14
LVG	NRT2.1_luc_1mM_27	26.21
LVG	NRT2.1_luc_1mM_27	26.03
LVG	NRT2.1_luc_1mM_27	26.11
HVG	NRT2.1_luc_1mM_27	26.67
HVG	NRT2.1_luc_1mM_27	26.89
HVG	NRT2.1_luc_1mM_27	26.72
LUC	NRT2.1_luc_1mM_27	29.91
LUC	NRT2.1_luc_1mM_27	29.9
LUC	NRT2.1_luc_1mM_27	29.81
ACT2	NRT2.1_luc_1mM_28	26.56
ACT2	NRT2.1_luc_1mM_28	26.33
ACT2	NRT2.1_luc_1mM_28	26.3
UBQ10	NRT2.1_luc_1mM_28	22
UBQ10	NRT2.1_luc_1mM_28	22.02
UBQ10	NRT2.1_luc_1mM_28	22.12
NRT2.1	NRT2.1_luc_1mM_28	26.13
NRT2.1	NRT2.1_luc_1mM_28	26.14
NRT2.1	NRT2.1_luc_1mM_28	26.21
LVG	NRT2.1_luc_1mM_28	26.89
LVG	NRT2.1_luc_1mM_28	26.95
LVG	NRT2.1_luc_1mM_28	26.9
HVG	NRT2.1_luc_1mM_28	27.05
HVG	NRT2.1_luc_1mM_28	27.78
HVG	NRT2.1_luc_1mM_28	27.46
LUC	NRT2.1_luc_1mM_28	31.24
LUC	NRT2.1_luc_1mM_28	31.14
LUC	NRT2.1_luc_1mM_28	31.31
ACT2	NRT2.1_luc_1mM_29	26.56
ACT2	NRT2.1_luc_1mM_29	26.52
ACT2	NRT2.1_luc_1mM_29	26.51
UBQ10	NRT2.1_luc_1mM_29	21.96
UBQ10	NRT2.1_luc_1mM_29	22.02
UBQ10	NRT2.1_luc_1mM_29	22.09
NRT2.1	NRT2.1_luc_1mM_29	26.52
NRT2.1	NRT2.1_luc_1mM_29	26.46
NRT2.1	NRT2.1_luc_1mM_29	26.42
LVG	NRT2.1_luc_1mM_29	26.95
LVG	NRT2.1_luc_1mM_29	27.07
LVG	NRT2.1_luc_1mM_29	27
HVG	NRT2.1_luc_1mM_29	27.87
HVG	NRT2.1_luc_1mM_29	28.24
HVG	NRT2.1_luc_1mM_29	27.96
LUC	NRT2.1_luc_1mM_29	31.24
LUC	NRT2.1_luc_1mM_29	30.95
LUC	NRT2.1_luc_1mM_29	31.82
ACT2	NRT2.1_luc_1mM_30	27.53
ACT2	NRT2.1_luc_1mM_30	27.07
ACT2	NRT2.1_luc_1mM_30	27.06
UBQ10	NRT2.1_luc_1mM_30	21.97
UBQ10	NRT2.1_luc_1mM_30	22
UBQ10	NRT2.1_luc_1mM_30	22.09
NRT2.1	NRT2.1_luc_1mM_30	26.69
NRT2.1	NRT2.1_luc_1mM_30	26.69
NRT2.1	NRT2.1_luc_1mM_30	26.71
LVG	NRT2.1_luc_1mM_30	27.51
LVG	NRT2.1_luc_1mM_30	27.54
LVG	NRT2.1_luc_1mM_30	27.29
HVG	NRT2.1_luc_1mM_30	28.66
HVG	NRT2.1_luc_1mM_30	28.55
HVG	NRT2.1_luc_1mM_30	28.71
LUC	NRT2.1_luc_1mM_30	31.88
LUC	NRT2.1_luc_1mM_30	31.62
LUC	NRT2.1_luc_1mM_30	31.34
ACT2	NRT2.1_luc_1mM_31	24.88
ACT2	NRT2.1_luc_1mM_31	24.61
ACT2	NRT2.1_luc_1mM_31	24.79
UBQ10	NRT2.1_luc_1mM_31	21.46
UBQ10	NRT2.1_luc_1mM_31	21.32
UBQ10	NRT2.1_luc_1mM_31	21.45
NRT2.1	NRT2.1_luc_1mM_31	24.28
NRT2.1	NRT2.1_luc_1mM_31	24.32
NRT2.1	NRT2.1_luc_1mM_31	24.34
LVG	NRT2.1_luc_1mM_31	25.71
LVG	NRT2.1_luc_1mM_31	25.67
LVG	NRT2.1_luc_1mM_31	25.71
HVG	NRT2.1_luc_1mM_31	25.8
HVG	NRT2.1_luc_1mM_31	25.76
HVG	NRT2.1_luc_1mM_31	25.83
LUC	NRT2.1_luc_1mM_31	29.2
LUC	NRT2.1_luc_1mM_31	29.2
LUC	NRT2.1_luc_1mM_31	29.22
