Primer	Name	Cp
ACT2	pNRT2.1:luc_seedling1	28.74
ACT2	pNRT2.1:luc_seedling1	28.14
ACT2	pNRT2.1:luc_seedling1	28.28
UBQ10	pNRT2.1:luc_seedling1	20.58
UBQ10	pNRT2.1:luc_seedling1	20.6
UBQ10	pNRT2.1:luc_seedling1	20.64
NRT2.1	pNRT2.1:luc_seedling1	24.19
NRT2.1	pNRT2.1:luc_seedling1	24.31
NRT2.1	pNRT2.1:luc_seedling1	24.23
LUC	pNRT2.1:luc_seedling1	30.21
LUC	pNRT2.1:luc_seedling1	29.59
LUC	pNRT2.1:luc_seedling1	29.89
ACT2	pNRT2.1:luc_seedling17	25.65
ACT2	pNRT2.1:luc_seedling17	25.67
ACT2	pNRT2.1:luc_seedling17	25.72
UBQ10	pNRT2.1:luc_seedling17	19.16
UBQ10	pNRT2.1:luc_seedling17	19.17
UBQ10	pNRT2.1:luc_seedling17	19.16
NRT2.1	pNRT2.1:luc_seedling17	22.05
NRT2.1	pNRT2.1:luc_seedling17	22.04
NRT2.1	pNRT2.1:luc_seedling17	22
LUC	pNRT2.1:luc_seedling17	28.28
LUC	pNRT2.1:luc_seedling17	28.49
LUC	pNRT2.1:luc_seedling17	28.35
ACT2	pNRT2.1:luc_seedling9	25.75
ACT2	pNRT2.1:luc_seedling9	25.78
ACT2	pNRT2.1:luc_seedling9	25.82
UBQ10	pNRT2.1:luc_seedling9	19.06
UBQ10	pNRT2.1:luc_seedling9	19.05
UBQ10	pNRT2.1:luc_seedling9	19.05
NRT2.1	pNRT2.1:luc_seedling9	21.81
NRT2.1	pNRT2.1:luc_seedling9	21.77
NRT2.1	pNRT2.1:luc_seedling9	21.8
LUC	pNRT2.1:luc_seedling9	28.59
LUC	pNRT2.1:luc_seedling9	28.28
LUC	pNRT2.1:luc_seedling9	28.52
ACT2	pNRT2.1:luc_seedling2	24.62
ACT2	pNRT2.1:luc_seedling2	24.58
ACT2	pNRT2.1:luc_seedling2	24.53
UBQ10	pNRT2.1:luc_seedling2	18.77
UBQ10	pNRT2.1:luc_seedling2	18.75
UBQ10	pNRT2.1:luc_seedling2	18.79
NRT2.1	pNRT2.1:luc_seedling2	21.9
NRT2.1	pNRT2.1:luc_seedling2	21.82
NRT2.1	pNRT2.1:luc_seedling2	21.86
LUC	pNRT2.1:luc_seedling2	27.82
LUC	pNRT2.1:luc_seedling2	27.93
LUC	pNRT2.1:luc_seedling2	27.99
ACT2	pNRT2.1:luc_seedling18	26.13
ACT2	pNRT2.1:luc_seedling18	26.1
ACT2	pNRT2.1:luc_seedling18	26.15
UBQ10	pNRT2.1:luc_seedling18	19.54
UBQ10	pNRT2.1:luc_seedling18	19.57
UBQ10	pNRT2.1:luc_seedling18	19.58
NRT2.1	pNRT2.1:luc_seedling18	22.09
NRT2.1	pNRT2.1:luc_seedling18	22.02
NRT2.1	pNRT2.1:luc_seedling18	22.06
