Primer	Pos	Name	Cp
SandF	A1	WT 1mM S1	29.67
SandF	A2	WT 1mM S1	29.95
SandF	A3	WT 1mM S1	29.34
UBQ10	A4	WT 1mM S1	21.65
UBQ10	A5	WT 1mM S1	21.54
UBQ10	A6	WT 1mM S1	21.62
HVG	A7	WT 1mM S1	28.11
HVG	A8	WT 1mM S1	27.7
HVG	A9	WT 1mM S1	28.01
LVG	A10	WT 1mM S1	30.25
LVG	A11	WT 1mM S1	29.73
LVG	A12	WT 1mM S1	29.84
NRT2.1	A13	WT 1mM S1	24.09
NRT2.1	A14	WT 1mM S1	24
NRT2.1	A15	WT 1mM S1	24.03
TGA4	A16	WT 1mM S1	31.23
TGA4	A17	WT 1mM S1	31.33
TGA4	A18	WT 1mM S1	31.49
TGA1	A19	WT 1mM S1	29.16
TGA1	A20	WT 1mM S1	29
TGA1	A21	WT 1mM S1	28.83
NRT1.1	A22	WT 1mM S1	25.22
NRT1.1	A23	WT 1mM S1	25.58
NRT1.1	A24	WT 1mM S1	25.78
SandF	C1	WT 1mM S2	29.16
SandF	C2	WT 1mM S2	29.67
SandF	C3	WT 1mM S2	29.1
UBQ10	C4	WT 1mM S2	22
UBQ10	C5	WT 1mM S2	21.59
UBQ10	C6	WT 1mM S2	21.65
HVG	C7	WT 1mM S2	27.47
HVG	C8	WT 1mM S2	27.88
HVG	C9	WT 1mM S2	27.8
LVG	C10	WT 1mM S2	29.85
LVG	C11	WT 1mM S2	29.63
LVG	C12	WT 1mM S2	29.61
NRT2.1	C13	WT 1mM S2	23.7
NRT2.1	C14	WT 1mM S2	23.12
NRT2.1	C15	WT 1mM S2	24.09
TGA4	C16	WT 1mM S2	31.12
TGA4	C17	WT 1mM S2	30.84
TGA4	C18	WT 1mM S2	31.08
TGA1	C19	WT 1mM S2	29.01
TGA1	C20	WT 1mM S2	28.62
TGA1	C21	WT 1mM S2	28.7
NRT1.1	C22	WT 1mM S2	25.19
NRT1.1	C23	WT 1mM S2	25.7
NRT1.1	C24	WT 1mM S2	25.44
SandF	G1	WT 1mM S4	27.94
SandF	G2	WT 1mM S4	28.06
SandF	G3	WT 1mM S4	28.17
UBQ10	G4	WT 1mM S4	21.17
UBQ10	G5	WT 1mM S4	20.62
UBQ10	G6	WT 1mM S4	20.92
HVG	G7	WT 1mM S4	26.02
HVG	G8	WT 1mM S4	26.51
HVG	G9	WT 1mM S4	26.34
LVG	G10	WT 1mM S4	28.3
LVG	G11	WT 1mM S4	28.55
LVG	G12	WT 1mM S4	28.61
NRT2.1	G13	WT 1mM S4	22.73
NRT2.1	G14	WT 1mM S4	22.67
NRT2.1	G15	WT 1mM S4	22.76
TGA4	G16	WT 1mM S4	29.27
TGA4	G17	WT 1mM S4	30.41
TGA4	G18	WT 1mM S4	29.66
TGA1	G19	WT 1mM S4	27.23
TGA1	G20	WT 1mM S4	26.88
TGA1	G21	WT 1mM S4	27.68
NRT1.1	G22	WT 1mM S4	24.52
NRT1.1	G23	WT 1mM S4	24.61
NRT1.1	G24	WT 1mM S4	24.88
SandF	I1	WT 1mM S5	28.89
SandF	I2	WT 1mM S5	29.24
SandF	I3	WT 1mM S5	29.05
UBQ10	I4	WT 1mM S5	21.66
UBQ10	I5	WT 1mM S5	21.28
UBQ10	I6	WT 1mM S5	21.55
