Primer	Name	Cp
SandF	WT 1mM S9	29.23
SandF	WT 1mM S9	29.48
SandF	WT 1mM S9	29.44
UBQ10	WT 1mM S9	21.73
UBQ10	WT 1mM S9	21.71
UBQ10	WT 1mM S9	21.73
HVG	WT 1mM S9	28.09
HVG	WT 1mM S9	28.06
HVG	WT 1mM S9	28.24
LVG	WT 1mM S9	30.06
LVG	WT 1mM S9	30.05
LVG	WT 1mM S9	29.75
NRT2.1	WT 1mM S9	23.3
NRT2.1	WT 1mM S9	23.18
NRT2.1	WT 1mM S9	23.49
TGA4	WT 1mM S9	30.82
TGA4	WT 1mM S9	31.31
TGA4	WT 1mM S9	31.02
TGA1	WT 1mM S9	28.72
TGA1	WT 1mM S9	28.68
TGA1	WT 1mM S9	28.69
NRT1.1	WT 1mM S9	26.21
NRT1.1	WT 1mM S9	25.68
NRT1.1	WT 1mM S9	25.63
SandF	WT 1mM S12	29.22
SandF	WT 1mM S12	29.5
SandF	WT 1mM S12	28.93
UBQ10	WT 1mM S12	21.98
UBQ10	WT 1mM S12	21.92
UBQ10	WT 1mM S12	21.91
HVG	WT 1mM S12	27.04
HVG	WT 1mM S12	27.32
HVG	WT 1mM S12	27.12
LVG	WT 1mM S12	29.47
LVG	WT 1mM S12	29.7
LVG	WT 1mM S12	30.07
NRT2.1	WT 1mM S12	23.58
NRT2.1	WT 1mM S12	23.53
NRT2.1	WT 1mM S12	23.57
TGA4	WT 1mM S12	30.83
TGA4	WT 1mM S12	30.72
TGA4	WT 1mM S12	30.73
TGA1	WT 1mM S12	27.98
TGA1	WT 1mM S12	27.7
TGA1	WT 1mM S12	27.62
NRT1.1	WT 1mM S12	25.53
NRT1.1	WT 1mM S12	25.88
NRT1.1	WT 1mM S12	25.68
SandF	WT 1mM S13	28.7
SandF	WT 1mM S13	28.63
SandF	WT 1mM S13	28.47
UBQ10	WT 1mM S13	21.48
UBQ10	WT 1mM S13	21.3
UBQ10	WT 1mM S13	21.49
HVG	WT 1mM S13	26.93
HVG	WT 1mM S13	27.09
HVG	WT 1mM S13	26.88
LVG	WT 1mM S13	29.11
LVG	WT 1mM S13	29.35
LVG	WT 1mM S13	28.99
NRT2.1	WT 1mM S13	23.64
NRT2.1	WT 1mM S13	23.51
NRT2.1	WT 1mM S13	23.77
TGA4	WT 1mM S13	30.3
TGA4	WT 1mM S13	30.69
TGA4	WT 1mM S13	30.31
TGA1	WT 1mM S13	28.02
TGA1	WT 1mM S13	27.76
TGA1	WT 1mM S13	28.02
NRT1.1	WT 1mM S13	25.29
NRT1.1	WT 1mM S13	25.26
NRT1.1	WT 1mM S13	25.26
SandF	WT 1mM S14	30.12
SandF	WT 1mM S14	29.88
SandF	WT 1mM S14	29.95
UBQ10	WT 1mM S14	22.28
UBQ10	WT 1mM S14	22.15
UBQ10	WT 1mM S14	22.23
HVG	WT 1mM S14	28.45
HVG	WT 1mM S14	28.71
HVG	WT 1mM S14	28.51
LVG	WT 1mM S14	30.66
LVG	WT 1mM S14	30.83
LVG	WT 1mM S14	30.9
NRT2.1	WT 1mM S14	25.35
NRT2.1	WT 1mM S14	25.2
NRT2.1	WT 1mM S14	25.22
TGA4	WT 1mM S14	32.2
TGA4	WT 1mM S14	31.87
TGA4	WT 1mM S14	32.33
TGA1	WT 1mM S14	29.25
TGA1	WT 1mM S14	29.21
TGA1	WT 1mM S14	29.06
NRT1.1	WT 1mM S14	26.28
NRT1.1	WT 1mM S14	26.16
NRT1.1	WT 1mM S14	27.12
SandF	WT 1mM S15	29.08
SandF	WT 1mM S15	29.1
SandF	WT 1mM S15	29.28
UBQ10	WT 1mM S15	21.83
UBQ10	WT 1mM S15	21.67
UBQ10	WT 1mM S15	21.66
HVG	WT 1mM S15	27.75
HVG	WT 1mM S15	27.93
HVG	WT 1mM S15	27.66
LVG	WT 1mM S15	29.62
LVG	WT 1mM S15	29.26
LVG	WT 1mM S15	29.67
NRT2.1	WT 1mM S15	23.55
NRT2.1	WT 1mM S15	23.54
NRT2.1	WT 1mM S15	23.59
TGA4	WT 1mM S15	31.64
TGA4	WT 1mM S15	31.07
TGA4	WT 1mM S15	30.98
TGA1	WT 1mM S15	28.49
TGA1	WT 1mM S15	28.68
TGA1	WT 1mM S15	28.81
NRT1.1	WT 1mM S15	25.25
NRT1.1	WT 1mM S15	25.45
NRT1.1	WT 1mM S15	25.23
