Primer	Name	Cp
ACT2	NRT2.1_luc_1mM_17	24.18
ACT2	NRT2.1_luc_1mM_17	24.11
ACT2	NRT2.1_luc_1mM_17	24
UBQ10	NRT2.1_luc_1mM_17	21.13
UBQ10	NRT2.1_luc_1mM_17	21.15
UBQ10	NRT2.1_luc_1mM_17	20.94
NRT2.1	NRT2.1_luc_1mM_17	23.49
NRT2.1	NRT2.1_luc_1mM_17	23.47
NRT2.1	NRT2.1_luc_1mM_17	23.42
LVG	NRT2.1_luc_1mM_17	24.98
LVG	NRT2.1_luc_1mM_17	24.94
LVG	NRT2.1_luc_1mM_17	24.91
HVG	NRT2.1_luc_1mM_17	24.7
HVG	NRT2.1_luc_1mM_17	24.83
HVG	NRT2.1_luc_1mM_17	24.65
LUC	NRT2.1_luc_1mM_17	27.81
LUC	NRT2.1_luc_1mM_17	27.32
LUC	NRT2.1_luc_1mM_17	27.33
ACT2	NRT2.1_luc_1mM_18	23.84
ACT2	NRT2.1_luc_1mM_18	23.85
ACT2	NRT2.1_luc_1mM_18	23.7
UBQ10	NRT2.1_luc_1mM_18	21.42
UBQ10	NRT2.1_luc_1mM_18	21.34
UBQ10	NRT2.1_luc_1mM_18	21.29
NRT2.1	NRT2.1_luc_1mM_18	22.57
NRT2.1	NRT2.1_luc_1mM_18	22.65
NRT2.1	NRT2.1_luc_1mM_18	22.59
LVG	NRT2.1_luc_1mM_18	24.89
LVG	NRT2.1_luc_1mM_18	24.92
LVG	NRT2.1_luc_1mM_18	24.86
HVG	NRT2.1_luc_1mM_18	24.08
HVG	NRT2.1_luc_1mM_18	24.26
HVG	NRT2.1_luc_1mM_18	24.1
LUC	NRT2.1_luc_1mM_18	26.9
LUC	NRT2.1_luc_1mM_18	26.81
LUC	NRT2.1_luc_1mM_18	26.8
ACT2	NRT2.1_luc_1mM_19	25.68
ACT2	NRT2.1_luc_1mM_19	25.54
ACT2	NRT2.1_luc_1mM_19	25.57
UBQ10	NRT2.1_luc_1mM_19	22.26
UBQ10	NRT2.1_luc_1mM_19	21.96
UBQ10	NRT2.1_luc_1mM_19	21.94
NRT2.1	NRT2.1_luc_1mM_19	23.91
NRT2.1	NRT2.1_luc_1mM_19	23.92
NRT2.1	NRT2.1_luc_1mM_19	
LVG	NRT2.1_luc_1mM_19	25.95
LVG	NRT2.1_luc_1mM_19	25.81
LVG	NRT2.1_luc_1mM_19	26.83
HVG	NRT2.1_luc_1mM_19	26.25
HVG	NRT2.1_luc_1mM_19	26.52
HVG	NRT2.1_luc_1mM_19	26.64
LUC	NRT2.1_luc_1mM_19	28.18
LUC	NRT2.1_luc_1mM_19	28.47
LUC	NRT2.1_luc_1mM_19	28.36
ACT2	NRT2.1_luc_1mM_20	
ACT2	NRT2.1_luc_1mM_20	23.75
ACT2	NRT2.1_luc_1mM_20	23.56
UBQ10	NRT2.1_luc_1mM_20	21.61
UBQ10	NRT2.1_luc_1mM_20	21.75
UBQ10	NRT2.1_luc_1mM_20	21.79
NRT2.1	NRT2.1_luc_1mM_20	22.98
NRT2.1	NRT2.1_luc_1mM_20	23
NRT2.1	NRT2.1_luc_1mM_20	22.96
LVG	NRT2.1_luc_1mM_20	25.12
LVG	NRT2.1_luc_1mM_20	
LVG	NRT2.1_luc_1mM_20	24.94
HVG	NRT2.1_luc_1mM_20	24.06
HVG	NRT2.1_luc_1mM_20	24.42
HVG	NRT2.1_luc_1mM_20	24.49
LUC	NRT2.1_luc_1mM_20	27.14
LUC	NRT2.1_luc_1mM_20	27.24
LUC	NRT2.1_luc_1mM_20	27.24
ACT2	NRT2.1_luc_1mM_22	24.25
ACT2	NRT2.1_luc_1mM_22	24.24
ACT2	NRT2.1_luc_1mM_22	24.15
UBQ10	NRT2.1_luc_1mM_22	20.71
UBQ10	NRT2.1_luc_1mM_22	20.77
UBQ10	NRT2.1_luc_1mM_22	20.79
NRT2.1	NRT2.1_luc_1mM_22	22.69
NRT2.1	NRT2.1_luc_1mM_22	22.66
NRT2.1	NRT2.1_luc_1mM_22	22.7
LVG	NRT2.1_luc_1mM_22	24.67
LVG	NRT2.1_luc_1mM_22	24.61
LVG	NRT2.1_luc_1mM_22	24.8
HVG	NRT2.1_luc_1mM_22	25.08
HVG	NRT2.1_luc_1mM_22	25.02
HVG	NRT2.1_luc_1mM_22	25.05
LUC	NRT2.1_luc_1mM_22	27
LUC	NRT2.1_luc_1mM_22	27.16
LUC	NRT2.1_luc_1mM_22	26.98
ACT2	NRT2.1_luc_1mM_23	23.98
ACT2	NRT2.1_luc_1mM_23	23.87
ACT2	NRT2.1_luc_1mM_23	23.87
UBQ10	NRT2.1_luc_1mM_23	21.27
UBQ10	NRT2.1_luc_1mM_23	21.43
UBQ10	NRT2.1_luc_1mM_23	21.47
NRT2.1	NRT2.1_luc_1mM_23	23.49
NRT2.1	NRT2.1_luc_1mM_23	23.52
NRT2.1	NRT2.1_luc_1mM_23	23.24
LVG	NRT2.1_luc_1mM_23	25.2
LVG	NRT2.1_luc_1mM_23	25.29
LVG	NRT2.1_luc_1mM_23	25.3
HVG	NRT2.1_luc_1mM_23	24.64
HVG	NRT2.1_luc_1mM_23	24.67
HVG	NRT2.1_luc_1mM_23	24.86
LUC	NRT2.1_luc_1mM_23	27.3
LUC	NRT2.1_luc_1mM_23	27.43
LUC	NRT2.1_luc_1mM_23	27.54
ACT2	NRT2.1_luc_1mM_24	23.81
ACT2	NRT2.1_luc_1mM_24	
ACT2	NRT2.1_luc_1mM_24	23.71
UBQ10	NRT2.1_luc_1mM_24	20.72
UBQ10	NRT2.1_luc_1mM_24	20.75
UBQ10	NRT2.1_luc_1mM_24	20.84
NRT2.1	NRT2.1_luc_1mM_24	23.63
