Primer	Name	Cp
UBQ10	Col0_WT_1mM_10	19.61
UBQ10	Col0_WT_1mM_10	19.6
UBQ10	Col0_WT_1mM_10	19.62
ACT2	Col0_WT_1mM_10	24.1
ACT2	Col0_WT_1mM_10	24.13
ACT2	Col0_WT_1mM_10	24.09
LVG	Col0_WT_1mM_10	24.32
LVG	Col0_WT_1mM_10	24.29
LVG	Col0_WT_1mM_10	24.28
HVG	Col0_WT_1mM_10	23.97
HVG	Col0_WT_1mM_10	23.95
HVG	Col0_WT_1mM_10	23.99
NRT2.1	Col0_WT_1mM_10	27.29
NRT2.1	Col0_WT_1mM_10	27.47
NRT2.1	Col0_WT_1mM_10	27.44
NRT1.1	Col0_WT_1mM_10	23.19
NRT1.1	Col0_WT_1mM_10	23.18
NRT1.1	Col0_WT_1mM_10	
TGA1	Col0_WT_1mM_10	29.74
TGA1	Col0_WT_1mM_10	29.04
TGA1	Col0_WT_1mM_10	29.48
PP2C	Col0_WT_1mM_10	27.69
PP2C	Col0_WT_1mM_10	27.9
PP2C	Col0_WT_1mM_10	
UBQ10	Col0_WT_1mM_11	20.95
UBQ10	Col0_WT_1mM_11	20.95
UBQ10	Col0_WT_1mM_11	21.03
ACT2	Col0_WT_1mM_11	27.54
ACT2	Col0_WT_1mM_11	27.69
ACT2	Col0_WT_1mM_11	27.63
LVG	Col0_WT_1mM_11	26.94
LVG	Col0_WT_1mM_11	27.04
LVG	Col0_WT_1mM_11	26.77
HVG	Col0_WT_1mM_11	27.82
HVG	Col0_WT_1mM_11	27.87
HVG	Col0_WT_1mM_11	28.09
NRT2.1	Col0_WT_1mM_11	30.79
NRT2.1	Col0_WT_1mM_11	31.05
NRT2.1	Col0_WT_1mM_11	30.87
NRT1.1	Col0_WT_1mM_11	25.74
NRT1.1	Col0_WT_1mM_11	25.78
NRT1.1	Col0_WT_1mM_11	25.83
TGA1	Col0_WT_1mM_11	32
TGA1	Col0_WT_1mM_11	31.67
TGA1	Col0_WT_1mM_11	32.67
PP2C	Col0_WT_1mM_11	30.23
PP2C	Col0_WT_1mM_11	30.18
PP2C	Col0_WT_1mM_11	
UBQ10	Col0_WT_1mM_12	20.17
UBQ10	Col0_WT_1mM_12	20.15
UBQ10	Col0_WT_1mM_12	20.21
ACT2	Col0_WT_1mM_12	26.98
ACT2	Col0_WT_1mM_12	26.82
ACT2	Col0_WT_1mM_12	26.9
LVG	Col0_WT_1mM_12	25.99
LVG	Col0_WT_1mM_12	25.86
