Primer	Name	Cp
UBQ10	pNRT2.1:luc_1mM_17	18.9
UBQ10	pNRT2.1:luc_1mM_17	18.92
UBQ10	pNRT2.1:luc_1mM_17	18.9
ACT2	pNRT2.1:luc_1mM_17	25.59
ACT2	pNRT2.1:luc_1mM_17	25.7
ACT2	pNRT2.1:luc_1mM_17	25.69
LVG	pNRT2.1:luc_1mM_17	24.69
LVG	pNRT2.1:luc_1mM_17	24.69
LVG	pNRT2.1:luc_1mM_17	24.73
HVG	pNRT2.1:luc_1mM_17	25.03
HVG	pNRT2.1:luc_1mM_17	24.99
HVG	pNRT2.1:luc_1mM_17	25.22
NRT2.1	pNRT2.1:luc_1mM_17	22.1
NRT2.1	pNRT2.1:luc_1mM_17	22.37
NRT2.1	pNRT2.1:luc_1mM_17	22.06
NRT1.1	pNRT2.1:luc_1mM_17	25.45
NRT1.1	pNRT2.1:luc_1mM_17	25.25
NRT1.1	pNRT2.1:luc_1mM_17	25.44
LUC	pNRT2.1:luc_1mM_17	28.51
LUC	pNRT2.1:luc_1mM_17	28.33
LUC	pNRT2.1:luc_1mM_17	28.82
PP2C	pNRT2.1:luc_1mM_17	27.47
PP2C	pNRT2.1:luc_1mM_17	27.63
PP2C	pNRT2.1:luc_1mM_17	27.55
UBQ10	pNRT2.1:luc_1mM_18	19.24
UBQ10	pNRT2.1:luc_1mM_18	19.21
UBQ10	pNRT2.1:luc_1mM_18	19.22
ACT2	pNRT2.1:luc_1mM_18	26.01
ACT2	pNRT2.1:luc_1mM_18	26.09
ACT2	pNRT2.1:luc_1mM_18	25.96
LVG	pNRT2.1:luc_1mM_18	24.91
LVG	pNRT2.1:luc_1mM_18	24.96
LVG	pNRT2.1:luc_1mM_18	24.95
HVG	pNRT2.1:luc_1mM_18	25.29
HVG	pNRT2.1:luc_1mM_18	25.24
HVG	pNRT2.1:luc_1mM_18	25.26
NRT2.1	pNRT2.1:luc_1mM_18	22
NRT2.1	pNRT2.1:luc_1mM_18	22.04
NRT2.1	pNRT2.1:luc_1mM_18	22.01
NRT1.1	pNRT2.1:luc_1mM_18	25.74
NRT1.1	pNRT2.1:luc_1mM_18	25.48
NRT1.1	pNRT2.1:luc_1mM_18	25.79
LUC	pNRT2.1:luc_1mM_18	28.86
LUC	pNRT2.1:luc_1mM_18	28.66
LUC	pNRT2.1:luc_1mM_18	29.07
PP2C	pNRT2.1:luc_1mM_18	27.55
PP2C	pNRT2.1:luc_1mM_18	27.55
PP2C	pNRT2.1:luc_1mM_18	27.28
UBQ10	pNRT2.1:luc_1mM_19	18.96
UBQ10	pNRT2.1:luc_1mM_19	18.92
UBQ10	pNRT2.1:luc_1mM_19	18.98
ACT2	pNRT2.1:luc_1mM_19	27.45
ACT2	pNRT2.1:luc_1mM_19	27.67
ACT2	pNRT2.1:luc_1mM_19	27.61
LVG	pNRT2.1:luc_1mM_19	25.81
LVG	pNRT2.1:luc_1mM_19	25.86
LVG	pNRT2.1:luc_1mM_19	25.83
HVG	pNRT2.1:luc_1mM_19	27.01
HVG	pNRT2.1:luc_1mM_19	27.08
HVG	pNRT2.1:luc_1mM_19	27.06
NRT2.1	pNRT2.1:luc_1mM_19	24.24
NRT2.1	pNRT2.1:luc_1mM_19	24.43
NRT2.1	pNRT2.1:luc_1mM_19	24.28
NRT1.1	pNRT2.1:luc_1mM_19	27.06
NRT1.1	pNRT2.1:luc_1mM_19	26.95
NRT1.1	pNRT2.1:luc_1mM_19	26.82
LUC	pNRT2.1:luc_1mM_19	29.66
LUC	pNRT2.1:luc_1mM_19	
LUC	pNRT2.1:luc_1mM_19	29.76
PP2C	pNRT2.1:luc_1mM_19	29.69
PP2C	pNRT2.1:luc_1mM_19	29.89
PP2C	pNRT2.1:luc_1mM_19	29.69
UBQ10	pNRT2.1:luc_1mM_20	19.32
UBQ10	pNRT2.1:luc_1mM_20	19.28
UBQ10	pNRT2.1:luc_1mM_20	19.31
ACT2	pNRT2.1:luc_1mM_20	28.65
ACT2	pNRT2.1:luc_1mM_20	28.66
ACT2	pNRT2.1:luc_1mM_20	28.69
LVG	pNRT2.1:luc_1mM_20	26.31
LVG	pNRT2.1:luc_1mM_20	26.49
LVG	pNRT2.1:luc_1mM_20	26.61
HVG	pNRT2.1:luc_1mM_20	27.88
HVG	pNRT2.1:luc_1mM_20	27.93
HVG	pNRT2.1:luc_1mM_20	27.89
NRT2.1	pNRT2.1:luc_1mM_20	23.73
NRT2.1	pNRT2.1:luc_1mM_20	23.73
NRT2.1	pNRT2.1:luc_1mM_20	23.69
NRT1.1	pNRT2.1:luc_1mM_20	27.01
NRT1.1	pNRT2.1:luc_1mM_20	27.1
NRT1.1	pNRT2.1:luc_1mM_20	26.91
LUC	pNRT2.1:luc_1mM_20	30.02
LUC	pNRT2.1:luc_1mM_20	29.77
LUC	pNRT2.1:luc_1mM_20	30.57
PP2C	pNRT2.1:luc_1mM_20	29.2
PP2C	pNRT2.1:luc_1mM_20	29.12
PP2C	pNRT2.1:luc_1mM_20	29.16
UBQ10	pNRT2.1:luc_1mM_21	19.47
UBQ10	pNRT2.1:luc_1mM_21	19.49
UBQ10	pNRT2.1:luc_1mM_21	19.49
ACT2	pNRT2.1:luc_1mM_21	29.15
ACT2	pNRT2.1:luc_1mM_21	29.14
ACT2	pNRT2.1:luc_1mM_21	29.14
LVG	pNRT2.1:luc_1mM_21	26.8
LVG	pNRT2.1:luc_1mM_21	26.9
LVG	pNRT2.1:luc_1mM_21	26.93
HVG	pNRT2.1:luc_1mM_21	28.58
HVG	pNRT2.1:luc_1mM_21	28.67
HVG	pNRT2.1:luc_1mM_21	28.55
NRT2.1	pNRT2.1:luc_1mM_21	24.33
NRT2.1	pNRT2.1:luc_1mM_21	24.49
NRT2.1	pNRT2.1:luc_1mM_21	24.42
NRT1.1	pNRT2.1:luc_1mM_21	27.83
NRT1.1	pNRT2.1:luc_1mM_21	27.86
NRT1.1	pNRT2.1:luc_1mM_21	27.82
LUC	pNRT2.1:luc_1mM_21	30.84
LUC	pNRT2.1:luc_1mM_21	30.13
LUC	pNRT2.1:luc_1mM_21	30.44
PP2C	pNRT2.1:luc_1mM_21	29.1
PP2C	pNRT2.1:luc_1mM_21	29.01
PP2C	pNRT2.1:luc_1mM_21	29.78
UBQ10	pNRT2.1:luc_1mM_22	19.71
UBQ10	pNRT2.1:luc_1mM_22	19.69
UBQ10	pNRT2.1:luc_1mM_22	19.66
ACT2	pNRT2.1:luc_1mM_22	27.92
ACT2	pNRT2.1:luc_1mM_22	28.17
ACT2	pNRT2.1:luc_1mM_22	28.43
LVG	pNRT2.1:luc_1mM_22	26.16
LVG	pNRT2.1:luc_1mM_22	26.49
LVG	pNRT2.1:luc_1mM_22	26.46
HVG	pNRT2.1:luc_1mM_22	27.29
HVG	pNRT2.1:luc_1mM_22	27.17
HVG	pNRT2.1:luc_1mM_22	27.45
NRT2.1	pNRT2.1:luc_1mM_22	23.69
NRT2.1	pNRT2.1:luc_1mM_22	23.73
NRT2.1	pNRT2.1:luc_1mM_22	23.66
NRT1.1	pNRT2.1:luc_1mM_22	26.94
NRT1.1	pNRT2.1:luc_1mM_22	27
NRT1.1	pNRT2.1:luc_1mM_22	27
LUC	pNRT2.1:luc_1mM_22	30.73
LUC	pNRT2.1:luc_1mM_22	31.23
LUC	pNRT2.1:luc_1mM_22	30.7
