Primers	Name	Cp
UBQ10	Col0 WT 1mM KNO3_seedling9	18.46
UBQ10	Col0 WT 1mM KNO3_seedling9	18.52
UBQ10	Col0 WT 1mM KNO3_seedling9	18.47
ACT2	Col0 WT 1mM KNO3_seedling9	19.64
ACT2	Col0 WT 1mM KNO3_seedling9	19.71
ACT2	Col0 WT 1mM KNO3_seedling9	19.53
LVG	Col0 WT 1mM KNO3_seedling9	22.1
LVG	Col0 WT 1mM KNO3_seedling9	22.26
LVG	Col0 WT 1mM KNO3_seedling9	22.21
HVG	Col0 WT 1mM KNO3_seedling9	20.45
HVG	Col0 WT 1mM KNO3_seedling9	20.3
HVG	Col0 WT 1mM KNO3_seedling9	20.45
NRT2.1	Col0 WT 1mM KNO3_seedling9	19.67
NRT2.1	Col0 WT 1mM KNO3_seedling9	19.62
NRT2.1	Col0 WT 1mM KNO3_seedling9	19.61
NRT1.1	Col0 WT 1mM KNO3_seedling9	22.5
NRT1.1	Col0 WT 1mM KNO3_seedling9	22.6
NRT1.1	Col0 WT 1mM KNO3_seedling9	22.51
TGA1	Col0 WT 1mM KNO3_seedling9	23.66
TGA1	Col0 WT 1mM KNO3_seedling9	23.67
TGA1	Col0 WT 1mM KNO3_seedling9	23.69
PP2C	Col0 WT 1mM KNO3_seedling9	25.21
PP2C	Col0 WT 1mM KNO3_seedling9	25.32
PP2C	Col0 WT 1mM KNO3_seedling9	25.25
UBQ10	Col0 WT 1mM KNO3_seedling2	18.55
UBQ10	Col0 WT 1mM KNO3_seedling2	18.5
UBQ10	Col0 WT 1mM KNO3_seedling2	18.54
ACT2	Col0 WT 1mM KNO3_seedling2	19.23
ACT2	Col0 WT 1mM KNO3_seedling2	19.43
ACT2	Col0 WT 1mM KNO3_seedling2	19.43
LVG	Col0 WT 1mM KNO3_seedling2	21.88
LVG	Col0 WT 1mM KNO3_seedling2	22
LVG	Col0 WT 1mM KNO3_seedling2	21.93
HVG	Col0 WT 1mM KNO3_seedling2	20.04
HVG	Col0 WT 1mM KNO3_seedling2	20.02
HVG	Col0 WT 1mM KNO3_seedling2	19.96
NRT2.1	Col0 WT 1mM KNO3_seedling2	19.13
NRT2.1	Col0 WT 1mM KNO3_seedling2	19.07
NRT2.1	Col0 WT 1mM KNO3_seedling2	18.97
NRT1.1	Col0 WT 1mM KNO3_seedling2	22.03
NRT1.1	Col0 WT 1mM KNO3_seedling2	22.31
NRT1.1	Col0 WT 1mM KNO3_seedling2	22.29
TGA1	Col0 WT 1mM KNO3_seedling2	23.07
TGA1	Col0 WT 1mM KNO3_seedling2	23.24
TGA1	Col0 WT 1mM KNO3_seedling2	23.1
PP2C	Col0 WT 1mM KNO3_seedling2	24.73
PP2C	Col0 WT 1mM KNO3_seedling2	24.85
PP2C	Col0 WT 1mM KNO3_seedling2	24.94
UBQ10	Col0 WT 1mM KNO3_seedling10	18.47
UBQ10	Col0 WT 1mM KNO3_seedling10	18.68
UBQ10	Col0 WT 1mM KNO3_seedling10	18.45
ACT2	Col0 WT 1mM KNO3_seedling10	19.67
ACT2	Col0 WT 1mM KNO3_seedling10	19.51
ACT2	Col0 WT 1mM KNO3_seedling10	19.47
LVG	Col0 WT 1mM KNO3_seedling10	22.09
LVG	Col0 WT 1mM KNO3_seedling10	22.03
LVG	Col0 WT 1mM KNO3_seedling10	22.11
HVG	Col0 WT 1mM KNO3_seedling10	20.05
HVG	Col0 WT 1mM KNO3_seedling10	20.22
HVG	Col0 WT 1mM KNO3_seedling10	20.2
NRT2.1	Col0 WT 1mM KNO3_seedling10	19.64
NRT2.1	Col0 WT 1mM KNO3_seedling10	19.73
NRT2.1	Col0 WT 1mM KNO3_seedling10	19.5
NRT1.1	Col0 WT 1mM KNO3_seedling10	22.86
NRT1.1	Col0 WT 1mM KNO3_seedling10	22.54
NRT1.1	Col0 WT 1mM KNO3_seedling10	22.54
TGA1	Col0 WT 1mM KNO3_seedling10	23.7
TGA1	Col0 WT 1mM KNO3_seedling10	23.76
TGA1	Col0 WT 1mM KNO3_seedling10	23.64
PP2C	Col0 WT 1mM KNO3_seedling10	25.28
PP2C	Col0 WT 1mM KNO3_seedling10	25.12
PP2C	Col0 WT 1mM KNO3_seedling10	25.19
UBQ10	Col0 WT 1mM KNO3_seedling3	18.68
UBQ10	Col0 WT 1mM KNO3_seedling3	18.61
UBQ10	Col0 WT 1mM KNO3_seedling3	18.54
ACT2	Col0 WT 1mM KNO3_seedling3	19.83
ACT2	Col0 WT 1mM KNO3_seedling3	19.95
ACT2	Col0 WT 1mM KNO3_seedling3	19.91
LVG	Col0 WT 1mM KNO3_seedling3	22.49
LVG	Col0 WT 1mM KNO3_seedling3	22.6
LVG	Col0 WT 1mM KNO3_seedling3	22.55
HVG	Col0 WT 1mM KNO3_seedling3	21.04
HVG	Col0 WT 1mM KNO3_seedling3	20.81
HVG	Col0 WT 1mM KNO3_seedling3	20.75
NRT2.1	Col0 WT 1mM KNO3_seedling3	19.69
NRT2.1	Col0 WT 1mM KNO3_seedling3	19.62
NRT2.1	Col0 WT 1mM KNO3_seedling3	19.76
NRT1.1	Col0 WT 1mM KNO3_seedling3	23.02
NRT1.1	Col0 WT 1mM KNO3_seedling3	22.94
NRT1.1	Col0 WT 1mM KNO3_seedling3	23.02
TGA1	Col0 WT 1mM KNO3_seedling3	24.16
TGA1	Col0 WT 1mM KNO3_seedling3	24.15
TGA1	Col0 WT 1mM KNO3_seedling3	24.27
PP2C	Col0 WT 1mM KNO3_seedling3	25.14
PP2C	Col0 WT 1mM KNO3_seedling3	25.67
PP2C	Col0 WT 1mM KNO3_seedling3	25.48
UBQ10	Col0 WT 1mM KNO3_seedling11	18.51
UBQ10	Col0 WT 1mM KNO3_seedling11	18.56
UBQ10	Col0 WT 1mM KNO3_seedling11	18.57
ACT2	Col0 WT 1mM KNO3_seedling11	19.17
ACT2	Col0 WT 1mM KNO3_seedling11	19.03
ACT2	Col0 WT 1mM KNO3_seedling11	18.92
LVG	Col0 WT 1mM KNO3_seedling11	21.72
LVG	Col0 WT 1mM KNO3_seedling11	21.69
LVG	Col0 WT 1mM KNO3_seedling11	21.75
HVG	Col0 WT 1mM KNO3_seedling11	19.65
HVG	Col0 WT 1mM KNO3_seedling11	19.76
HVG	Col0 WT 1mM KNO3_seedling11	19.88
NRT2.1	Col0 WT 1mM KNO3_seedling11	19.3
NRT2.1	Col0 WT 1mM KNO3_seedling11	19.44
NRT2.1	Col0 WT 1mM KNO3_seedling11	19.52
NRT1.1	Col0 WT 1mM KNO3_seedling11	22.8
NRT1.1	Col0 WT 1mM KNO3_seedling11	22.08
NRT1.1	Col0 WT 1mM KNO3_seedling11	22.17
TGA1	Col0 WT 1mM KNO3_seedling11	23.05
TGA1	Col0 WT 1mM KNO3_seedling11	23.05
TGA1	Col0 WT 1mM KNO3_seedling11	23.01
PP2C	Col0 WT 1mM KNO3_seedling11	24.78
PP2C	Col0 WT 1mM KNO3_seedling11	24.57
PP2C	Col0 WT 1mM KNO3_seedling11	24.88
UBQ10	Col0 WT 1mM KNO3_seedling4	18.43
UBQ10	Col0 WT 1mM KNO3_seedling4	18.63
UBQ10	Col0 WT 1mM KNO3_seedling4	18.35
ACT2	Col0 WT 1mM KNO3_seedling4	19.3
ACT2	Col0 WT 1mM KNO3_seedling4	19.56
ACT2	Col0 WT 1mM KNO3_seedling4	19.34
LVG	Col0 WT 1mM KNO3_seedling4	22.12
LVG	Col0 WT 1mM KNO3_seedling4	22.13
LVG	Col0 WT 1mM KNO3_seedling4	22.01
HVG	Col0 WT 1mM KNO3_seedling4	20.2
HVG	Col0 WT 1mM KNO3_seedling4	20.03
HVG	Col0 WT 1mM KNO3_seedling4	20.09
NRT2.1	Col0 WT 1mM KNO3_seedling4	19.02
NRT2.1	Col0 WT 1mM KNO3_seedling4	18.87
NRT2.1	Col0 WT 1mM KNO3_seedling4	18.98
NRT1.1	Col0 WT 1mM KNO3_seedling4	22.47
NRT1.1	Col0 WT 1mM KNO3_seedling4	22.45
NRT1.1	Col0 WT 1mM KNO3_seedling4	22.49
TGA1	Col0 WT 1mM KNO3_seedling4	23.74
TGA1	Col0 WT 1mM KNO3_seedling4	23.49
TGA1	Col0 WT 1mM KNO3_seedling4	23.66
PP2C	Col0 WT 1mM KNO3_seedling4	24.73
PP2C	Col0 WT 1mM KNO3_seedling4	24.68
PP2C	Col0 WT 1mM KNO3_seedling4	24.94
UBQ10	Col0 WT 1mM KNO3_seedling12	18.68
UBQ10	Col0 WT 1mM KNO3_seedling12	18.7
UBQ10	Col0 WT 1mM KNO3_seedling12	18.62
ACT2	Col0 WT 1mM KNO3_seedling12	19.74
ACT2	Col0 WT 1mM KNO3_seedling12	19.73
ACT2	Col0 WT 1mM KNO3_seedling12	19.65
LVG	Col0 WT 1mM KNO3_seedling12	22.29
LVG	Col0 WT 1mM KNO3_seedling12	22.21
