Primers	Name	Cp
UBQ10	Col 0 WT - 1 mM - 1 - seedling 33	18.14
UBQ10	Col 0 WT - 1 mM - 1 - seedling 33	18.1
UBQ10	Col 0 WT - 1 mM - 1 - seedling 33	18.16
ACT2	Col 0 WT - 1 mM - 1 - seedling 33	20.19
ACT2	Col 0 WT - 1 mM - 1 - seedling 33	
ACT2	Col 0 WT - 1 mM - 1 - seedling 33	20.2
LVG	Col 0 WT - 1 mM - 1 - seedling 33	22.65
LVG	Col 0 WT - 1 mM - 1 - seedling 33	22.57
LVG	Col 0 WT - 1 mM - 1 - seedling 33	22.53
HVG	Col 0 WT - 1 mM - 1 - seedling 33	20.47
HVG	Col 0 WT - 1 mM - 1 - seedling 33	20.53
HVG	Col 0 WT - 1 mM - 1 - seedling 33	20.44
NRT2.1	Col 0 WT - 1 mM - 1 - seedling 33	20.52
NRT2.1	Col 0 WT - 1 mM - 1 - seedling 33	20.44
NRT2.1	Col 0 WT - 1 mM - 1 - seedling 33	20.5
NRT1.1	Col 0 WT - 1 mM - 1 - seedling 33	21.59
NRT1.1	Col 0 WT - 1 mM - 1 - seedling 33	21.63
NRT1.1	Col 0 WT - 1 mM - 1 - seedling 33	21.65
TGA1	Col 0 WT - 1 mM - 1 - seedling 33	23.52
TGA1	Col 0 WT - 1 mM - 1 - seedling 33	23.49
TGA1	Col 0 WT - 1 mM - 1 - seedling 33	23.57
PP2C	Col 0 WT - 1 mM - 1 - seedling 33	25.17
PP2C	Col 0 WT - 1 mM - 1 - seedling 33	25.3
PP2C	Col 0 WT - 1 mM - 1 - seedling 33	25.27
UBQ10	Col 0 WT - 1 mM - 2 - seedling 35	17.89
UBQ10	Col 0 WT - 1 mM - 2 - seedling 35	17.9
UBQ10	Col 0 WT - 1 mM - 2 - seedling 35	17.94
ACT2	Col 0 WT - 1 mM - 2 - seedling 35	19.76
ACT2	Col 0 WT - 1 mM - 2 - seedling 35	
ACT2	Col 0 WT - 1 mM - 2 - seedling 35	19.76
LVG	Col 0 WT - 1 mM - 2 - seedling 35	22.32
LVG	Col 0 WT - 1 mM - 2 - seedling 35	22.26
LVG	Col 0 WT - 1 mM - 2 - seedling 35	22.23
HVG	Col 0 WT - 1 mM - 2 - seedling 35	19.78
HVG	Col 0 WT - 1 mM - 2 - seedling 35	19.86
HVG	Col 0 WT - 1 mM - 2 - seedling 35	19.85
NRT2.1	Col 0 WT - 1 mM - 2 - seedling 35	20.31
NRT2.1	Col 0 WT - 1 mM - 2 - seedling 35	20.26
NRT2.1	Col 0 WT - 1 mM - 2 - seedling 35	20.31
NRT1.1	Col 0 WT - 1 mM - 2 - seedling 35	21.28
NRT1.1	Col 0 WT - 1 mM - 2 - seedling 35	21.28
NRT1.1	Col 0 WT - 1 mM - 2 - seedling 35	21.3
TGA1	Col 0 WT - 1 mM - 2 - seedling 35	23.03
TGA1	Col 0 WT - 1 mM - 2 - seedling 35	23.03
TGA1	Col 0 WT - 1 mM - 2 - seedling 35	23.02
PP2C	Col 0 WT - 1 mM - 2 - seedling 35	24.89
PP2C	Col 0 WT - 1 mM - 2 - seedling 35	24.84
PP2C	Col 0 WT - 1 mM - 2 - seedling 35	24.92
UBQ10	Col 0 WT - 1 mM - 10 - seedling 46	18.43
UBQ10	Col 0 WT - 1 mM - 10 - seedling 46	18.51
UBQ10	Col 0 WT - 1 mM - 10 - seedling 46	18.49
ACT2	Col 0 WT - 1 mM - 10 - seedling 46	19.97
ACT2	Col 0 WT - 1 mM - 10 - seedling 46	19.94
ACT2	Col 0 WT - 1 mM - 10 - seedling 46	19.98
LVG	Col 0 WT - 1 mM - 10 - seedling 46	22.43
LVG	Col 0 WT - 1 mM - 10 - seedling 46	22.43
LVG	Col 0 WT - 1 mM - 10 - seedling 46	22.43
HVG	Col 0 WT - 1 mM - 10 - seedling 46	19.84
HVG	Col 0 WT - 1 mM - 10 - seedling 46	19.87
HVG	Col 0 WT - 1 mM - 10 - seedling 46	19.89
NRT2.1	Col 0 WT - 1 mM - 10 - seedling 46	20.28
NRT2.1	Col 0 WT - 1 mM - 10 - seedling 46	20.28
NRT2.1	Col 0 WT - 1 mM - 10 - seedling 46	20.3
NRT1.1	Col 0 WT - 1 mM - 10 - seedling 46	21.3
NRT1.1	Col 0 WT - 1 mM - 10 - seedling 46	21.26
NRT1.1	Col 0 WT - 1 mM - 10 - seedling 46	
TGA1	Col 0 WT - 1 mM - 10 - seedling 46	23.16
TGA1	Col 0 WT - 1 mM - 10 - seedling 46	23.17
TGA1	Col 0 WT - 1 mM - 10 - seedling 46	23.82
PP2C	Col 0 WT - 1 mM - 10 - seedling 46	24.85
PP2C	Col 0 WT - 1 mM - 10 - seedling 46	24.91
PP2C	Col 0 WT - 1 mM - 10 - seedling 46	24.89
UBQ10	Col 0 WT - 1 mM - 3 - seedling 36	18.27
UBQ10	Col 0 WT - 1 mM - 3 - seedling 36	18.24
UBQ10	Col 0 WT - 1 mM - 3 - seedling 36	18.3
ACT2	Col 0 WT - 1 mM - 3 - seedling 36	20
ACT2	Col 0 WT - 1 mM - 3 - seedling 36	
ACT2	Col 0 WT - 1 mM - 3 - seedling 36	20.03
LVG	Col 0 WT - 1 mM - 3 - seedling 36	22.45
LVG	Col 0 WT - 1 mM - 3 - seedling 36	22.51
LVG	Col 0 WT - 1 mM - 3 - seedling 36	22.47
HVG	Col 0 WT - 1 mM - 3 - seedling 36	20.11
HVG	Col 0 WT - 1 mM - 3 - seedling 36	20.1
HVG	Col 0 WT - 1 mM - 3 - seedling 36	20.12
NRT2.1	Col 0 WT - 1 mM - 3 - seedling 36	20.02
NRT2.1	Col 0 WT - 1 mM - 3 - seedling 36	20.04
NRT2.1	Col 0 WT - 1 mM - 3 - seedling 36	20.12
NRT1.1	Col 0 WT - 1 mM - 3 - seedling 36	21.31
NRT1.1	Col 0 WT - 1 mM - 3 - seedling 36	21.26
NRT1.1	Col 0 WT - 1 mM - 3 - seedling 36	21.42
TGA1	Col 0 WT - 1 mM - 3 - seedling 36	23.16
TGA1	Col 0 WT - 1 mM - 3 - seedling 36	23.14
TGA1	Col 0 WT - 1 mM - 3 - seedling 36	23.19
PP2C	Col 0 WT - 1 mM - 3 - seedling 36	25.01
PP2C	Col 0 WT - 1 mM - 3 - seedling 36	25
PP2C	Col 0 WT - 1 mM - 3 - seedling 36	25.03
UBQ10	Col 0 WT - 1 mM - 11 - seedling 47	18.43
UBQ10	Col 0 WT - 1 mM - 11 - seedling 47	18.48
UBQ10	Col 0 WT - 1 mM - 11 - seedling 47	18.46
ACT2	Col 0 WT - 1 mM - 11 - seedling 47	20.03
ACT2	Col 0 WT - 1 mM - 11 - seedling 47	20.07
ACT2	Col 0 WT - 1 mM - 11 - seedling 47	20.01
LVG	Col 0 WT - 1 mM - 11 - seedling 47	22.34
LVG	Col 0 WT - 1 mM - 11 - seedling 47	22.3
LVG	Col 0 WT - 1 mM - 11 - seedling 47	22.27
HVG	Col 0 WT - 1 mM - 11 - seedling 47	20.26
HVG	Col 0 WT - 1 mM - 11 - seedling 47	20.25
HVG	Col 0 WT - 1 mM - 11 - seedling 47	20.26
NRT2.1	Col 0 WT - 1 mM - 11 - seedling 47	19.51
NRT2.1	Col 0 WT - 1 mM - 11 - seedling 47	19.53
NRT2.1	Col 0 WT - 1 mM - 11 - seedling 47	19.59
