Primer	Name	Cp
UBQ10	WT_1mM_seedling1	18.22
UBQ10	WT_1mM_seedling1	18.27
UBQ10	WT_1mM_seedling1	18.25
ACT2	WT_1mM_seedling1	19.96
ACT2	WT_1mM_seedling1	19.98
ACT2	WT_1mM_seedling1	19.97
LVG	WT_1mM_seedling1	22.27
LVG	WT_1mM_seedling1	22.28
LVG	WT_1mM_seedling1	22.27
HVG	WT_1mM_seedling1	20.61
HVG	WT_1mM_seedling1	20.67
HVG	WT_1mM_seedling1	20.56
NRT2.1	WT_1mM_seedling1	18.97
NRT2.1	WT_1mM_seedling1	18.96
NRT2.1	WT_1mM_seedling1	18.94
NRT1.1	WT_1mM_seedling1	21.01
NRT1.1	WT_1mM_seedling1	21.04
NRT1.1	WT_1mM_seedling1	21.05
TGA1	WT_1mM_seedling1	23
TGA1	WT_1mM_seedling1	23.02
TGA1	WT_1mM_seedling1	23.08
PP2C	WT_1mM_seedling1	24.56
PP2C	WT_1mM_seedling1	24.6
PP2C	WT_1mM_seedling1	24.59
UBQ10	WT_1mM_seedling9	18.57
UBQ10	WT_1mM_seedling9	18.46
UBQ10	WT_1mM_seedling9	18.52
ACT2	WT_1mM_seedling9	19.88
ACT2	WT_1mM_seedling9	19.94
ACT2	WT_1mM_seedling9	19.93
LVG	WT_1mM_seedling9	22.17
LVG	WT_1mM_seedling9	22.23
LVG	WT_1mM_seedling9	22.2
HVG	WT_1mM_seedling9	20.42
HVG	WT_1mM_seedling9	20.31
HVG	WT_1mM_seedling9	20.34
NRT2.1	WT_1mM_seedling9	18.64
NRT2.1	WT_1mM_seedling9	18.67
NRT2.1	WT_1mM_seedling9	18.66
NRT1.1	WT_1mM_seedling9	20.99
NRT1.1	WT_1mM_seedling9	21.06
NRT1.1	WT_1mM_seedling9	21.03
TGA1	WT_1mM_seedling9	23.02
TGA1	WT_1mM_seedling9	23.01
TGA1	WT_1mM_seedling9	23.1
PP2C	WT_1mM_seedling9	24.18
PP2C	WT_1mM_seedling9	24.19
PP2C	WT_1mM_seedling9	24.19
UBQ10	WT_1mM_seedling2	18.34
UBQ10	WT_1mM_seedling2	18.26
UBQ10	WT_1mM_seedling2	18.32
ACT2	WT_1mM_seedling2	19.99
ACT2	WT_1mM_seedling2	20.06
ACT2	WT_1mM_seedling2	19.99
LVG	WT_1mM_seedling2	22.3
LVG	WT_1mM_seedling2	22.31
