number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0125-0077	963	302.25	291067	292	291067	119.657	seedling1	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
2	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0140-0121	1181	305.859	361220	295	361220	146.603	seedling2	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
3	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0134-0171	1149	310.994	357332	299	357332	143.158	seedling3	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
4	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0136-0229	1219	309.779	377621	300	377621	151.505	seedling4	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
5	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0147-0270	1338	313.153	418999	302	418999	166.873	seedling5	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
6	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0148-0329	1370	321.904	441009	304	441009	170.586	seedling6	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
7	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0141-0384	1172	308.907	362039	300	362039	145.805	seedling7	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
8	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0134-0437	1030	305.983	315163	294	315163	127.703	seedling8	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
9	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0378-0406	1072	281.225	301473	281	301473	133.655	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
10	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0376-0313	1186	281.044	333318	281	333318	146.894	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
11	20230725_AV_30_starvation_T1_1mM_0mM_N1_luc.tif:0391-0163	1199	281.049	336978	281	336978	149.333	background	pNRT2.1:LUC	1mM->0mM->1mM	plate1	T1
1	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0144-0056	1186	301.245	357276	291	357276	147.219	seedling9	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
2	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0135-0108	1154	300.295	346541	291	346541	143.012	seedling10	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
3	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0148-0159	1428	316.699	452246	304	452246	177.453	seedling11	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
4	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0137-0213	1178	303.495	357517	296	357517	146.077	seedling12	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
5	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0120-0260	929	302.059	280613	294	280613	114.835	seedling13	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
6	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0146-0317	1271	310.41	394531	301	394531	158.107	seedling14	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
7	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0142-0367	1280	314.597	402684	304	402684	159.6	seedling15	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
8	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0142-0420	1376	314.035	432112	303	432112	171.108	seedling16	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
9	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0397-0413	1260	281.217	354333	281	354333	156.022	background	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
10	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0403-0314	1238	280.805	347636	281	347636	153.297	background	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
11	20230725_AV_30_starvation_T1_1mM_0mM_N2_luc.tif:0410-0237	1229	281.072	345438	281	345438	152.318	background	pNRT2.1:LUC	1mM->0mM->1mM	plate2	T1
1	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0141-0058	1270	310.077	393798	296	393798	157.013	seedling17	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
2	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0147-0105	1298	319.573	414806	302	414806	161.94	seedling18	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
3	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0120-0151	1074	303.68	326152	294	326152	133.41	seedling19	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
4	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0147-0211	1388	319.984	444138	307	444138	172.26	seedling20	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
5	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0140-0271	1253	310.789	389419	301	389419	156.53	seedling21	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
6	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0139-0318	1224	309.31	378596	301	378596	151.639	seedling22	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
7	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0121-0371	968	307.633	297789	295	297789	120.226	seedling23	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
8	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0125-0425	1086	306.447	332801	294	332801	135.146	seedling24	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
9	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0377-0391	1410	282.182	397876	282	397876	175.91	background	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
10	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0390-0336	1260	282.012	355335	282	355335	156.466	background	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
11	20230725_AV_30_starvation_T1_1mM_0mM_N3_luc.tif:0381-0265	1171	281.915	330123	282	330123	145.48	background	pNRT2.1:LUC	1mM->0mM->1mM	plate3	T1
1	20230725_AV_30_starvation_T1_1mM_0mM_N4_luc.tif:0142-0059	1219	316.462	385767	296	385767	151.34	seedling25	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T1
2	20230725_AV_30_starvation_T1_1mM_0mM_N4_luc.tif:0131-0106	1109	322.514	357668	302	357668	137.798	seedling26	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T1
4	20230725_AV_30_starvation_T1_1mM_0mM_N4_luc.tif:0123-0207	1026	304.854	312780	296	312780	127.53	seedling28	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T1
6	20230725_AV_30_starvation_T1_1mM_0mM_N4_luc.tif:0131-0317	1125	324.39	364939	303	364939	140.002	seedling30	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T1
7	20230725_AV_30_starvation_T1_1mM_0mM_N4_luc.tif:0121-0373	929	287.381	266977	285	266977	115.18	seedling31	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T1
9	20230725_AV_30_starvation_T1_1mM_0mM_N4_luc.tif:0389-0387	1301	282.064	366965	282	366965	161.355	background	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T1
10	20230725_AV_30_starvation_T1_1mM_0mM_N4_luc.tif:0386-0322	1374	281.983	387444	282	387444	170.895	background	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T1
11	20230725_AV_30_starvation_T1_1mM_0mM_N4_luc.tif:0390-0254	1429	282.01	402993	282	402993	177.321	background	pNRT2.1:LUC	1mM->0mM->1mM	plate4	T1
1	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0123-0060	1014	300.452	304658	288	304658	125.617	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
2	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0163-0111	1658	397.92	659751	340	659751	206.219	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
3	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0135-0160	1357	414.325	562239	345	562239	168.601	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
4	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0114-0214	948	292.633	277416	289	277416	117.672	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
5	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0118-0262	963	292.41	281591	288	281591	119.753	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
6	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0144-0322	1363	376.98	513824	333	513824	169.158	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
7	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0151-0377	1486	490.248	728509	401	728509	184.829	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
8	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0141-0436	1354	442.979	599794	340	599794	169.827	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
9	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0373-0429	1402	282.611	396220	283	396220	174.616	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
10	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0379-0322	1305	282.379	368505	282	368505	161.692	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
11	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0377-0255	1367	282.347	385968	282	385968	169.891	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
1	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0152-0060	1377	419.24	577293	340	577293	171.653	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
2	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0137-0110	1200	381.559	457871	327	457871	149.338	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
3	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0148-0165	1354	482.415	653190	385	653190	168.391	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
4	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0116-0214	827	307.492	254296	296	254296	102.404	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
5	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0125-0266	1048	358.871	376097	328	376097	130.278	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
6	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0140-0320	1374	379.347	521223	331	521223	170.778	seedling46	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
7	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0121-0374	979	293.784	287615	287	287615	121.29	seedling47	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
8	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0145-0422	1454	404.807	588590	333	588590	181.019	seedling48	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
9	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0381-0376	1374	281.83	387234	282	387234	171.184	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
10	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0392-0302	1416	281.765	398979	282	398979	176.09	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
11	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0390-0249	1320	281.811	371990	282	371990	164.787	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
1	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0126-0053	932	322.264	300350	300	300350	116.211	seedling49	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
2	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0133-0102	1195	402.398	480866	345	480866	148.606	seedling50	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
3	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0141-0157	1439	420.734	605436	352	605436	178.658	seedling51	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
4	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0139-0209	1400	385.984	540378	335	540378	173.982	seedling52	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
5	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0134-0263	1305	364.402	475544	324	475544	162.197	seedling53	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
6	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0118-0314	1099	303.702	333769	289	333769	135.953	seedling54	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
7	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0114-0369	1088	353.119	384193	317	384193	134.764	seedling55	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
8	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0128-0430	1203	441.359	530955	364	530955	150.256	seedling56	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
9	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0388-0373	1469	281.724	413853	282	413853	182.61	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
10	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0395-0255	1395	281.459	392635	281	392635	173.345	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
11	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0398-0202	1408	281.621	396523	282	396523	174.496	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
1	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0158-0054	1328	338.832	449969	303	449969	164.804	seedling57	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
2	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0157-0109	1482	415.464	615717	351	615717	185.433	seedling58	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
3	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0147-0164	1409	398.16	561008	342	561008	176.235	seedling59	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
4	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0144-0208	1439	436.858	628639	360	628639	179.059	seedling60	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
5	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0139-0264	1285	320.812	412243	299	412243	159.705	seedling61	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
6	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0135-0316	1288	341.626	440014	315	440014	160.01	seedling62	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
7	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0140-0370	1391	390.085	542608	338	542608	173.012	seedling63	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
8	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0150-0422	1456	375.941	547370	320	547370	181.279	seedling64	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
9	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0391-0407	1281	281.422	360502	281	360502	158.836	background	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
10	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0395-0303	1302	281.341	366306	281	366306	161.437	background	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
11	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0389-0138	1243	281.364	349736	281	349736	155.343	background	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
1	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0169-0060	1404	319.528	448618	300	448618	174.288	seedling65	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
2	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0154-0115	1223	307.71	376329	298	376329	152.01	seedling66	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
3	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0146-0158	1342	304.855	409115	296	409115	167.364	seedling67	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
4	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0143-0207	1316	312.936	411824	301	411824	163.605	seedling68	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
5	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0142-0260	1421	312.404	443926	302	443926	176.673	seedling69	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
6	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0143-0314	1501	313.324	470300	304	470300	187.563	seedling70	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
7	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0117-0367	1093	299.163	326985	291	326985	135.65	seedling71	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
8	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0150-0421	1511	308.359	465931	298	465931	187.494	seedling72	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
9	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0378-0405	1431	280.723	401715	281	401715	177.605	background	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
10	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0382-0312	1506	280.55	422508	281	422508	187.037	background	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
11	20230725_AV_30_starvation_T1_1mM_0mM_N9_luc.tif:0364-0105	1220	280.552	342273	281	342273	151.96	background	pNRT2.1:LUC	1mM->0mM->0mM	plate9	T1
1	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0139-0067	1277	305.138	389661	294	389661	159.371	seedling73	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
2	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0126-0111	1197	303.701	363530	293	363530	148.455	seedling74	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
3	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0120-0160	1106	303.111	335241	295	335241	136.969	seedling75	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
4	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0120-0215	1113	304.597	339016	295	339016	138.17	seedling76	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
5	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0136-0263	1417	310.557	440059	301	440059	175.997	seedling77	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
6	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0127-0316	1417	311.384	441231	300	441231	175.822	seedling78	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
7	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0126-0373	1328	311.654	413876	302	413876	164.932	seedling79	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
8	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0117-0419	1159	306.811	355594	296	355594	143.639	seedling80	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
9	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0374-0415	1313	280.598	368425	281	368425	163.031	background	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
10	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0384-0334	1421	280.447	398515	281	398515	177.133	background	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
11	20230725_AV_30_starvation_T1_1mM_0mM_N10_luc.tif:0368-0168	1178	280.316	330212	280	330212	145.889	background	pNRT2.1:LUC	1mM->0mM->0mM	plate10	T1
1	20230725_AV_30_starvation_T1_1mM_0mM_N11_luc.tif:0146-0066	1373	312.462	429011	297	429011	170.563	seedling81	pNRT2.1:LUC	1mM->0mM->0mM	plate11	T1
2	20230725_AV_30_starvation_T1_1mM_0mM_N11_luc.tif:0140-0106	1197	303.383	363150	294	363150	148.657	seedling82	pNRT2.1:LUC	1mM->0mM->0mM	plate11	T1
3	20230725_AV_30_starvation_T1_1mM_0mM_N11_luc.tif:0125-0166	982	300.082	294681	293	294681	121.524	seedling83	pNRT2.1:LUC	1mM->0mM->0mM	plate11	T1
4	20230725_AV_30_starvation_T1_1mM_0mM_N11_luc.tif:0131-0215	1182	298.189	352459	292	352459	146.456	seedling84	pNRT2.1:LUC	1mM->0mM->0mM	plate11	T1
5	20230725_AV_30_starvation_T1_1mM_0mM_N11_luc.tif:0147-0269	1419	316.853	449615	306	449615	176.549	seedling85	pNRT2.1:LUC	1mM->0mM->0mM	plate11	T1
