number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen-norm_bckg	RawIntDen_normBackg_normLen	signal	DAY	
1	20230616_pNRT21_0.5_T4_N5_luc.tif:0200-0057	1823	349.826	637733	321	637733	227.336	seedling33	pNRT2.1:LUC	0.5mM->0.5mM	45.92646465	plate5	116557.9206	2537.924951		T4	medium
2	20230616_pNRT21_0.5_T4_N5_luc.tif:0210-0094	1975	334.99	661606	312	661606	245.451	seedling34	pNRT2.1:LUC	0.5mM->0.5mM	49.58606061	plate5	96975.83987	1955.707687		T4	low
3	20230616_pNRT21_0.5_T4_N5_luc.tif:0197-0145	1910	341.479	652225	315	652225	238.577	seedling35	pNRT2.1:LUC	0.5mM->0.5mM	48.19737374	plate5	106177.6046	2202.974901		T4	medium
4	20230616_pNRT21_0.5_T4_N5_luc.tif:0209-0191	2217	344.706	764214	324	764214	275.917	seedling36	pNRT2.1:LUC	0.5mM->0.5mM	55.74080808	plate5	130398.7772	2339.37723		T4	high
5	20230616_pNRT21_0.5_T4_N5_luc.tif:0204-0255	1962	356.484	699421	330	699421	245.115	seedling37	pNRT2.1:LUC	0.5mM->0.5mM	49.51818182	plate5	138507.3928	2797.101746		T4	low
6	20230616_pNRT21_0.5_T4_N5_luc.tif:0175-0312	1528	304.942	465951	296	465951	190.418	seedling38	pNRT2.1:LUC	0.5mM->0.5mM	38.46828283	plate5	29113.08371	756.8074676		T4	high
7	20230616_pNRT21_0.5_T4_N5_luc.tif:0201-0345	1824	332.962	607323	306	607323	228.259	seedling39	pNRT2.1:LUC	0.5mM->0.5mM	46.11292929	plate5	85862.03186	1861.994742		T4	
8	20230616_pNRT21_0.5_T4_N5_luc.tif:0219-0385	2203	352.527	776616	326	776616	273.87	seedling40	pNRT2.1:LUC	0.5mM->0.5mM	55.32727273	plate5	146803.2189	2653.36084		T4	
9	20230616_pNRT21_0.5_T4_N5_luc.tif:0374-0431	1670	285.881	477422	286	477422	207.197	background		0.5mM->0.5mM	41.8579798	plate5		0		T4	
10	20230616_pNRT21_0.5_T4_N5_luc.tif:0397-0320	1495	285.795	427264	286	427264	185.986	background		0.5mM->0.5mM	37.57292929	plate5		0		T4	high
11	20230616_pNRT21_0.5_T4_N5_luc.tif:0380-0233	1684	285.989	481606	286	481606	209.435	background		0.5mM->0.5mM	42.31010101	plate5		0		T4	low
1	20230616_pNRT21_0.5_T4_N6_luc.tif:0227-0060	2052	358.956	736578	332	736578	255.89	seedling41	pNRT2.1:LUC	0.5mM->0.5mM	51.69494949	plate6	149560.5016	2893.135656		T4	high
2	20230616_pNRT21_0.5_T4_N6_luc.tif:0203-0091	1800	323.383	582090	306	582090	223.761	seedling42	pNRT2.1:LUC	0.5mM->0.5mM	45.20424242	plate6	67162.36984	1485.753687		T4	high
3	20230616_pNRT21_0.5_T4_N6_luc.tif:0231-0138	2241	361.867	810945	338	810945	279.375	seedling43	pNRT2.1:LUC	0.5mM->0.5mM	56.43939394	plate6	169860.1005	3009.60178		T4	low
4	20230616_pNRT21_0.5_T4_N6_luc.tif:0237-0200	2439	375.205	915125	348	915125	304.573	seedling44	pNRT2.1:LUC	0.5mM->0.5mM	61.52989899	plate6	217398.0611	3533.210109		T4	low
5	20230616_pNRT21_0.5_T4_N6_luc.tif:0196-0256	1828	359.197	656613	333	656613	227.398	seedling45	pNRT2.1:LUC	0.5mM->0.5mM	45.9389899	plate6	133675.3845	2909.845967		T4	
6	20230616_pNRT21_0.5_T4_N6_luc.tif:0178-0305	1489	328.551	489212	310	489212	185.567	seedling46	pNRT2.1:LUC	0.5mM->0.5mM	37.48828283	plate6	63252.4215	1687.258437		T4	
7	20230616_pNRT21_0.5_T4_N6_luc.tif:0206-0351	1928	314.387	606138	300	606138	239.839	seedling47	pNRT2.1:LUC	0.5mM->0.5mM	48.45232323	plate6	54593.29392	1126.742544		T4	
8	20230616_pNRT21_0.5_T4_N6_luc.tif:0198-0403	1748	324.912	567946	303	567946	216.768	seedling48	pNRT2.1:LUC	0.5mM->0.5mM	43.79151515	plate6	67894.05694	1550.392963		T4	high
9	20230616_pNRT21_0.5_T4_N6_luc.tif:0376-0434	1529	285.883	437115	286	437115	190.894	background		0.5mM->0.5mM	38.56444444	plate6		0		T4	medium
10	20230616_pNRT21_0.5_T4_N6_luc.tif:0403-0333	1331	285.696	380261	286	380261	165.187	background		0.5mM->0.5mM	33.37111111	plate6		0		T4	high
11	20230616_pNRT21_0.5_T4_N6_luc.tif:0384-0172	1585	286.634	454315	287	454315	196.859	background		0.5mM->0.5mM	39.76949495	plate6		0		T4	high
1	20230616_pNRT21_0.5_T4_N7_luc.tif:0180-0057	1527	369.665	564479	328	564479	190.334	seedling49	pNRT2.1:LUC	0.5mM->0.5mM	38.45131313	plate7	128053.9782	3330.28882		T4	high
2	20230616_pNRT21_0.5_T4_N7_luc.tif:0184-0108	1581	366.109	578818	329	578818	197.177	seedling50	pNRT2.1:LUC	0.5mM->0.5mM	39.83373737	plate7	126959.4804	3187.234961		T4	low
3	20230616_pNRT21_0.5_T4_N7_luc.tif:0201-0153	1881	346.326	651440	322	651440	234.285	seedling51	pNRT2.1:LUC	0.5mM->0.5mM	47.33030303	plate7	113839.8258	2405.220726		T4	medium
4	20230616_pNRT21_0.5_T4_N7_luc.tif:0209-0202	1837	363.453	667663	337	667663	228.749	seedling52	pNRT2.1:LUC	0.5mM->0.5mM	46.21191919	plate7	142638.2685	3086.61209		T4	
5	20230616_pNRT21_0.5_T4_N7_luc.tif:0226-0233	2462	369.895	910681	342	910681	307.583	seedling53	pNRT2.1:LUC	0.5mM->0.5mM	62.1379798	plate7	207027.8215	3331.74368		T4	
6	20230616_pNRT21_0.5_T4_N7_luc.tif:0188-0303	1703	395.905	674226	358	674226	212.79	seedling54	pNRT2.1:LUC	0.5mM->0.5mM	42.98787879	plate7	187499.2075	4361.676194		T4	
7	20230616_pNRT21_0.5_T4_N7_luc.tif:0170-0358	1434	323.817	464354	307	464354	178.424	seedling55	pNRT2.1:LUC	0.5mM->0.5mM	36.04525253	plate7	54508.89114	1512.234964		T4	high
