position_influx	sample	KNO3	Ninflux_umoleN_Gms_heure	RawIntDen_normBackg_normLen
A4	1mM_KNO3_seedling1	1mM	4.439609293	1243.680341
A5	1mM_KNO3_seedling12	1mM	4.167349782	2008.921302
A6	1mM_KNO3_seedling26	1mM	3.043152463	889.4020646
A7	1mM_KNO3_seedling27	1mM	2.392877743	599.6794245
A8	1mM_KNO3_seedling28	1mM	3.900523489	2322.81721
A9	1mM_KNO3_seedling29	1mM	3.588408877	759.366798
A10	1mM_KNO3_seedling30	1mM	5.998535312	2262.945404
A11	1mM_KNO3_seedling31	1mM	3.50197206	1998.589545
A12	1mM_KNO3_seedling32	10mM	3.66042479	1973.352881
B1	10mM_KNO3_seedling1	10mM	2.679078534	602.9282749
B2	10mM_KNO3_seedling2	10mM	6.566682011	1011.226247
B3	10mM_KNO3_seedling3	10mM	2.212736882	669.4715892
B7	10mM_KNO3_seedling4	10mM	4.435217222	487.6108944
B8	10mM_KNO3_seedling5	10mM	2.037639074	1987.144053
B9	10mM_KNO3_seedling7	10mM	1.961023626	794.6074698
B10	10mM_KNO3_seedling8	10mM	1.552037199	1079.890358
B11	10mM_KNO3_seedling9	10mM	3.792839464	756.5890177
B12	10mM_KNO3_seedling10	10mM	3.061541192	528.406388
C1	10mM_KNO3_seedling11	10mM	1.614276486	1148.761472
C2	10mM_KNO3_seedling12	10mM	1.75205419	980.5810403
C3	10mM_KNO3_seedling13	10mM	6.522310695	906.693246
C4	10mM_KNO3_seedling14	10mM	2.919459871	1287.192006
C5	10mM_KNO3_seedling15	10mM	3.583646925	861.7785219
C6	10mM_KNO3_seedling16	10mM	3.265995796	860.2610622
C10	10mM_KNO3_seedling17	10mM	1.334422137	842.5291962
C11	10mM_KNO3_seedling18	10mM	2.623161677	853.412776
C12	10mM_KNO3_seedling19	10mM	1.480334446	1001.391471
D1	10mM_KNO3_seedling20	10mM	1.358395899	1159.236311
D2	10mM_KNO3_seedling21	10mM	4.021373471	1121.261895
D3	10mM_KNO3_seedling22	10mM	1.740820333	494.1817957
D4	10mM_KNO3_seedling23	10mM	1.867528484	817.75256
D5	10mM_KNO3_seedling24	10mM	1.730806883	975.0753892
D6	10mM_KNO3_seedling25	10mM	1.731574898	686.7056497
D7	10mM_KNO3_seedling26	10mM	1.883701882	745.3451718
D8	10mM_KNO3_seedling27	10mM	2.560980409	989.1615762
D9	10mM_KNO3_seedling28	10mM	5.682118657	542.9793037
E1	10mM_KNO3_seedling29	10mM	2.173390579	810.6486693
E2	10mM_KNO3_seedling30	10mM	1.944058096	1371.927579
E3	10mM_KNO3_seedling31	10mM	1.347724572	474.7041656
