position_influx	sample	KNO3	Ninflux_umoleN_Gms_heure	RawIntDen_normBackg_normLen
A1	1mM_KNO3_seedling1	1mM	14.9615556	1122.150898
A2	1mM_KNO3_seedling2	1mM	18.77316157	1120.920574
A3	1mM_KNO3_seedling3	1mM	15.12565546	1387.981889
A4	1mM_KNO3_seedling4	1mM	13.86128232	1224.661716
A5	1mM_KNO3_seedling5	1mM	13.92086035	2051.457064
A6	1mM_KNO3_seedling6	1mM	14.36002429	1986.594039
A7	1mM_KNO3_seedling7	1mM	10.16722681	695.8524138
A8	1mM_KNO3_seedling8	1mM	9.677181201	591.0070419
A9	1mM_KNO3_seedling9	1mM	11.13005422	575.9277849
A10	1mM_KNO3_seedling10	1mM	14.56888937	1613.952961
A11	1mM_KNO3_seedling11	1mM	7.308249451	1330.058421
A12	1mM_KNO3_seedling12	1mM	14.00255055	2040.404564
B1	1mM_KNO3_seedling13	1mM	11.7054449	1786.268924
B2	1mM_KNO3_seedling14	1mM	11.01376277	1207.806675
B3	1mM_KNO3_seedling15	1mM	12.90074714	2335.522132
B4	1mM_KNO3_seedling16	1mM	9.534299889	929.9855002
B5	1mM_KNO3_seedling17	1mM	6.081835398	219.1777757
B6	1mM_KNO3_seedling18	1mM	8.079054821	208.3187947
B7	1mM_KNO3_seedling19	1mM	11.92812297	642.0068679
B8	1mM_KNO3_seedling20	1mM	10.14297936	406.3753762
B9	1mM_KNO3_seedling21	1mM	10.14939462	1539.102607
B10	1mM_KNO3_seedling22	1mM	11.39128499	1613.303192
B11	1mM_KNO3_seedling23	1mM	7.03054359	399.3226263
B12	1mM_KNO3_seedling24	1mM	7.796226052	677.5174832
C1	1mM_KNO3_seedling25	1mM	8.40684253	1099.335231
C2	1mM_KNO3_seedling26	1mM	5.770846344	413.7574141
C3	1mM_KNO3_seedling27	1mM	10.35141731	519.7660378
C4	1mM_KNO3_seedling28	1mM	11.51625185	1374.277559
C5	1mM_KNO3_seedling29	1mM	10.59417088	1407.216727
C6	1mM_KNO3_seedling30	1mM	9.286884849	1049.676338
C7	1mM_KNO3_seedling31	1mM	12.53662556	1029.781638
C8	1mM_KNO3_seedling32	1mM	9.720327745	612.9197631
C9	10mM_KNO3_seedling1	10mM	4.153532806	183.5829804
C10	10mM_KNO3_seedling2	10mM	4.021258843	603.8281534
C11	10mM_KNO3_seedling3	10mM	5.890625083	269.3474153
C12	10mM_KNO3_seedling4	10mM	3.698204967	673.1486935
D1	10mM_KNO3_seedling5	10mM	7.635000368	759.899438
D2	10mM_KNO3_seedling6	10mM	6.858506529	490.3730624
D3	10mM_KNO3_seedling7	10mM	4.765678726	524.5506756
D4	10mM_KNO3_seedling8	10mM	4.443044267	392.0596901
D5	10mM_KNO3_seedling9	10mM	4.13906578	453.6836265
D6	10mM_KNO3_seedling10	10mM	4.380136479	449.264723
D7	10mM_KNO3_seedling11	10mM	4.585572432	605.1819571
D8	10mM_KNO3_seedling12	10mM	6.524054469	622.8939927
D9	10mM_KNO3_seedling13	10mM	6.495335099	691.2086909
D10	10mM_KNO3_seedling14	10mM	5.815786459	495.4417895
D11	10mM_KNO3_seedling15	10mM	7.114806704	517.435757
D12	10mM_KNO3_seedling16	10mM	5.553469633	551.0098914
E1	10mM_KNO3_seedling17	10mM	8.362330767	236.8009743
E2	10mM_KNO3_seedling18	10mM	5.908746261	202.0184479
E3	10mM_KNO3_seedling19	10mM	6.012625339	426.9642141
E4	10mM_KNO3_seedling20	10mM	7.844073924	505.820041
E5	10mM_KNO3_seedling21	10mM	5.45269386	713.8329207
E6	10mM_KNO3_seedling22	10mM	4.685041181	583.6783854
E7	10mM_KNO3_seedling23	10mM	4.876835512	421.0333411
E8	10mM_KNO3_seedling24	10mM	5.443017887	894.8615878
E9	10mM_KNO3_seedling25	10mM	5.621968482	402.4342792
E10	10mM_KNO3_seedling26	10mM	5.269847947	661.834458
E11	10mM_KNO3_seedling27	10mM	4.243458266	602.0367325
E12	10mM_KNO3_seedling28	10mM	4.465846488	106.0655548
F1	10mM_KNO3_seedling29	10mM	5.13767796	655.6945989
F2	10mM_KNO3_seedling30	10mM	7.068373919	413.2496464
F3	10mM_KNO3_seedling31	10mM	4.455696772	425.5217055
F4	10mM_KNO3_seedling32	10mM	4.290989038	324.6423841
