position_influx	sample	KNO3	Ninflux_umoleN_Gms_heure	RawIntDen_normBackg_normLen
C1	1mM_KNO3_seedling65	1mM	16.01582792	1665.269777
C2	1mM_KNO3_seedling66	1mM	43.01876199	4461.224082
C3	1mM_KNO3_seedling69	1mM	29.20987521	6896.092771
C4	1mM_KNO3_seedling70	1mM	36.81368962	5008.362889
C5	1mM_KNO3_seedling71	1mM	29.75421916	6231.046308
C6	1mM_KNO3_seedling72	1mM	30.4164534	4558.099636
C7	1mM_KNO3_seedling73	1mM	23.21514394	2378.393512
C8	1mM_KNO3_seedling74	1mM	29.39553888	4151.483385
C9	1mM_KNO3_seedling75	1mM	27.12678035	5566.581044
C10	1mM_KNO3_seedling77	1mM	24.07311549	9937.233581
C11	1mM_KNO3_seedling78	1mM	26.07584021	6654.362805
C12	1mM_KNO3_seedling80	1mM	35.47574666	4562.535555
D1	1mM_KNO3_seedling81	1mM	23.14665374	1508.072552
D2	1mM_KNO3_seedling82	1mM	19.70943175	2735.424506
D3	1mM_KNO3_seedling83	1mM	15.65027625	3153.251583
D4	1mM_KNO3_seedling84	1mM	23.26156198	3867.998373
D5	1mM_KNO3_seedling85	1mM	20.70559337	3839.901484
D6	1mM_KNO3_seedling87	1mM	24.69312348	4615.165165
D7	1mM_KNO3_seedling89	1mM	18.50355677	1564.973636
D8	1mM_KNO3_seedling90	1mM	9.787602655	1135.128049
D9	1mM_KNO3_seedling91	1mM	12.38468329	1579.605152
D10	1mM_KNO3_seedling93	1mM	10.97767741	2927.658239
D11	1mM_KNO3_seedling95	1mM	35.16933917	4784.380386
D12	1mM_KNO3_seedling96	1mM	12.24729786	3211.152984
