position_influx	sample	KNO3	Ninflux_umoleN_Gms_heure	RawIntDen_normBackg_normLen
A1	1mM_KNO3_seedling1	1mM	19.51618667	4360.184594
A2	1mM_KNO3_seedling2	1mM	8.95188	2035.699944
A3	1mM_KNO3_seedling3	1mM	18.79976	2301.421873
A4	1mM_KNO3_seedling4	1mM	8.713133333	1682.733259
A5	1mM_KNO3_seedling5	1mM	9.10756	882.6699998
A6	1mM_KNO3_seedling7	1mM	9.625746667	1340.025306
A7	1mM_KNO3_seedling8	1mM	11.23397333	1572.308759
A8	1mM_KNO3_seedling9	1mM	7.47068	734.4348658
A9	1mM_KNO3_seedling12	1mM	11.50734667	1186.002076
A10	1mM_KNO3_seedling13	1mM	19.75586667	5829.436087
A11	1mM_KNO3_seedling14	1mM	24.11472	3230.514776
A12	1mM_KNO3_seedling15	1mM	15.58293333	2239.255305
B1	1mM_KNO3_seedling16	1mM	14.33394667	3563.834012
B2	1mM_KNO3_seedling17	1mM	15.85126667	3754.370917
B3	1mM_KNO3_seedling18	1mM	22.78892	5989.584814
B4	1mM_KNO3_seedling21	1mM	16.83826667	3941.770575
B5	1mM_KNO3_seedling22	1mM	16.93813333	4567.570735
B6	1mM_KNO3_seedling23	1mM	19.08405333	4436.194549
B7	1mM_KNO3_seedling24	1mM	24.95574667	5389.006509
B8	1mM_KNO3_seedling25	1mM	18.45190667	5655.159582
B9	1mM_KNO3_seedling26	1mM	15.08593333	4372.878246
