Nom	genotype	Seedling	KNO3	Ninflux_umoleN_Gms_heure	RawIntDen_normBackg_normLen	
alex-39,2-E1	pNRT2.1:LUC+	seedling2	1mM	27.9627065	9389.459802	
E2	pNRT2.1:LUC+	seedling3	1mM	36.91141949	8118.517714	
E3	pNRT2.1:LUC+	seedling4	1mM	19.15496422	5481.102507	
E4	pNRT2.1:LUC+	seedling5	1mM	10.45039492	3933.646873	
E5	pNRT2.1:LUC+	seedling6	1mM	38.74625734	8753.073814	
E6	pNRT2.1:LUC+	seedling7	1mM	21.56721224	9473.291081	
E7	pNRT2.1:LUC+	seedling8	1mM	19.42518837	7341.299806	
E8	pNRT2.1:LUC+	seedling9	1mM	20.43856703	10440.33089	
E9	pNRT2.1:LUC+	seedling10	1mM	33.50120216	9021.629566	
E10	pNRT2.1:LUC+	seedling13	1mM	18.66554684	9749.483958	
E11	pNRT2.1:LUC+	seedling14	1mM	26.50414223	7017.595914	
E12	pNRT2.1:LUC+	seedling15	1mM	23.12793517	7438.131244	
F2	pNRT2.1:LUC+	seedling17	1mM	26.70448488	7511.609106	
F3	pNRT2.1:LUC+	seedling18	1mM	32.46618342	9957.500967	
F4	pNRT2.1:LUC+	seedling20	1mM	12.42970303	3950.295844	
F5	pNRT2.1:LUC+	seedling21	1mM	31.95976476	9650.108477	
F6	pNRT2.1:LUC+	seedling22	1mM	16.40280444	6106.881682	
F7	pNRT2.1:LUC+	seedling23	1mM	33.38941816	9631.802908	
F8	pNRT2.1:LUC+	seedling24	1mM	24.10517882	8751.279997	
G1	pNRT2.1:LUC+	seedling2	10mM	29.31655327	5467.245218	
G2	pNRT2.1:LUC+	seedling3	10mM	21.86875901	6706.96302	
G3	pNRT2.1:LUC+	seedling4	10mM	18.2771666	1194.786061	
G4	pNRT2.1:LUC+	seedling5	10mM	10.45039475	5884.834827	
G5	pNRT2.1:LUC+	seedling6	10mM	16.12164963	7759.703878	
G6	pNRT2.1:LUC+	seedling7	10mM	17.76490068	5037.195181	
G7	pNRT2.1:LUC+	seedling9	10mM	19.124824	5838.005846	
G8	pNRT2.1:LUC+	seedling10	10mM	17.3743427	6736.189999	
G9	pNRT2.1:LUC+	seedling11	10mM	19.94621769	8879.622811	
G10	pNRT2.1:LUC+	seedling12	10mM	15.31285943	7177.561967	
G11	pNRT2.1:LUC+	seedling14	10mM	10.91180326	3264.311293	
G12	pNRT2.1:LUC+	seedling15	10mM	16.01950358	10063.50056	
H1	pNRT2.1:LUC+	seedling16	10mM	13.25356035	8625.518189	
H2	pNRT2.1:LUC+	seedling17	10mM	14.06350339	5551.808058	
H3	pNRT2.1:LUC+	seedling18	10mM	11.34704514	6435.374915	
H4	pNRT2.1:LUC+	seedling19	10mM	14.55611629	9234.178041	
H5	pNRT2.1:LUC+	seedling20	10mM	12.01523132	4435.993879	
H6	pNRT2.1:LUC+	seedling21	10mM	21.62870945	9996.946526	
H7	pNRT2.1:LUC+	seedling22	10mM	19.85871012	5408.17041	
H8	pNRT2.1:LUC+	seedling23	10mM	14.06191302	7143.105543	
alex-39,2-H9	pNRT2.1:LUC+	seedling24	10mM	19.16677315	4222.381663	
