Nom	genotype	Seedling	KNO3	Ninflux_umoleN_Gms_heure	RawIntDen_normBackg_normLen
alex-AV-50-2024-E1	pNRT2.1:LUC+	seedling1	1mM	14.48824288	10314.53568
E2	pNRT2.1:LUC+	seedling2	1mM	23.47959642	21633.45725
E3	pNRT2.1:LUC+	seedling4	1mM	14.12346697	6943.672559
E4	pNRT2.1:LUC+	seedling5	1mM	13.36143983	10771.59252
E5	pNRT2.1:LUC+	seedling7	1mM	20.849877	21871.56294
E6	pNRT2.1:LUC+	seedling8	1mM	26.36740684	21599.11635
E7	pNRT2.1:LUC+	seedling10	1mM	7.268644833	5246.853857
E8	pNRT2.1:LUC+	seedling11	1mM	13.26342688	16103.31461
E9	pNRT2.1:LUC+	seedling12	1mM	9.143718104	8303.23548
E10	pNRT2.1:LUC+	seedling13	1mM	22.90350934	13588.40552
E11	pNRT2.1:LUC+	seedling14	1mM	14.25008914	3709.739543
E12	pNRT2.1:LUC+	seedling15	1mM	19.78875664	17380.28207
F1	pNRT2.1:LUC+	seedling17	1mM	26.32803133	10853.09927
F2	pNRT2.1:LUC+	seedling19	1mM	20.89536601	25411.33849
F3	pNRT2.1:LUC+	seedling21	1mM	16.97836367	7450.078561
F4	pNRT2.1:LUC+	seedling22	1mM	20.29089738	13515.08692
F5	pNRT2.1:LUC+	seedling23	1mM	17.28383105	15959.66302
F6	pNRT2.1:LUC+	seedling24	1mM	23.74509574	15370.84739
F7	pNRT2.1:LUC+	seedling25	1mM	19.38509381	33388.89963
F8	pNRT2.1:LUC+	seedling26	1mM	19.37308048	14192.57433
F9	pNRT2.1:LUC+	seedling28	1mM	22.17474365	20248.3628
F10	pNRT2.1:LUC+	seedling29	1mM	27.747552	20981.53664
F11	pNRT2.1:LUC+	seedling30	1mM	19.86098915	17225.34248
F12	pNRT2.1:LUC+	seedling32	1mM	25.97470573	10406.44294
G1	pNRT2.1:LUC+	seedling1	10mM	10.51665563	12989.29431
G2	pNRT2.1:LUC+	seedling2	10mM	14.34112074	21277.61588
G3	pNRT2.1:LUC+	seedling5	10mM	12.47280559	10990.5382
G4	pNRT2.1:LUC+	seedling6	10mM	18.07724179	25169.721
G5	pNRT2.1:LUC+	seedling7	10mM	10.16679706	19070.8697
G6	pNRT2.1:LUC+	seedling8	10mM	13.19886962	11950.52868
G7	pNRT2.1:LUC+	seedling9	10mM	16.12737313	9977.934262
G8	pNRT2.1:LUC+	seedling12	10mM	11.72126018	8497.39804
G9	pNRT2.1:LUC+	seedling13	10mM	9.33005167	3793.858202
G10	pNRT2.1:LUC+	seedling14	10mM	15.0417375	8653.986098
G11	pNRT2.1:LUC+	seedling15	10mM	14.71506635	7859.924461
G12	pNRT2.1:LUC+	seedling16	10mM	11.35423983	9061.992372
H1	pNRT2.1:LUC+	seedling17	10mM	10.35360645	10118.17891
H2	pNRT2.1:LUC+	seedling19	10mM	13.38885752	13162.04921
H3	pNRT2.1:LUC+	seedling20	10mM	9.731086484	15422.21161
H4	pNRT2.1:LUC+	seedling21	10mM	14.91659417	12329.09617
H5	pNRT2.1:LUC+	seedling22	10mM	12.32274901	18427.61946
H6	pNRT2.1:LUC+	seedling24	10mM	13.18077514	3955.973799
H7	pNRT2.1:LUC+	seedling25	10mM	8.897622001	2001.411201
H8	pNRT2.1:LUC+	seedling26	10mM	7.026540598	10504.83434
H9	pNRT2.1:LUC+	seedling27	10mM	12.52033755	15504.44037
H10	pNRT2.1:LUC+	seedling30	10mM	16.83129868	3526.520197
H11	pNRT2.1:LUC+	seedling31	10mM	14.02266657	12641.84453
alx-AV-50-2024-H12	pNRT2.1:LUC+	seedling32	10mM	17.23083544	7633.367708
