number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen_norm_bckg	RawIntDen_normBackg_normLen
1	20241024_pNRT21_LUC_1mM_N1_luc.tif:0207-0071	1.54E+03	500.982	7.69E+05	277	769007	1.91E+02	seedling1	pNRT2.1:LUC	1mM	47.71925	plate1	492201.9067	10314.53568
2	20241024_pNRT21_LUC_1mM_N1_luc.tif:0200-0123	1.49E+03	852.642	1.27E+06	454	1268731	1.85E+02	seedling2	pNRT2.1:LUC	1mM	46.24325	plate1	1000401.372	21633.45725
3	20241024_pNRT21_LUC_1mM_N1_luc.tif:0183-0173	1.26E+03	367.93	4.64E+05	261	463960	1.57E+02	seedling3	pNRT2.1:LUC	1mM	39.2905	plate1	236565.0667	6020.922784
4	20241024_pNRT21_LUC_1mM_N1_luc.tif:0174-0218	1.15E+03	395.806	4.56E+05	257	456364	1.43E+02	seedling4	pNRT2.1:LUC	1mM	35.78	plate1	248444.6042	6943.672559
5	20241024_pNRT21_LUC_1mM_N1_luc.tif:0176-0263	1.30E+03	515.396	6.71E+05	324	671046	1.62E+02	seedling5	pNRT2.1:LUC	1mM	40.50075	plate1	436257.5756	10771.59252
6	20241024_pNRT21_LUC_1mM_N1_luc.tif:0162-0318	1.02E+03	309.522	3.16E+05	241	316022	1.26E+02	seedling6	pNRT2.1:LUC	1mM	31.61625	plate1	131906.0389	4172.096276
7	20241024_pNRT21_LUC_1mM_N1_luc.tif:0196-0369	1.57E+03	860.453	1.35E+06	378	1351772	1.95E+02	seedling7	pNRT2.1:LUC	1mM	48.85225	plate1	1068475.061	21871.56294
8	20241024_pNRT21_LUC_1mM_N1_luc.tif:0183-0425	1.33E+03	853.61	1.13E+06	447	1133594	1.66E+02	seedling8	pNRT2.1:LUC	1mM	41.396	plate1	894117.0202	21599.11635
9	20241024_pNRT21_LUC_1mM_N1_luc.tif:0410-0321	1.12E+03	179.739	2.01E+05	170	200948	1.39E+02	background		1mM	34.76025	plate1		0
10	20241024_pNRT21_LUC_1mM_N1_luc.tif:0417-0225	1.08E+03	179.792	1.94E+05	170	193636	1.33E+02	background		1mM	33.34025	plate1		0
11	20241024_pNRT21_LUC_1mM_N1_luc.tif:0417-0151	1.18E+03	181.456	2.14E+05	171	213937	1.46E+02	background		1mM	36.4875	plate1		0
1	20241024_pNRT21_LUC_1mM_N2_luc.tif:0165-0076	1.26E+03	240.656	3.04E+05	194	303708	1.57E+02	seedling9	pNRT2.1:LUC	1mM	39.19275	plate2	81759.75288	2086.093803
2	20241024_pNRT21_LUC_1mM_N2_luc.tif:0159-0128	1.25E+03	339.271	4.25E+05	226	424767	1.56E+02	seedling10	pNRT2.1:LUC	1mM	38.9905	plate2	204577.4553	5246.853857
3	20241024_pNRT21_LUC_1mM_N2_luc.tif:0164-0180	1.37E+03	675.211	9.23E+05	364	923014	1.70E+02	seedling11	pNRT2.1:LUC	1mM	42.38875	plate2	682599.3773	16103.31461
4	20241024_pNRT21_LUC_1mM_N2_luc.tif:0164-0236	1.35E+03	434.126	5.87E+05	263	586938	1.68E+02	seedling12	pNRT2.1:LUC	1mM	42.05125	plate2	349161.431	8303.23548
5	20241024_pNRT21_LUC_1mM_N2_luc.tif:0157-0281	1.21E+03	599.149	7.26E+05	325	726168	1.51E+02	seedling13	pNRT2.1:LUC	1mM	37.75375	plate2	513013.265	13588.40552
6	20241024_pNRT21_LUC_1mM_N2_luc.tif:0165-0341	1.26E+03	291.421	3.67E+05	203	366899	1.57E+02	seedling14	pNRT2.1:LUC	1mM	39.21525	plate2	145478.3636	3709.739543
7	20241024_pNRT21_LUC_1mM_N2_luc.tif:0166-0393	1.22E+03	714.67	8.72E+05	365	871897	1.51E+02	seedling15	pNRT2.1:LUC	1mM	37.82075	plate2	657335.3031	17380.28207
8	20241024_pNRT21_LUC_1mM_N2_luc.tif:0150-0433	9.90E+02	191.94	1.90E+05	177	190021	1.23E+02	seedling16	pNRT2.1:LUC	1mM	30.6695	plate2	15909.45907	518.738782
9	20241024_pNRT21_LUC_1mM_N2_luc.tif:0394-0351	1.09E+03	175.259	1.91E+05	165	190857	1.36E+02	background		1mM	33.885	plate2		0
10	20241024_pNRT21_LUC_1mM_N2_luc.tif:0406-0289	8.98E+02	176.042	1.58E+05	170	158086	1.11E+02	background		1mM	27.87325	plate2		0
11	20241024_pNRT21_LUC_1mM_N2_luc.tif:0404-0225	1.13E+03	176.309	1.99E+05	165	199406	1.41E+02	background		1mM	35.17875	plate2		0
1	20241024_pNRT21_LUC_1mM_N3_luc.tif:0160-0085	1.04E+03	524.689	5.43E+05	311	543053	1.29E+02	seedling17	pNRT2.1:LUC	1mM	32.23975	plate3	349901.2073	10853.09927
2	20241024_pNRT21_LUC_1mM_N3_luc.tif:0164-0113	1.19E+03	720.106	8.57E+05	347	856926	1.48E+02	seedling18	pNRT2.1:LUC	1mM	37.0415	plate3	634848.0934	17138.83329
3	20241024_pNRT21_LUC_1mM_N3_luc.tif:0197-0164	1.84E+03	977.795	1.80E+06	512	1798165	2.29E+02	seedling19	pNRT2.1:LUC	1mM	57.25675	plate3	1454970.655	25411.33849
4	20241024_pNRT21_LUC_1mM_N3_luc.tif:0171-0222	1.42E+03	437.652	6.22E+05	270	621903	1.77E+02	seedling20	pNRT2.1:LUC	1mM	44.14175	plate3	356715.8527	8081.144329
5	20241024_pNRT21_LUC_1mM_N3_luc.tif:0176-0284	1.48E+03	418.734	6.18E+05	259	618470	1.84E+02	seedling21	pNRT2.1:LUC	1mM	46.01725	plate3	342832.1277	7450.078561
6	20241024_pNRT21_LUC_1mM_N3_luc.tif:0169-0321	1.40E+03	606.546	8.52E+05	325	851590	1.74E+02	seedling22	pNRT2.1:LUC	1mM	43.6235	plate3	589575.3942	13515.08692
7	20241024_pNRT21_LUC_1mM_N3_luc.tif:0189-0388	1.73E+03	686.119	1.19E+06	349	1185614	2.16E+02	seedling23	pNRT2.1:LUC	1mM	54.08225	plate3	863134.4852	15959.66302
8	20241024_pNRT21_LUC_1mM_N3_luc.tif:0177-0419	1.49E+03	663.714	9.90E+05	374	989598	1.85E+02	seedling24	pNRT2.1:LUC	1mM	46.279	plate3	711347.4464	15370.84739
9	20241024_pNRT21_LUC_1mM_N3_luc.tif:0392-0358	1.10E+03	183.423	2.02E+05	173	202499	1.38E+02	background		1mM	34.46225	plate3		0
10	20241024_pNRT21_LUC_1mM_N3_luc.tif:0408-0276	1.20E+03	183.497	2.21E+05	173	220747	1.50E+02	background		1mM	37.4345	plate3		0
11	20241024_pNRT21_LUC_1mM_N3_luc.tif:0435-0167	9.36E+02	192.94	1.81E+05	184	180592	1.17E+02	background		1mM	29.143	plate3		0
1	20241024_pNRT21_LUC_1mM_N4_luc.tif:0195-0088	1.50E+03	1221.89	1.83E+06	620	1832835	1.87E+02	seedling25	pNRT2.1:LUC	1mM	46.702	plate4	1559328.39	33388.89963
2	20241024_pNRT21_LUC_1mM_N4_luc.tif:0186-0140	1.41E+03	626.221	8.83E+05	346	882971	1.76E+02	seedling26	pNRT2.1:LUC	1mM	44.09875	plate4	625874.7871	14192.57433
3	20241024_pNRT21_LUC_1mM_N4_luc.tif:0181-0187	1.30E+03	397.209	5.18E+05	272	517563	1.62E+02	seedling27	pNRT2.1:LUC	1mM	40.5635	plate4	279976.9252	6902.188549
4	20241024_pNRT21_LUC_1mM_N4_luc.tif:0179-0232	1.39E+03	811.242	1.13E+06	420	1128437	1.73E+02	seedling28	pNRT2.1:LUC	1mM	43.20375	plate4	874805.2041	20248.3628
5	20241024_pNRT21_LUC_1mM_N4_luc.tif:0180-0288	1.40E+03	837.048	1.17E+06	397	1171867	1.75E+02	seedling29	pNRT2.1:LUC	1mM	43.68575	plate4	916594.1645	20981.53664
6	20241024_pNRT21_LUC_1mM_N4_luc.tif:0199-0340	1.67E+03	717.532	1.20E+06	321	1198996	2.08E+02	seedling30	pNRT2.1:LUC	1mM	51.91825	plate4	894309.637	17225.34248
7	20241024_pNRT21_LUC_1mM_N4_luc.tif:0182-0395	1.42E+03	493.363	7.01E+05	292	700575	1.77E+02	seedling31	pNRT2.1:LUC	1mM	44.18225	plate4	441655.4097	9996.218157
8	20241024_pNRT21_LUC_1mM_N4_luc.tif:0175-0434	1.25E+03	505.841	6.32E+05	308	631796	1.55E+02	seedling32	pNRT2.1:LUC	1mM	38.8275	plate4	404056.1631	10406.44294
9	20241024_pNRT21_LUC_1mM_N4_luc.tif:0414-0402	1.10E+03	183.373	2.02E+05	174	202260	1.37E+02	background		1mM	34.2805	plate4		0
10	20241024_pNRT21_LUC_1mM_N4_luc.tif:0417-0305	1.26E+03	181.358	2.29E+05	172	229236	1.57E+02	background		1mM	39.35	plate4		0
11	20241024_pNRT21_LUC_1mM_N4_luc.tif:0413-0232	1.27E+03	182.283	2.31E+05	169	230588	1.57E+02	background		1mM	39.2535	plate4		0
1	20241024_pNRT21_LUC_10mM_N5_luc.tif:0197-0084	1.88E+03	583.61	1.09E+06	299	1094852	2.34E+02	seedling1	pNRT2.1:LUC	10mM	58.452	plate5	759250.2308	12989.29431
2	20241024_pNRT21_LUC_10mM_N5_luc.tif:0168-0122	1.41E+03	840.735	1.19E+06	415	1185437	1.75E+02	seedling2	pNRT2.1:LUC	10mM	43.85825	plate5	933198.9965	21277.61588
3	20241024_pNRT21_LUC_10mM_N5_luc.tif:0159-0174	1.29E+03	230.344	2.97E+05	201	296683	1.61E+02	seedling3	pNRT2.1:LUC	10mM	40.13325	plate5	66269.84503	1651.245414
4	20241024_pNRT21_LUC_10mM_N5_luc.tif:0153-0215	1.13E+03	200.23	2.26E+05	181	226060	1.40E+02	seedling4	pNRT2.1:LUC	10mM	35.06325	plate5	24090.705	687.0642339
5	20241024_pNRT21_LUC_10mM_N5_luc.tif:0173-0267	1.37E+03	521.272	7.14E+05	280	714142	1.71E+02	seedling5	pNRT2.1:LUC	10mM	42.6785	plate5	469059.6845	10990.5382
6	20241024_pNRT21_LUC_10mM_N5_luc.tif:0161-0305	1.34E+03	967.186	1.30E+06	428	1297963	1.68E+02	seedling6	pNRT2.1:LUC	10mM	42.03025	plate5	1057889.666	25169.721
7	20241024_pNRT21_LUC_10mM_N5_luc.tif:0184-0388	1.53E+03	773.823	1.18E+06	382	1184723	1.91E+02	seedling7	pNRT2.1:LUC	10mM	47.76075	plate5	910839.0402	19070.8697
8	20241024_pNRT21_LUC_10mM_N5_luc.tif:0179-0427	1.45E+03	550.723	7.96E+05	336	795795	1.80E+02	seedling8	pNRT2.1:LUC	10mM	44.96	plate5	537295.7695	11950.52868
9	20241024_pNRT21_LUC_10mM_N5_luc.tif:0398-0366	1.14E+03	175.477	2.00E+05	164	200395	1.41E+02	background		10mM	35.36325	plate5		0
10	20241024_pNRT21_LUC_10mM_N5_luc.tif:0389-0274	1.15E+03	176.092	2.02E+05	167	201625	1.42E+02	background		10mM	35.54875	plate5		0
11	20241024_pNRT21_LUC_10mM_N5_luc.tif:0423-0209	1.23E+03	185.108	2.27E+05	174	226942	1.52E+02	background		10mM	38.0125	plate5		0
1	20241024_pNRT21_LUC_10mM_N6_luc.tif:0185-0088	1.46E+03	486.172	7.08E+05	252	708353	1.81E+02	seedling9	pNRT2.1:LUC	10mM	45.23475	plate6	451349.3619	9977.934262
2	20241024_pNRT21_LUC_10mM_N6_luc.tif:0174-0119	1.24E+03	631.654	7.83E+05	348	782619	1.54E+02	seedling10	pNRT2.1:LUC	10mM	38.61775	plate6	564068.8918	14606.46702
3	20241024_pNRT21_LUC_10mM_N6_luc.tif:0176-0226	1.33E+03	440.801	5.88E+05	244	588028	1.66E+02	seedling12	pNRT2.1:LUC	10mM	41.50925	plate6	352720.6196	8497.39804
4	20241024_pNRT21_LUC_10mM_N6_luc.tif:0164-0286	1.23E+03	293.918	3.60E+05	192	360343	1.52E+02	seedling13	pNRT2.1:LUC	10mM	37.97875	plate6	144085.9922	3793.858202
5	20241024_pNRT21_LUC_10mM_N6_luc.tif:0174-0338	1.31E+03	445.539	5.83E+05	258	583210	1.63E+02	seedling14	pNRT2.1:LUC	10mM	40.711	plate6	352312.4281	8653.986098
6	20241024_pNRT21_LUC_10mM_N6_luc.tif:0164-0379	1.22E+03	420.639	5.11E+05	250	511076	1.51E+02	seedling15	pNRT2.1:LUC	10mM	37.756	plate6	296759.3079	7859.924461
7	20241024_pNRT21_LUC_10mM_N6_luc.tif:0183-0431	1.52E+03	459.316	6.98E+05	272	698160	1.90E+02	seedling16	pNRT2.1:LUC	10mM	47.45575	plate6	430043.6445	9061.992372
8	20241024_pNRT21_LUC_10mM_N6_luc.tif:0374-0395	1.27E+03	173.382	2.20E+05	163	219675	1.58E+02	background		10mM	39.43425	plate6		0
9	20241024_pNRT21_LUC_10mM_N6_luc.tif:0408-0325	1.34E+03	180.138	2.42E+05	169	241925	1.67E+02	background		10mM	41.647	plate6		0
