number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0123-0060	1014	300.452	304658	288	304658	125.617	seedling33	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
2	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0163-0111	1658	397.92	659751	340	659751	206.219	seedling34	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
3	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0135-0160	1357	414.325	562239	345	562239	168.601	seedling35	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
4	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0114-0214	948	292.633	277416	289	277416	117.672	seedling36	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
5	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0118-0262	963	292.41	281591	288	281591	119.753	seedling37	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
6	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0144-0322	1363	376.98	513824	333	513824	169.158	seedling38	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
7	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0151-0377	1486	490.248	728509	401	728509	184.829	seedling39	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
8	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0141-0436	1354	442.979	599794	340	599794	169.827	seedling40	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
9	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0373-0429	1402	282.611	396220	283	396220	174.616	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
10	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0379-0322	1305	282.379	368505	282	368505	161.692	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
11	20230725_AV_30_starvation_T1_1mM_1mM_N5_luc.tif:0377-0255	1367	282.347	385968	282	385968	169.891	background	pNRT2.1:LUC	1mM->1mM->1mM	plate5	T1
1	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0152-0060	1377	419.24	577293	340	577293	171.653	seedling41	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
2	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0137-0110	1200	381.559	457871	327	457871	149.338	seedling42	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
3	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0148-0165	1354	482.415	653190	385	653190	168.391	seedling43	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
4	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0116-0214	827	307.492	254296	296	254296	102.404	seedling44	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
5	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0125-0266	1048	358.871	376097	328	376097	130.278	seedling45	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
6	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0140-0320	1374	379.347	521223	331	521223	170.778	seedling46	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
7	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0121-0374	979	293.784	287615	287	287615	121.29	seedling47	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
8	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0145-0422	1454	404.807	588590	333	588590	181.019	seedling48	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
9	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0381-0376	1374	281.83	387234	282	387234	171.184	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
10	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0392-0302	1416	281.765	398979	282	398979	176.09	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
11	20230725_AV_30_starvation_T1_1mM_1mM_N6_luc.tif:0390-0249	1320	281.811	371990	282	371990	164.787	background	pNRT2.1:LUC	1mM->1mM->1mM	plate6	T1
1	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0126-0053	932	322.264	300350	300	300350	116.211	seedling49	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
2	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0133-0102	1195	402.398	480866	345	480866	148.606	seedling50	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
3	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0141-0157	1439	420.734	605436	352	605436	178.658	seedling51	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
4	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0139-0209	1400	385.984	540378	335	540378	173.982	seedling52	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
5	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0134-0263	1305	364.402	475544	324	475544	162.197	seedling53	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
6	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0118-0314	1099	303.702	333769	289	333769	135.953	seedling54	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
7	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0114-0369	1088	353.119	384193	317	384193	134.764	seedling55	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
8	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0128-0430	1203	441.359	530955	364	530955	150.256	seedling56	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
9	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0388-0373	1469	281.724	413853	282	413853	182.61	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
10	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0395-0255	1395	281.459	392635	281	392635	173.345	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
11	20230725_AV_30_starvation_T1_1mM_1mM_N7_luc.tif:0398-0202	1408	281.621	396523	282	396523	174.496	background	pNRT2.1:LUC	1mM->1mM->1mM	plate7	T1
1	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0158-0054	1328	338.832	449969	303	449969	164.804	seedling57	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
2	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0157-0109	1482	415.464	615717	351	615717	185.433	seedling58	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
3	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0147-0164	1409	398.16	561008	342	561008	176.235	seedling59	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
4	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0144-0208	1439	436.858	628639	360	628639	179.059	seedling60	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
5	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0139-0264	1285	320.812	412243	299	412243	159.705	seedling61	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
6	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0135-0316	1288	341.626	440014	315	440014	160.01	seedling62	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
7	20230725_AV_30_starvation_T1_1mM_1mM_N8_luc.tif:0140-0370	1391	390.085	542608	338	542608	173.012	seedling63	pNRT2.1:LUC	1mM->1mM->1mM	plate8	T1
