number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen_norm_bckg	RawIntDen_normBackg_normLen	DAY
1	20240903_pnrt21_luc_1mM_N3_luc.tif:0118-0178	1060	1487.632	1576890	1127	1576890	131.995	seedling1	pNRT2.1:LUC	1mM	32.99875	plate1	472771.9278	14326.96474	7d
2	20240903_pnrt21_luc_1mM_N3_luc.tif:0105-0203	877	1240.09	1087559	1097	1087559	108.641	seedling2	pNRT2.1:LUC	1mM	27.16025	plate1	174057.5383	6408.539625	7d
3	20240903_pnrt21_luc_1mM_N3_luc.tif:0112-0231	905	1361.554	1232206	1123	1232206	111.925	seedling3	pNRT2.1:LUC	1mM	27.98125	plate1	289539.1553	10347.61332	7d
4	20240903_pnrt21_luc_1mM_N3_luc.tif:0113-0250	1045	1544.995	1614520	1165	1614520	129.24	seedling4	pNRT2.1:LUC	1mM	32.31	plate1	526026.2401	16280.60167	7d
5	20240903_pnrt21_luc_1mM_N3_luc.tif:0113-0326	1024	1601.784	1640227	1174	1640227	126.555	seedling5	pNRT2.1:LUC	1mM	31.63875	plate1	573607.2774	18129.89696	7d
6	20240903_pnrt21_luc_1mM_N3_luc.tif:0101-0387	921	1251.784	1152893	1095	1152893	114.474	seedling6	pNRT2.1:LUC	1mM	28.6185	plate1	193560.2221	6763.464966	7d
7	20240903_pnrt21_luc_1mM_N3_luc.tif:0102-0519	978	1239.17	1211908	1085	1211908	121.024	seedling7	pNRT2.1:LUC	1mM	30.256	plate1	193202.8352	6385.60402	7d
8	20240903_pnrt21_luc_1mM_N3_luc.tif:0257-0194	1132	1628.268	1843199	1191	1843199	141.026	seedling8	pNRT2.1:LUC	1mM	35.2565	plate1	664084.2285	18835.79563	7d
9	20240903_pnrt21_luc_1mM_N3_luc.tif:0242-0279	1011	1309.271	1323673	1116	1323673	125.643	seedling9	pNRT2.1:LUC	1mM	31.41075	plate1	270594.3481	8614.705095	7d
10	20240903_pnrt21_luc_1mM_N3_luc.tif:0242-0302	1005	1455.707	1462986	1141	1462986	124.507	seedling10	pNRT2.1:LUC	1mM	31.12675	plate1	416157.073	13369.75666	7d
