number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20240913_pNRT21_luc_1mM_N1_luc.tif:0210-0113	14187	1122.997	15931955	1070	15931955	1	seedling1	pNRT2.1:luc	1mM	plate1	17
2	20240913_pNRT21_luc_1mM_N1_luc.tif:0179-0179	8565	1109.101	9499453	1066	9499453	1	seedling2	pNRT2.1:luc	1mM	plate1	17
3	20240913_pNRT21_luc_1mM_N1_luc.tif:0193-0248	8549	1101.213	9414272	1066	9414272	1	seedling3	pNRT2.1:luc	1mM	plate1	17
4	20240913_pNRT21_luc_1mM_N1_luc.tif:0203-0300	12090	1121.756	13562035	1073	13562035	1	seedling4	pNRT2.1:luc	1mM	plate1	17
5	20240913_pNRT21_luc_1mM_N1_luc.tif:0149-0349	8173	1126.763	9209032	1074	9209032	1	seedling5	pNRT2.1:luc	1mM	plate1	17
6	20240913_pNRT21_luc_1mM_N1_luc.tif:0171-0410	7020	1057.545	7423969	1053	7423969	1	seedling6	pNRT2.1:luc	1mM	plate1	17
7	20240913_pNRT21_luc_1mM_N1_luc.tif:0198-0463	7652	1102.414	8435672	1069	8435672	1	seedling7	pNRT2.1:luc	1mM	plate1	17
8	20240913_pNRT21_luc_1mM_N1_luc.tif:0238-0523	12727	1150.064	14636869	1076	14636869	1	seedling8	pNRT2.1:luc	1mM	plate1	17
9	20240913_pNRT21_luc_1mM_N1_luc.tif:0209-0574	11095	1134.716	12589674	1070	12589674	1	seedling9	pNRT2.1:luc	1mM	plate1	17
10	20240913_pNRT21_luc_1mM_N1_luc.tif:0213-0644	12564	1104.708	13879556	1061	13879556	1	seedling10	pNRT2.1:luc	1mM	plate1	17
11	20240913_pNRT21_luc_1mM_N1_luc.tif:0280-0077	13507	1042.282	14078109	1042	14078109	1	background	pNRT2.1:luc	1mM	plate1	17
12	20240913_pNRT21_luc_1mM_N1_luc.tif:0329-0343	11360	1039.86	11812810	1039	11812810	1	background	pNRT2.1:luc	1mM	plate1	17
13	20240913_pNRT21_luc_1mM_N1_luc.tif:0358-0589	9283	1040.456	9658549	1040	9658549	1	background	pNRT2.1:luc	1mM	plate1	17
1	20240913_pNRT21_luc_1mM_N2_luc.tif:0184-0126	8396	1063.975	8933132	1050	8933132	1	seedling11	pNRT2.1:luc	1mM	plate2	17
2	20240913_pNRT21_luc_1mM_N2_luc.tif:0183-0185	6773	1063.063	7200129	1052	7200129	1	seedling12	pNRT2.1:luc	1mM	plate2	17
3	20240913_pNRT21_luc_1mM_N2_luc.tif:0233-0242	16218	1119.276	18152418	1069	18152418	1	seedling13	pNRT2.1:luc	1mM	plate2	17
4	20240913_pNRT21_luc_1mM_N2_luc.tif:0240-0296	14856	1120.784	16650371	1074	16650371	1	seedling14	pNRT2.1:luc	1mM	plate2	17
5	20240913_pNRT21_luc_1mM_N2_luc.tif:0196-0363	8312	1108.35	9212604	1067	9212604	1	seedling15	pNRT2.1:luc	1mM	plate2	17
6	20240913_pNRT21_luc_1mM_N2_luc.tif:0185-0413	5447	1058.431	5765272	1053	5765272	1	seedling16	pNRT2.1:luc	1mM	plate2	17
7	20240913_pNRT21_luc_1mM_N2_luc.tif:0213-0473	10893	1114.426	12139437	1070	12139437	1	seedling17	pNRT2.1:luc	1mM	plate2	17
8	20240913_pNRT21_luc_1mM_N2_luc.tif:0225-0515	15198	1154.715	17549359	1077	17549359	1	seedling18	pNRT2.1:luc	1mM	plate2	17
9	20240913_pNRT21_luc_1mM_N2_luc.tif:0230-0585	12930	1078.55	13945650	1057	13945650	1	seedling19	pNRT2.1:luc	1mM	plate2	17
10	20240913_pNRT21_luc_1mM_N2_luc.tif:0183-0654	5974	1046.039	6249036	1042	6249036	1	seedling20	pNRT2.1:luc	1mM	plate2	17
11	20240913_pNRT21_luc_1mM_N2_luc.tif:0302-0114	7651	1039.123	7950332	1039	7950332	1	background	pNRT2.1:luc	1mM	plate2	17
12	20240913_pNRT21_luc_1mM_N2_luc.tif:0408-0280	10663	1038.433	11072816	1038	11072816	1	background	pNRT2.1:luc	1mM	plate2	17
13	20240913_pNRT21_luc_1mM_N2_luc.tif:0390-0543	10531	1039.014	10941859	1039	10941859	1	background	pNRT2.1:luc	1mM	plate2	17
