number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	PLATE	DAY
1	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0259-0136	27108	1087.486	29479573	1062	29479573	1	seedling1	pNRT2.1:luc	1mM	plate1	21
2	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0221-0202	12442	1088.114	13538318	1063	13538318	1	seedling2	pNRT2.1:luc	1mM	plate1	21
3	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0233-0262	15837	1083.669	17162072	1061	17162072	1	seedling3	pNRT2.1:luc	1mM	plate1	21
4	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0258-0315	20175	1097.431	22140677	1070	22140677	1	seedling4	pNRT2.1:luc	1mM	plate1	21
5	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0198-0368	15026	1106.508	16626383	1069	16626383	1	seedling5	pNRT2.1:luc	1mM	plate1	21
6	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0240-0485	12016	1092.611	13128812	1066	13128812	1	seedling7	pNRT2.1:luc	1mM	plate1	21
7	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0278-0530	20332	1121.74	22807216	1077	22807216	1	seedling8	pNRT2.1:luc	1mM	plate1	21
8	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0256-0594	18982	1116.281	21189250	1074	21189250	1	seedling9	pNRT2.1:luc	1mM	plate1	21
9	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0267-0668	21235	1080.991	22954834	1059	22954834	1	seedling10	pNRT2.1:luc	1mM	plate1	21
10	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0357-0082	11956	1042.535	12464545	1042	12464545	1	background	pNRT2.1:luc	1mM	plate1	21
11	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0363-0405	11100	1039.9	11542889	1039	11542889	1	background	pNRT2.1:luc	1mM	plate1	21
12	20240917_AV44_NRT21luc_1mM_21j_N1_luc.tif:0295-0729	12585	1042.015	13113755	1042	13113755	1	background	pNRT2.1:luc	1mM	plate1	21
1	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0212-0117	13884	1053.902	14632371	1047	14632371	1	seedling11	pNRT2.1:luc	1mM	plate2	21
2	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0200-0176	7977	1055.59	8420444	1050	8420444	1	seedling12	pNRT2.1:luc	1mM	plate2	21
3	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0267-0235	22733	1118.727	25432020	1077	25432020	1	seedling13	pNRT2.1:luc	1mM	plate2	21
4	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0273-0301	21605	1128.218	24375143	1083	24375143	1	seedling14	pNRT2.1:luc	1mM	plate2	21
5	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0228-0360	14499	1106.471	16042722	1071	16042722	1	seedling15	pNRT2.1:luc	1mM	plate2	21
6	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0251-0441	19469	1108.417	21579779	1074	21579779	1	seedling17	pNRT2.1:luc	1mM	plate2	21
7	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0273-0515	25600	1131.683	28971073	1079	28971073	1	seedling18	pNRT2.1:luc	1mM	plate2	21
8	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0189-0643	6703	1045.723	7009479	1042	7009479	1	seedling20	pNRT2.1:luc	1mM	plate2	21
9	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0212-0117	13884	1042.87	14479210	1043	14479210	1	background	pNRT2.1:luc	1mM	plate2	21
10	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0189-0643	6703	1043.252	6992920	1043	6992920	1	background	pNRT2.1:luc	1mM	plate2	21
11	20240917_AV44_NRT21luc_1mM_21j_N2_luc.tif:0380-0367	9129	1041.664	9509347	1041	9509347	1	background	pNRT2.1:luc	1mM	plate2	21
