number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate	lateralRoots
1	20221110_pNRT21_1mM_N9_luc.tif:0134-0144	865	301.14	260486	291	260486	107.248	seedling66	pNRT2.1:LUC	1mM	plate9	1
2	20221110_pNRT21_1mM_N9_luc.tif:0145-0191	1116	388.542	433613	340	433613	138.471	seedling67	pNRT2.1:LUC	1mM	plate9	2
3	20221110_pNRT21_1mM_N9_luc.tif:0140-0237	1014	328.471	333070	307	333070	125.634	seedling68	pNRT2.1:LUC	1mM	plate9	1
4	20221110_pNRT21_1mM_N9_luc.tif:0144-0288	1146	412.27	472461	359	472461	142.875	seedling69	pNRT2.1:LUC	1mM	plate9	2
5	20221110_pNRT21_1mM_N9_luc.tif:0150-0336	1224	467.736	572509	402	572509	151.81	seedling70	pNRT2.1:LUC	1mM	plate9	3
6	20221110_pNRT21_1mM_N9_luc.tif:0146-0370	1167	373.946	436395	330	436395	145.02	seedling71	pNRT2.1:LUC	1mM	plate9	3
7	20221110_pNRT21_1mM_N9_luc.tif:0152-0428	1221	397.02	484762	336	484762	151.902	seedling72	pNRT2.1:LUC	1mM	plate9	3
8	20221110_pNRT21_1mM_N9_luc.tif:0397-0470	1273	282.491	359611	282	359611	157.937	background	pNRT2.1:LUC	1mM	plate9	
9	20221110_pNRT21_1mM_N9_luc.tif:0405-0337	1255	282.641	354714	283	354714	155.997	background	pNRT2.1:LUC	1mM	plate9	
10	20221110_pNRT21_1mM_N9_luc.tif:0403-0137	1268	282.404	358088	282	358088	157.428	background	pNRT2.1:LUC	1mM	plate9	
1	20221110_pNRT21_1mM_N10_luc.tif:0152-0089	869	293.298	254876	287	254876	107.859	seedling73	pNRT2.1:LUC	1mM	plate10	0
2	20221110_pNRT21_1mM_N10_luc.tif:0161-0131	1001	361.245	361606	327	361606	124.307	seedling74	pNRT2.1:LUC	1mM	plate10	1
3	20221110_pNRT21_1mM_N10_luc.tif:0159-0181	1069	354.155	378592	323	378592	133.073	seedling75	pNRT2.1:LUC	1mM	plate10	2
4	20221110_pNRT21_1mM_N10_luc.tif:0170-0225	1231	434.862	535315	362	535315	153.052	seedling76	pNRT2.1:LUC	1mM	plate10	3
5	20221110_pNRT21_1mM_N10_luc.tif:0165-0273	1074	348.151	373914	317	373914	133.237	seedling77	pNRT2.1:LUC	1mM	plate10	2
6	20221110_pNRT21_1mM_N10_luc.tif:0169-0319	1146	426.39	488643	373	488643	142.787	seedling78	pNRT2.1:LUC	1mM	plate10	3
7	20221110_pNRT21_1mM_N10_luc.tif:0175-0360	1262	464.794	586570	388	586570	157.793	seedling79	pNRT2.1:LUC	1mM	plate10	2
