number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20231124_pNRT21_1mM_N5_luc.tif:0119-0179	988	1067.426	1054617	1053	1054617	163.66	seedling33	pNRT2.1:LUC	1mM	plate5
2	20231124_pNRT21_1mM_N5_luc.tif:0143-0222	1347	1149.663	1548596	1097	1548596	222.774	seedling34	pNRT2.1:LUC	1mM	plate5
3	20231124_pNRT21_1mM_N5_luc.tif:0138-0274	1201	1118.626	1343470	1085	1343470	199.455	seedling35	pNRT2.1:LUC	1mM	plate5
4	20231124_pNRT21_1mM_N5_luc.tif:0125-0331	1110	1083.087	1202227	1066	1202227	183.431	seedling36	pNRT2.1:LUC	1mM	plate5
5	20231124_pNRT21_1mM_N5_luc.tif:0132-0379	1158	1096.685	1269961	1070	1269961	191.495	seedling37	pNRT2.1:LUC	1mM	plate5
6	20231124_pNRT21_1mM_N5_luc.tif:0147-0446	1280	1118.468	1431639	1078	1431639	211.826	seedling38	pNRT2.1:LUC	1mM	plate5
7	20231124_pNRT21_1mM_N5_luc.tif:0147-0488	1273	1108.496	1411115	1073	1411115	211.524	seedling39	pNRT2.1:LUC	1mM	plate5
8	20231124_pNRT21_1mM_N5_luc.tif:0159-0546	1294	1115.014	1442828	1075	1442828	214.617	seedling40	pNRT2.1:LUC	1mM	plate5
9	20231124_pNRT21_1mM_N5_luc.tif:0377-0506	1111	1033.099	1147773	1033	1147773	184.706	background	pNRT2.1:LUC	1mM	plate5
10	20231124_pNRT21_1mM_N5_luc.tif:0383-0426	1052	1032.578	1086272	1033	1086272	174.367	background	pNRT2.1:LUC	1mM	plate5
11	20231124_pNRT21_1mM_N5_luc.tif:0379-0344	1143	1033.563	1181362	1033	1181362	188.824	background	pNRT2.1:LUC	1mM	plate5
1	20231124_pNRT21_1mM_N6_luc.tif:0151-0209	1280	1095.937	1402799	1065	1402799	212.549	seedling41	pNRT2.1:LUC	1mM	plate6
2	20231124_pNRT21_1mM_N6_luc.tif:0157-0256	1318	1096.31	1444937	1066	1444937	218.748	seedling42	pNRT2.1:LUC	1mM	plate6
