number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0185-0065	1856	362.921	673582	312	673582	230.955	seedling65	pNRT2.1:LUC	1mM	plate9
2	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0181-0110	1739	330.279	574356	305	574356	216.978	seedling66	pNRT2.1:LUC	1mM	plate9
3	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0167-0164	1471	455.472	670000	401	670000	183.216	seedling67	pNRT2.1:LUC	1mM	plate9
4	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0180-0218	1736	406.577	705818	352	705818	217.394	seedling68	pNRT2.1:LUC	1mM	plate9
5	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0197-0268	1915	447.988	857897	390	857897	238.706	seedling69	pNRT2.1:LUC	1mM	plate9
6	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0176-0306	1616	379.799	613755	347	613755	201.436	seedling70	pNRT2.1:LUC	1mM	plate9
7	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0179-0352	1633	393.897	643234	353	643234	202.974	seedling71	pNRT2.1:LUC	1mM	plate9
8	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0200-0417	1911	434.548	830422	367	830422	238.623	seedling72	pNRT2.1:LUC	1mM	plate9
9	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0393-0442	1595	278.5	444208	279	444208	198.966	background	pNRT2.1:LUC	1mM	plate9
10	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0401-0194	1693	278.956	472272	279	472272	210.833	background	pNRT2.1:LUC	1mM	plate9
11	20220818_AV_19_rep9_nrt21_N9_1mM_LUC.tif:0385-0057	1940	276.973	537327	277	537327	241.623	background	pNRT2.1:LUC	1mM	plate9
1	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0174-0083	1772	369.881	655429	328	655429	220.932	seedling73	pNRT2.1:LUC	1mM	plate10
2	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0171-0149	1836	377.581	693238	338	693238	228.01	seedling74	pNRT2.1:LUC	1mM	plate10
3	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0183-0191	1955	464.172	907456	392	907456	243.627	seedling75	pNRT2.1:LUC	1mM	plate10
4	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0178-0239	1831	433.776	794244	377	794244	227.959	seedling76	pNRT2.1:LUC	1mM	plate10
5	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0187-0279	1978	442.715	875691	383	875691	246.91	seedling77	pNRT2.1:LUC	1mM	plate10
6	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0181-0328	1861	423.857	788797	377	788797	231.49	seedling78	pNRT2.1:LUC	1mM	plate10
7	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0170-0403	1623	365.131	592607	337	592607	201.854	seedling79	pNRT2.1:LUC	1mM	plate10
8	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0187-0449	1854	374.787	694856	339	694856	230.495	seedling80	pNRT2.1:LUC	1mM	plate10
9	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0405-0409	1588	278.773	442692	279	442692	196.941	background	pNRT2.1:LUC	1mM	plate10
10	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0410-0234	1454	279.001	405667	279	405667	181.124	background	pNRT2.1:LUC	1mM	plate10
11	20220818_AV_19_rep9_nrt21_N10_1mM_LUC.tif:0409-0080	1648	278.136	458368	278	458368	204.799	background	pNRT2.1:LUC	1mM	plate10
1	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0188-0093	1863	397.529	740596	338	740596	232.223	seedling81	pNRT2.1:LUC	1mM	plate11
2	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0172-0141	1746	380.841	664948	339	664948	217.584	seedling82	pNRT2.1:LUC	1mM	plate11
3	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0168-0176	1650	372.741	615023	332	615023	205.039	seedling83	pNRT2.1:LUC	1mM	plate11
4	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0186-0214	1937	430.562	833999	366	833999	242.326	seedling84	pNRT2.1:LUC	1mM	plate11
5	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0197-0260	1897	442.467	839360	395	839360	236.252	seedling85	pNRT2.1:LUC	1mM	plate11
6	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0186-0306	1848	373.741	690674	341	690674	230.686	seedling86	pNRT2.1:LUC	1mM	plate11
7	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0179-0365	1733	372.871	646186	340	646186	215.69	seedling87	pNRT2.1:LUC	1mM	plate11
8	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0200-0423	1908	377.103	719512	331	719512	237.145	seedling88	pNRT2.1:LUC	1mM	plate11
9	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0400-0454	1662	278.447	462779	278	462779	207.125	background	pNRT2.1:LUC	1mM	plate11
10	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0396-0284	1559	278.979	434929	279	434929	193.813	background	pNRT2.1:LUC	1mM	plate11
11	20220818_AV_19_rep9_nrt21_N11_1mM_LUC.tif:0381-0077	1869	277.989	519562	278	519562	232.48	background	pNRT2.1:LUC	1mM	plate11
1	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0203-0074	1900	372.168	707120	326	707120	236.348	seedling89	pNRT2.1:LUC	1mM	plate12
2	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0206-0113	1919	409.153	785165	357	785165	239.504	seedling90	pNRT2.1:LUC	1mM	plate12
3	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0193-0172	1744	382.802	667606	334	667606	217.287	seedling91	pNRT2.1:LUC	1mM	plate12
4	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0200-0230	1825	427.979	781061	377	781061	227.136	seedling92	pNRT2.1:LUC	1mM	plate12
5	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0200-0282	1889	423.264	799545	361	799545	234.659	seedling93	pNRT2.1:LUC	1mM	plate12
6	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0206-0330	1926	420.889	810632	361	810632	240.089	seedling94	pNRT2.1:LUC	1mM	plate12
7	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0188-0383	1614	337.429	544610	313	544610	201.106	seedling95	pNRT2.1:LUC	1mM	plate12
8	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0210-0430	2011	390.484	785263	345	785263	249.419	seedling96	pNRT2.1:LUC	1mM	plate12
9	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0389-0460	1631	278.29	453891	278	453891	203.016	background	pNRT2.1:LUC	1mM	plate12
10	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0414-0288	1528	278.475	425510	279	425510	189.513	background	pNRT2.1:LUC	1mM	plate12
11	20220818_AV_19_rep9_nrt21_N12_1mM_LUC.tif:0416-0072	1448	277.461	401764	277	401764	179.66	background	pNRT2.1:LUC	1mM	plate12
1	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0187-0080	1833	340.402	623957	300	623957	229.022	seedling97	pNRT2.1:LUC	10mM	plate13
2	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0186-0125	1774	300.286	532708	285	532708	220.727	seedling98	pNRT2.1:LUC	10mM	plate13
3	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0194-0168	1879	317.274	596158	293	596158	233.97	seedling99	pNRT2.1:LUC	10mM	plate13
4	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0196-0227	1915	335.096	641708	301	641708	238.699	seedling100	pNRT2.1:LUC	10mM	plate13
5	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0184-0273	1797	419.787	754357	339	754357	223.844	seedling101	pNRT2.1:LUC	10mM	plate13
6	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0193-0325	1748	392.96	686894	328	686894	217.611	seedling102	pNRT2.1:LUC	10mM	plate13
7	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0194-0381	1840	343.005	631129	300	631129	230.386	seedling103	pNRT2.1:LUC	10mM	plate13
8	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0218-0446	2055	380.301	781518	320	781518	256.117	seedling104	pNRT2.1:LUC	10mM	plate13
9	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0423-0472	1289	277.648	357888	278	357888	160.344	background	pNRT2.1:LUC	10mM	plate13
10	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0391-0340	1700	277.885	472405	278	472405	211.172	background	pNRT2.1:LUC	10mM	plate13
11	20220818_AV_19_rep9_nrt21_N13_10mM_LUC.tif:0375-0066	1929	276.55	533465	276	533465	239.169	background	pNRT2.1:LUC	10mM	plate13
1	20220818_AV_19_rep9_nrt21_N14_10mM_LUC.tif:0178-0073	1896	346.716	657373	299	657373	235.391	seedling105	pNRT2.1:LUC	10mM	plate14
2	20220818_AV_19_rep9_nrt21_N14_10mM_LUC.tif:0187-0120	2040	320.614	654053	292	654053	254.193	seedling106	pNRT2.1:LUC	10mM	plate14
3	20220818_AV_19_rep9_nrt21_N14_10mM_LUC.tif:0178-0165	1995	339.75	677802	294	677802	248.811	seedling107	pNRT2.1:LUC	10mM	plate14
4	20220818_AV_19_rep9_nrt21_N14_10mM_LUC.tif:0181-0209	2043	345.049	704935	305	704935	255.202	seedling108	pNRT2.1:LUC	10mM	plate14
5	20220818_AV_19_rep9_nrt21_N14_10mM_LUC.tif:0178-0261	1971	330.92	652244	297	652244	245.909	seedling109	pNRT2.1:LUC	10mM	plate14
