number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate	lateralRoots
1	20230127_pNRT21_1mM_N5_luc.tif:0169-0077	1193	364.369	434692	321	434692	148.212	seedling33	pNRT2.1:LUC	1mM	plate1	4
2	20230127_pNRT21_1mM_N5_luc.tif:0165-0123	1156	361.445	417830	326	417830	142.986	seedling34	pNRT2.1:LUC	1mM	plate1	2
3	20230127_pNRT21_1mM_N5_luc.tif:0172-0184	1310	392.205	513788	350	513788	162.648	seedling35	pNRT2.1:LUC	1mM	plate1	3
4	20230127_pNRT21_1mM_N5_luc.tif:0180-0212	1513	429.644	650051	372	650051	188.43	seedling36	pNRT2.1:LUC	1mM	plate1	5
5	20230127_pNRT21_1mM_N5_luc.tif:0177-0268	1434	433.926	622250	377	622250	177.598	seedling37	pNRT2.1:LUC	1mM	plate1	5
6	20230127_pNRT21_1mM_N5_luc.tif:0169-0304	1306	436.111	569561	380	569561	163.368	seedling38	pNRT2.1:LUC	1mM	plate1	4
7	20230127_pNRT21_1mM_N5_luc.tif:0173-0368	1304	434.239	566248	379	566248	163.012	seedling39	pNRT2.1:LUC	1mM	plate1	5
8	20230127_pNRT21_1mM_N5_luc.tif:0173-0404	1277	365.256	466432	332	466432	158.827	seedling40	pNRT2.1:LUC	1mM	plate1	2
9	20230127_pNRT21_1mM_N5_luc.tif:0413-0461	1258	287.249	361359	287	361359	156.098	background	pNRT2.1:LUC	1mM	plate1	
10	20230127_pNRT21_1mM_N5_luc.tif:0418-0278	1340	287.305	384989	287	384989	166.61	background	pNRT2.1:LUC	1mM	plate1	
11	20230127_pNRT21_1mM_N5_luc.tif:0407-0095	1361	287.003	390611	287	390611	169.101	background	pNRT2.1:LUC	1mM	plate1	
1	20230127_pNRT21_1mM_N6_luc.tif:0165-0074	1306	379.513	495644	309	495644	162.636	seedling41	pNRT2.1:LUC	1mM	plate2	2
2	20230127_pNRT21_1mM_N6_luc.tif:0154-0134	1082	297.831	322253	291	322253	134.759	seedling42	pNRT2.1:LUC	1mM	plate2	1
3	20230127_pNRT21_1mM_N6_luc.tif:0154-0167	1153	351.997	405853	326	405853	143.405	seedling43	pNRT2.1:LUC	1mM	plate2	2
4	20230127_pNRT21_1mM_N6_luc.tif:0165-0225	1266	415.765	526358	367	526358	157.508	seedling44	pNRT2.1:LUC	1mM	plate2	3
5	20230127_pNRT21_1mM_N6_luc.tif:0158-0261	1237	388.974	481161	348	481161	154.427	seedling45	pNRT2.1:LUC	1mM	plate2	2
6	20230127_pNRT21_1mM_N6_luc.tif:0171-0313	1342	437.403	586995	377	586995	166.801	seedling46	pNRT2.1:LUC	1mM	plate2	3
7	20230127_pNRT21_1mM_N6_luc.tif:0168-0339	1403	422.225	592381	367	592381	174.484	seedling47	pNRT2.1:LUC	1mM	plate2	6
8	20230127_pNRT21_1mM_N6_luc.tif:0175-0397	1464	431.217	631301	368	631301	182.449	seedling48	pNRT2.1:LUC	1mM	plate2	6
9	20230127_pNRT21_1mM_N6_luc.tif:0387-0432	1263	285.434	360503	285	360503	156.755	background	pNRT2.1:LUC	1mM	plate2	
10	20230127_pNRT21_1mM_N6_luc.tif:0402-0291	1158	285.609	330735	286	330735	144.142	background	pNRT2.1:LUC	1mM	plate2	
11	20230127_pNRT21_1mM_N6_luc.tif:0385-0184	1276	285.417	364192	285	364192	158.849	background	pNRT2.1:LUC	1mM	plate2	
1	20230127_pNRT21_1mM_N7_luc.tif:0163-0087	1250	368.777	460971	317	460971	155.332	seedling49	pNRT2.1:LUC	1mM	plate3	4
2	20230127_pNRT21_1mM_N7_luc.tif:0169-0123	1373	403.017	553342	343	553342	171.062	seedling50	pNRT2.1:LUC	1mM	plate3	5
3	20230127_pNRT21_1mM_N7_luc.tif:0157-0165	1195	350.939	419372	323	419372	148.592	seedling51	pNRT2.1:LUC	1mM	plate3	3
4	20230127_pNRT21_1mM_N7_luc.tif:0166-0208	1363	424.529	578633	370	578633	169.005	seedling52	pNRT2.1:LUC	1mM	plate3	3
5	20230127_pNRT21_1mM_N7_luc.tif:0173-0260	1429	419.934	600086	365	600086	177.512	seedling53	pNRT2.1:LUC	1mM	plate3	4
6	20230127_pNRT21_1mM_N7_luc.tif:0181-0312	1539	451.843	695386	389	695386	191.839	seedling54	pNRT2.1:LUC	1mM	plate3	7
7	20230127_pNRT21_1mM_N7_luc.tif:0164-0360	1368	430.314	588669	373	588669	170.341	seedling55	pNRT2.1:LUC	1mM	plate3	5
8	20230127_pNRT21_1mM_N7_luc.tif:0177-0403	1450	408.103	591749	357	591749	180.568	seedling56	pNRT2.1:LUC	1mM	plate3	3
9	20230127_pNRT21_1mM_N7_luc.tif:0411-0416	1303	283.866	369877	284	369877	162.225	background	pNRT2.1:LUC	1mM	plate3	
10	20230127_pNRT21_1mM_N7_luc.tif:0406-0238	1314	283.904	373050	284	373050	162.643	background	pNRT2.1:LUC	1mM	plate3	
11	20230127_pNRT21_1mM_N7_luc.tif:0414-0120	1322	283.636	374967	284	374967	163.906	background	pNRT2.1:LUC	1mM	plate3	
1	20230127_pNRT21_1mM_N8_luc.tif:0171-0078	1097	365.348	400787	313	400787	135.381	seedling57	pNRT2.1:LUC	1mM	plate4	3
2	20230127_pNRT21_1mM_N8_luc.tif:0186-0130	1454	413.145	600713	350	600713	180.877	seedling58	pNRT2.1:LUC	1mM	plate4	4
3	20230127_pNRT21_1mM_N8_luc.tif:0177-0169	1152	310.957	358222	299	358222	143.565	seedling59	pNRT2.1:LUC	1mM	plate4	1
4	20230127_pNRT21_1mM_N8_luc.tif:0194-0218	1522	410.798	625235	358	625235	189.973	seedling60	pNRT2.1:LUC	1mM	plate4	7
5	20230127_pNRT21_1mM_N8_luc.tif:0172-0253	1228	339.032	416331	319	416331	152.667	seedling61	pNRT2.1:LUC	1mM	plate4	1
6	20230127_pNRT21_1mM_N8_luc.tif:0187-0308	1519	436.278	662706	361	662706	188.933	seedling62	pNRT2.1:LUC	1mM	plate4	6
