number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20230302_pNRT21_rep2_N5_1mM_luc.tif:0189-0083	1573	341.299	536864	312	536864	195.706	seedling33	pNRT2.1:LUC	1mM	plate5
2	20230302_pNRT21_rep2_N5_1mM_luc.tif:0199-0116	1725	374.391	645825	328	645825	214.989	seedling34	pNRT2.1:LUC	1mM	plate5
3	20230302_pNRT21_rep2_N5_1mM_luc.tif:0185-0180	1409	347.564	489718	322	489718	175.545	seedling35	pNRT2.1:LUC	1mM	plate5
4	20230302_pNRT21_rep2_N5_1mM_luc.tif:0168-0227	1293	363.238	469667	332	469667	160.908	seedling36	pNRT2.1:LUC	1mM	plate5
5	20230302_pNRT21_rep2_N5_1mM_luc.tif:0192-0293	1719	380.348	653819	349	653819	213.944	seedling37	pNRT2.1:LUC	1mM	plate5
6	20230302_pNRT21_rep2_N5_1mM_luc.tif:0186-0344	1550	370.388	574102	342	574102	193.059	seedling38	pNRT2.1:LUC	1mM	plate5
7	20230302_pNRT21_rep2_N5_1mM_luc.tif:0192-0385	1637	362.719	593771	334	593771	204.183	seedling39	pNRT2.1:LUC	1mM	plate5
8	20230302_pNRT21_rep2_N5_1mM_luc.tif:0173-0434	1343	362.99	487496	334	487496	167.75	seedling40	pNRT2.1:LUC	1mM	plate5
9	20230302_pNRT21_rep2_N5_1mM_luc.tif:0386-0453	1513	290.002	438773	290	438773	187.89	background	pNRT2.1:LUC	1mM	plate5
10	20230302_pNRT21_rep2_N5_1mM_luc.tif:0396-0260	1705	289.801	494111	290	494111	212.564	background	pNRT2.1:LUC	1mM	plate5
11	20230302_pNRT21_rep2_N5_1mM_luc.tif:0400-0164	1344	289.899	389624	290	389624	167.064	background	pNRT2.1:LUC	1mM	plate5
1	20230302_pNRT21_rep2_N6_1mM_luc.tif:0153-0077	1059	314.754	333325	300	333325	131.056	seedling41	pNRT2.1:LUC	1mM	plate6
2	20230302_pNRT21_rep2_N6_1mM_luc.tif:0149-0124	949	300.803	285462	294	285462	117.834	seedling42	pNRT2.1:LUC	1mM	plate6
3	20230302_pNRT21_rep2_N6_1mM_luc.tif:0151-0171	1002	304.329	304938	295	304938	124.371	seedling43	pNRT2.1:LUC	1mM	plate6
4	20230302_pNRT21_rep2_N6_1mM_luc.tif:0144-0228	931	326.919	304362	311	304362	115.526	seedling44	pNRT2.1:LUC	1mM	plate6
