number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate	lateralRoots
1	20230426_pNRT21_1mM_N5_luc.tif:0155-0065	1232	328.269	404427	307	404427	153.324	seedling33	pNRT2.1:LUC	1mM	plate5	2
2	20230426_pNRT21_1mM_N5_luc.tif:0148-0115	1221	307.993	376060	293	376060	151.413	seedling34	pNRT2.1:LUC	1mM	plate5	1
3	20230426_pNRT21_1mM_N5_luc.tif:0164-0164	1373	320.133	439543	301	439543	170.749	seedling35	pNRT2.1:LUC	1mM	plate5	3
4	20230426_pNRT21_1mM_N5_luc.tif:0163-0215	1430	353.94	506134	323	506134	177.475	seedling36	pNRT2.1:LUC	1mM	plate5	4
5	20230426_pNRT21_1mM_N5_luc.tif:0166-0271	1367	303.595	415015	290	415015	170.463	seedling37	pNRT2.1:LUC	1mM	plate5	2
6	20230426_pNRT21_1mM_N5_luc.tif:0171-0333	1470	347.401	510680	316	510680	182.889	seedling38	pNRT2.1:LUC	1mM	plate5	3
7	20230426_pNRT21_1mM_N5_luc.tif:0152-0376	1230	293.941	361547	288	361547	152.61	seedling39	pNRT2.1:LUC	1mM	plate5	1
8	20230426_pNRT21_1mM_N5_luc.tif:0175-0429	1537	367.606	565011	315	565011	191.437	seedling40	pNRT2.1:LUC	1mM	plate5	6
9	20230426_pNRT21_1mM_N5_luc.tif:0384-0443	1317	283.39	373225	283	373225	163.893	background	pNRT2.1:LUC	1mM	plate5	
10	20230426_pNRT21_1mM_N5_luc.tif:0406-0259	1433	283.135	405732	283	405732	177.212	background	pNRT2.1:LUC	1mM	plate5	
11	20230426_pNRT21_1mM_N5_luc.tif:0404-0182	1524	283.215	431619	283	431619	189.216	background	pNRT2.1:LUC	1mM	plate5	
1	20230426_pNRT21_1mM_N6_luc.tif:0165-0066	1369	310.859	425566	294	425566	170.446	seedling41	pNRT2.1:LUC	1mM	plate6	3
2	20230426_pNRT21_1mM_N6_luc.tif:0195-0104	1912	375.326	717623	335	717623	238.717	seedling42	pNRT2.1:LUC	1mM	plate6	9
3	20230426_pNRT21_1mM_N6_luc.tif:0170-0158	1405	314.366	441684	295	441684	174.94	seedling43	pNRT2.1:LUC	1mM	plate6	3
4	20230426_pNRT21_1mM_N6_luc.tif:0169-0220	1424	309.758	441096	293	441096	177.224	seedling44	pNRT2.1:LUC	1mM	plate6	2
5	20230426_pNRT21_1mM_N6_luc.tif:0189-0277	1745	353.7	617207	322	617207	217.396	seedling45	pNRT2.1:LUC	1mM	plate6	5
6	20230426_pNRT21_1mM_N6_luc.tif:0166-0323	1461	361.792	528578	335	528578	182.108	seedling46	pNRT2.1:LUC	1mM	plate6	4
7	20230426_pNRT21_1mM_N6_luc.tif:0183-0365	1832	370.022	677881	339	677881	228.849	seedling47	pNRT2.1:LUC	1mM	plate6	5
8	20230426_pNRT21_1mM_N6_luc.tif:0188-0420	1772	351.813	623413	316	623413	220.65	seedling48	pNRT2.1:LUC	1mM	plate6	8
9	20230426_pNRT21_1mM_N6_luc.tif:0390-0436	1597	283.84	453292	284	453292	198.675	background	pNRT2.1:LUC	1mM	plate6	
10	20230426_pNRT21_1mM_N6_luc.tif:0384-0326	1580	283.727	448288	284	448288	196.216	background	pNRT2.1:LUC	1mM	plate6	
11	20230426_pNRT21_1mM_N6_luc.tif:0378-0222	1556	283.53	441173	283	441173	193.552	background	pNRT2.1:LUC	1mM	plate6	
1	20230426_pNRT21_1mM_N7_luc.tif:0170-0054	1320	332.636	439080	305	439080	164.053	seedling49	pNRT2.1:LUC	1mM	plate7	4
2	20230426_pNRT21_1mM_N7_luc.tif:0182-0109	1567	365.224	572306	321	572306	194.971	seedling50	pNRT2.1:LUC	1mM	plate7	5
3	20230426_pNRT21_1mM_N7_luc.tif:0161-0169	1330	326.594	434370	307	434370	165.073	seedling51	pNRT2.1:LUC	1mM	plate7	2
5	20230426_pNRT21_1mM_N7_luc.tif:0166-0272	1411	310.011	437426	294	437426	175.417	seedling53	pNRT2.1:LUC	1mM	plate7	4
6	20230426_pNRT21_1mM_N7_luc.tif:0184-0337	1754	355.376	623329	321	623329	218.647	seedling54	pNRT2.1:LUC	1mM	plate7	6
7	20230426_pNRT21_1mM_N7_luc.tif:0189-0377	1819	340.928	620148	310	620148	226.528	seedling55	pNRT2.1:LUC	1mM	plate7	7
8	20230426_pNRT21_1mM_N7_luc.tif:0194-0428	1757	343.505	603538	313	603538	218.74	seedling56	pNRT2.1:LUC	1mM	plate7	6
9	20230426_pNRT21_1mM_N7_luc.tif:0395-0454	1413	283.37	400402	283	400402	175.11	background	pNRT2.1:LUC	1mM	plate7	
10	20230426_pNRT21_1mM_N7_luc.tif:0391-0314	1533	283.17	434100	283	434100	190.552	background	pNRT2.1:LUC	1mM	plate7	
11	20230426_pNRT21_1mM_N7_luc.tif:0384-0216	1616	283.148	457567	283	457567	201.039	background	pNRT2.1:LUC	1mM	plate7	
1	20230426_pNRT21_1mM_N8_luc.tif:0177-0056	1355	306.928	415888	294	415888	168.369	seedling57	pNRT2.1:LUC	1mM	plate8	1
2	20230426_pNRT21_1mM_N8_luc.tif:0189-0096	1784	352.598	629035	314	629035	222.434	seedling59	pNRT2.1:LUC	1mM	plate8	5
3	20230426_pNRT21_1mM_N8_luc.tif:0204-0146	1942	371.433	721323	329	721323	242.008	seedling60	pNRT2.1:LUC	1mM	plate8	9
4	20230426_pNRT21_1mM_N8_luc.tif:0191-0209	1754	356.002	624428	323	624428	218.773	seedling61	pNRT2.1:LUC	1mM	plate8	7
5	20230426_pNRT21_1mM_N8_luc.tif:0192-0262	1841	364.857	671702	328	671702	229.575	seedling62	pNRT2.1:LUC	1mM	plate8	6
6	20230426_pNRT21_1mM_N8_luc.tif:0192-0318	1657	331.095	548624	306	548624	206.289	seedling63	pNRT2.1:LUC	1mM	plate8	7
7	20230426_pNRT21_1mM_N8_luc.tif:0176-0356	1596	331.086	528413	307	528413	198.468	seedling64	pNRT2.1:LUC	1mM	plate8	4
8	20230426_pNRT21_1mM_N8_luc.tif:0197-0413	1719	371.294	638255	330	638255	214.345	seedling65	pNRT2.1:LUC	1mM	plate8	7
9	20230426_pNRT21_1mM_N8_luc.tif:0381-0446	1506	283.29	426635	283	426635	186.51	background	pNRT2.1:LUC	1mM	plate8	
10	20230426_pNRT21_1mM_N8_luc.tif:0405-0362	1656	283.31	469161	283	469161	206.031	background	pNRT2.1:LUC	1mM	plate8	
11	20230426_pNRT21_1mM_N8_luc.tif:0399-0253	1491	283.145	422169	283	422169	185.528	background	pNRT2.1:LUC	1mM	plate8	
1	20230426_pNRT21_10mM_N9_luc.tif:0139-0072	740	303.93	224908	289	224908	91.653	seedling65	pNRT2.1:LUC	10mM	plate9	4
2	20230426_pNRT21_10mM_N9_luc.tif:0145-0121	1028	313.448	322225	297	322225	127.841	seedling66	pNRT2.1:LUC	10mM	plate9	2
3	20230426_pNRT21_10mM_N9_luc.tif:0171-0173	1346	315.45	424596	297	424596	167.513	seedling67	pNRT2.1:LUC	10mM	plate9	5
4	20230426_pNRT21_10mM_N9_luc.tif:0170-0230	1299	307.467	399400	294	399400	161.73	seedling68	pNRT2.1:LUC	10mM	plate9	5
5	20230426_pNRT21_10mM_N9_luc.tif:0181-0290	1469	323.788	475644	305	475644	182.992	seedling69	pNRT2.1:LUC	10mM	plate9	4
6	20230426_pNRT21_10mM_N9_luc.tif:0190-0380	1460	317.923	464168	298	464168	181.546	seedling71	pNRT2.1:LUC	10mM	plate9	4
7	20230426_pNRT21_10mM_N9_luc.tif:0186-0438	1560	314.719	490962	297	490962	194.38	seedling72	pNRT2.1:LUC	10mM	plate9	5
8	20230426_pNRT21_10mM_N9_luc.tif:0380-0402	1374	283.216	389139	283	389139	170.464	background	pNRT2.1:LUC	10mM	plate9	
9	20230426_pNRT21_10mM_N9_luc.tif:0400-0260	1229	282.834	347603	283	347603	152.651	background	pNRT2.1:LUC	10mM	plate9	
10	20230426_pNRT21_10mM_N9_luc.tif:0382-0155	1395	282.936	394696	283	394696	172.941	background	pNRT2.1:LUC	10mM	plate9	
1	20230426_pNRT21_10mM_N10_luc.tif:0151-0055	1408	308.523	434400	292	434400	175.235	seedling73	pNRT2.1:LUC	10mM	plate10	3
2	20230426_pNRT21_10mM_N10_luc.tif:0154-0095	1538	323.014	496796	299	496796	191.594	seedling74	pNRT2.1:LUC	10mM	plate10	8
3	20230426_pNRT21_10mM_N10_luc.tif:0164-0152	1647	356.108	586510	309	586510	204.64	seedling75	pNRT2.1:LUC	10mM	plate10	8
4	20230426_pNRT21_10mM_N10_luc.tif:0145-0218	1311	295.191	386996	288	386996	163.488	seedling76	pNRT2.1:LUC	10mM	plate10	2
5	20230426_pNRT21_10mM_N10_luc.tif:0147-0278	1522	357.012	543372	321	543372	189.356	seedling77	pNRT2.1:LUC	10mM	plate10	6
6	20230426_pNRT21_10mM_N10_luc.tif:0148-0324	1432	341.123	488488	309	488488	177.57	seedling78	pNRT2.1:LUC	10mM	plate10	4
7	20230426_pNRT21_10mM_N10_luc.tif:0164-0374	1731	370.806	641865	324	641865	215.051	seedling79	pNRT2.1:LUC	10mM	plate10	8
8	20230426_pNRT21_10mM_N10_luc.tif:0126-0419	1175	342.422	402346	292	402346	145.947	seedling80	pNRT2.1:LUC	10mM	plate10	7
9	20230426_pNRT21_10mM_N10_luc.tif:0395-0419	1549	283.108	438534	283	438534	192.368	background	pNRT2.1:LUC	10mM	plate10	
10	20230426_pNRT21_10mM_N10_luc.tif:0380-0307	1374	283.082	388954	283	388954	171.145	background	pNRT2.1:LUC	10mM	plate10	
