number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0248-0052	1832	341.269	625204	307	625204	228.627	seedling33	pNRT2.1:LUC	1mM	plate1
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0220-0101	1531	346.6	530645	324	530645	190.284	seedling34	pNRT2.1:LUC	1mM	plate1
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0223-0164	1544	352.582	544387	316	544387	192.308	seedling35	pNRT2.1:LUC	1mM	plate1
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0227-0218	1517	339.706	515334	318	515334	189.188	seedling36	pNRT2.1:LUC	1mM	plate1
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0236-0265	1617	353.273	571243	322	571243	202.832	seedling37	pNRT2.1:LUC	1mM	plate1
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0255-0386	1742	372.53	648947	329	648947	217.115	seedling39	pNRT2.1:LUC	1mM	plate1
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0266-0437	1882	372.265	700602	316	700602	234.432	seedling40	pNRT2.1:LUC	1mM	plate1
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0086-0203	2256	274.738	619808	275	619808	282.571	background	pNRT2.1:LUC	1mM	plate1
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0377-0153	2037	274.392	558937	274	558937	253.129	background	pNRT2.1:LUC	1mM	plate1
5	20220324_NRT21LUC_1mM_9D_N5_luc.tif:0414-0240	2582	274.892	709772	275	709772	321.798	background	pNRT2.1:LUC	1mM	plate1
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0240-0071	1598	330.455	528067	309	528067	198.933	seedling41	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0265-0125	1945	373.87	727178	305	727178	243.188	seedling42	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0253-0168	1744	341.978	596409	307	596409	217.416	seedling43	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0265-0230	1909	400.074	763742	322	763742	239.519	seedling44	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0262-0299	1997	406.519	811819	344	811819	249.959	seedling45	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0253-0344	1865	356.187	664289	316	664289	233.517	seedling46	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0255-0404	1803	373.7	673781	316	673781	225.817	seedling47	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0262-0451	1966	378.301	743739	327	743739	245.106	seedling48	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0085-0192	2221	275.426	611721	275	611721	276.975	background	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0092-0295	2209	276.836	611530	277	611530	274.858	background	pNRT2.1:LUC	1mM	plate2
6	20220324_NRT21LUC_1mM_9D_N6_luc.tif:0411-0198	2279	275.578	628043	276	628043	283.991	background	pNRT2.1:LUC	1mM	plate2
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0273-0045	1846	413.083	762552	357	762552	231.543	seedling49	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0272-0108	1988	370.624	736800	330	736800	248.686	seedling50	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0244-0166	1556	312.287	485918	293	485918	195.234	seedling51	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0269-0218	2006	412.303	827079	347	827079	250.48	seedling52	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0261-0268	1854	377.878	700586	343	700586	231.088	seedling53	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0256-0324	1870	381.24	712919	342	712919	234.309	seedling54	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0261-0395	1958	372.09	728553	324	728553	244.537	seedling55	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0260-0440	1892	384.762	727970	334	727970	235.699	seedling56	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0096-0181	2130	274.374	584416	273	584416	265.219	background	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0098-0248	2283	274.282	626185	274	626185	284.147	background	pNRT2.1:LUC	1mM	plate3
7	20220324_NRT21LUC_1mM_9D_N7_luc.tif:0415-0203	2161	273.962	592032	274	592032	269.282	background	pNRT2.1:LUC	1mM	plate3
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0217-0078	1514	321.944	487423	300	487423	189.077	seedling57	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0208-0129	1435	289.857	415945	280	415945	179.248	seedling58	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0232-0169	1768	377.139	666781	330	666781	220.414	seedling59	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0229-0234	1847	403.306	744907	355	744907	230.002	seedling60	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0232-0285	1776	364.841	647957	326	647957	221.323	seedling61	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0245-0350	2040	394.763	805317	344	805317	255.367	seedling62	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0231-0396	1819	367.112	667777	335	667777	227.787	seedling63	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0249-0448	1949	350.928	683959	311	683959	243.889	seedling64	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0073-0179	2056	273.832	562999	274	562999	255.983	background	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0082-0279	2088	275.535	575317	275	575317	259.912	background	pNRT2.1:LUC	1mM	plate4
8	20220324_NRT21LUC_1mM_9D_N8_luc.tif:0402-0186	2204	273.791	603436	274	603436	274.693	background	pNRT2.1:LUC	1mM	plate4
13	20220324_NRT21LUC_10mM_9D_N13_luc.tif:0234-0060	1762	282.237	497301	276	497301	219.666	seedling97	pNRT2.1:LUC	10mM	plate1
13	20220324_NRT21LUC_10mM_9D_N13_luc.tif:0252-0246	1877	337.722	633905	283	633905	233.75	seedling100	pNRT2.1:LUC	10mM	plate1
13	20220324_NRT21LUC_10mM_9D_N13_luc.tif:0257-0293	1902	338.967	644716	283	644716	237.344	seedling101	pNRT2.1:LUC	10mM	plate1
13	20220324_NRT21LUC_10mM_9D_N13_luc.tif:0235-0337	1894	324.574	614744	288	614744	236.852	seedling102	pNRT2.1:LUC	10mM	plate1
13	20220324_NRT21LUC_10mM_9D_N13_luc.tif:0261-0403	2034	328.294	667750	285	667750	254.606	seedling103	pNRT2.1:LUC	10mM	plate1
13	20220324_NRT21LUC_10mM_9D_N13_luc.tif:0259-0451	1990	306.516	609966	281	609966	248.887	seedling104	pNRT2.1:LUC	10mM	plate1
13	20220324_NRT21LUC_10mM_9D_N13_luc.tif:0040-0227	2774	270.934	751571	271	751571	345.614	background	pNRT2.1:LUC	10mM	plate1
13	20220324_NRT21LUC_10mM_9D_N13_luc.tif:0079-0239	3125	271.188	847463	271	847463	389.432	background	pNRT2.1:LUC	10mM	plate1
13	20220324_NRT21LUC_10mM_9D_N13_luc.tif:0437-0268	2858	271.805	776818	272	776818	355.783	background	pNRT2.1:LUC	10mM	plate1
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0246-0057	1906	292.525	557552	278	557552	238.373	seedling105	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0229-0096	1743	307.68	536287	286	536287	217.119	seedling106	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0248-0165	1897	300.525	570095	281	570095	236.374	seedling107	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0268-0203	2287	349.057	798294	286	798294	286.104	seedling108	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0243-0268	1959	347.193	680152	294	680152	244.165	seedling109	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0260-0332	2082	346.054	720485	292	720485	259.735	seedling110	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0268-0387	1986	330.999	657364	286	657364	248.861	seedling111	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0274-0447	1870	344.219	643689	292	643689	232.653	seedling112	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0070-0189	2233	271.265	605735	271	605735	277.962	background	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0092-0265	1908	272.142	519246	272	519246	237.508	background	pNRT2.1:LUC	10mM	plate2
14	20220324_NRT21LUC_10mM_9D_N14_luc.tif:0433-0226	2490	271.941	677132	272	677132	310.103	background	pNRT2.1:LUC	10mM	plate2
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0252-0057	1767	309.128	546229	282	546229	220.336	seedling113	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0263-0099	1868	334.486	624819	287	624819	232.683	seedling114	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0263-0143	1751	343.109	600783	305	600783	218.108	seedling115	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0267-0206	1938	333.001	645355	292	645355	242.759	seedling116	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0263-0273	1869	369.882	691309	310	691309	232.76	seedling117	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0282-0325	2019	334.031	674409	289	674409	251.226	seedling118	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0265-0389	1947	319.112	621311	285	621311	243.113	seedling119	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0282-0446	1933	324.481	627222	286	627222	241.001	seedling120	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0092-0196	2343	270.326	633374	270	633374	291.799	background	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0112-0329	2240	270.74	606458	271	606458	279.029	background	pNRT2.1:LUC	10mM	plate3
15	20220324_NRT21LUC_10mM_9D_N15_luc.tif:0450-0193	2232	270.691	604182	271	604182	278.18	background	pNRT2.1:LUC	10mM	plate3
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0239-0046	1616	290.873	470050	279	470050	201.806	seedling120	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0235-0116	1600	300.933	481493	281	481493	199.932	seedling121	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0252-0189	1937	324.228	628029	284	628029	241.463	seedling122	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0243-0221	1629	317.626	517413	299	517413	203.273	seedling123	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0249-0292	1710	297.474	508681	280	508681	212.942	seedling124	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0256-0343	1815	308.456	559848	283	559848	225.355	seedling125	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0258-0380	1854	350.134	649149	291	649149	231.34	seedling126	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0253-0453	1664	303.299	504690	282	504690	209.236	seedling127	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0091-0195	2219	270.159	599483	270	599483	274.117	background	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0111-0319	1517	270.838	410862	271	410862	188.506	background	pNRT2.1:LUC	10mM	plate4
16	20220324_NRT21LUC_10mM_9D_N16_luc.tif:0400-0172	1963	270.482	530956	270	530956	244.205	background	pNRT2.1:LUC	10mM	plate4
