number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate	lateralRoots
1	pNRT21luc_1mM_9d_plate1_luc.tif:0143-0051	1368	382.505	523267.389	325.821	523267.389	169.981	seedling1	pNRT2.1:luc	1mM	plate1	3
2	pNRT21luc_1mM_9d_plate1_luc.tif:0129-0104	1144	323.31	369867.019	297.05	369867.019	141.995	seedling2	pNRT2.1:luc	1mM	plate1	2
3	pNRT21luc_1mM_9d_plate1_luc.tif:0138-0154	1320	335.931	443428.32	309.026	443428.32	163.97	seedling3	pNRT2.1:luc	1mM	plate1	2
4	pNRT21luc_1mM_9d_plate1_luc.tif:0132-0281	1208	332.622	401807.053	303.146	401807.053	149.99	seedling4	pNRT2.1:luc	1mM	plate1	1
5	pNRT21luc_1mM_9d_plate1_luc.tif:0125-0342	1056	298.342	315049.097	289.909	315049.097	130.979	seedling5	pNRT2.1:luc	1mM	plate1	0
6	pNRT21luc_1mM_9d_plate1_luc.tif:0123-0383	1024	287.728	294633.942	279.875	294633.942	126.995	seedling6	pNRT2.1:luc	1mM	plate1	0
7	pNRT21luc_1mM_9d_plate1_luc.tif:0131-0443	1128	319.212	360071.533	306.355	360071.533	139.963	seedling7	pNRT2.1:luc	1mM	plate1	0
8	pNRT21luc_1mM_9d_plate1_luc.tif:0136-0195	1248	272.619	340228.493	272.577	340228.493	155	background	pNRT2.1:luc	1mM	plate1	
9	pNRT21luc_1mM_9d_plate1_luc.tif:0039-0181	1328	272.54	361933.255	272.529	361933.255	165	background	pNRT2.1:luc	1mM	plate1	
10	pNRT21luc_1mM_9d_plate1_luc.tif:0225-0338	1344	271.902	365436.388	271.895	365436.388	166.999	background	pNRT2.1:luc	1mM	plate1	
1	pNRT21luc_1mM_9d_plate2_luc.tif:0109-0057	1120	339.296	380011.269	306.358	380011.269	138.986	seedling8	pNRT2.1:luc	1mM	plate2	2
2	pNRT21luc_1mM_9d_plate2_luc.tif:0105-0101	1064	297.121	316136.22	285.045	316136.22	131.976	seedling9	pNRT2.1:luc	1mM	plate2	0
