Position	Slice	MeanBack	...1	sample	Area	Mean	IntDen	Median	RawIntDen	length	seedling	genotype	RawIntDen_NormBack	root_length_mm	RawIntDen_NormBack_NormLen
Pos0	1	302.16812255785413	1	MMStack_Pos0.ome.tif:0061-0223-0091:1	883	302.179	266824	302	266824	109.848	seedling1	pNRT2.1:luc	9.547781414818019	34.3275	0.2781379772723915
Pos0	1	302.16812255785413	2	MMStack_Pos0.ome.tif:0061-0210-0188:1	738	302.222	223040	302	223040	91.347	seedling2	pNRT2.1:luc	39.92555230364087	28.545937499999997	1.3986421816989152
Pos0	1	302.16812255785413	3	MMStack_Pos0.ome.tif:0061-0389-0194:1	1128	301.966	340618	302	340618	139.719	seedling3	pNRT2.1:luc	-227.6422452594852	43.662187499999995	-5.21371599303139
Pos0	1	302.16812255785413	4	MMStack_Pos0.ome.tif:0061-0387-0232:1	1130	302.036	341301	302	341301	140.119	seedling4	pNRT2.1:luc	-148.97849037515698	43.787187499999995	-3.40233065608877
Pos0	1	302.16812255785413	5	MMStack_Pos0.ome.tif:0061-0362-0335:1	780	302.133	235664	302	235664	96.425	seedling5	pNRT2.1:luc	-27.135595126223052	30.132812499999996	-0.9005331024517892
Pos0	2	302.36890581567695	9	MMStack_Pos0.ome.tif:0061-0223-0091:2	883	302.37	266993	302	266993	109.848	seedling1	pNRT2.1:luc	1.2561647572438233	34.3275	0.03659354037561207
Pos0	2	302.36890581567695	10	MMStack_Pos0.ome.tif:0061-0210-0188:2	738	302.416	223183	302	223183	91.347	seedling2	pNRT2.1:luc	34.74750803041388	28.545937499999997	1.217248795223975
Pos0	2	302.36890581567695	11	MMStack_Pos0.ome.tif:0061-0389-0194:2	1128	302.137	340811	302	340811	139.719	seedling3	pNRT2.1:luc	-261.12576008361066	43.662187499999995	-5.980592705842113
Pos0	2	302.36890581567695	12	MMStack_Pos0.ome.tif:0061-0387-0232:2	1130	302.088	341360	302	341360	140.119	seedling4	pNRT2.1:luc	-316.8635717149591	43.787187499999995	-7.23644494670865
Pos0	2	302.36890581567695	13	MMStack_Pos0.ome.tif:0061-0362-0335:2	780	302.206	235721	302	235721	96.425	seedling5	pNRT2.1:luc	-126.74653622801998	30.132812499999996	-4.206263063828509
Pos0	3	301.9788157766562	17	MMStack_Pos0.ome.tif:0061-0223-0091:3	883	301.889	266568	302	266568	109.848	seedling1	pNRT2.1:luc	-79.2943307873793	34.3275	-2.3099360800343542
Pos0	3	301.9788157766562	18	MMStack_Pos0.ome.tif:0061-0210-0188:3	738	302.309	223104	302	223104	91.347	seedling2	pNRT2.1:luc	243.63395682774717	28.545937499999997	8.534803133641947
Pos0	3	301.9788157766562	19	MMStack_Pos0.ome.tif:0061-0389-0194:3	1128	302.054	340717	302	340717	139.719	seedling3	pNRT2.1:luc	84.8958039318095	43.662187499999995	1.9443781631831778
