number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20230420_pNRT21_low_N1_luc.tif:0149-0074	1596	365.707	583669	322	583669	197.471	seedling1	line6	1mM	plate1
2	20230420_pNRT21_low_N1_luc.tif:0135-0121	1475	352.45	519864	317	519864	183.876	seedling2	line6	1mM	plate1
3	20230420_pNRT21_low_N1_luc.tif:0144-0173	1624	374.922	608873	332	608873	202.368	seedling3	line6	1mM	plate1
4	20230420_pNRT21_low_N1_luc.tif:0149-0231	1654	386.946	640008	343	640008	206.131	seedling4	line6	1mM	plate1
5	20230420_pNRT21_low_N1_luc.tif:0135-0282	1496	334.963	501104	308	501104	186.161	seedling5	line6	1mM	plate1
6	20230420_pNRT21_low_N1_luc.tif:0138-0335	1592	362.455	577029	328	577029	197.629	seedling6	line6	1mM	plate1
7	20230420_pNRT21_low_N1_luc.tif:0138-0377	1517	356.279	540476	314	540476	189.758	seedling7	line6	1mM	plate1
8	20230420_pNRT21_low_N1_luc.tif:0137-0436	1502	346.665	520691	314	520691	186.534	seedling8	line6	1mM	plate1
9	20230420_pNRT21_low_N1_luc.tif:0143-0471	1549	286.16	443262	286	443262	192.134	background	line6	1mM	plate1
10	20230420_pNRT21_low_N1_luc.tif:0377-0110	1348	284.668	383733	285	383733	167.237	background	line6	1mM	plate1
11	20230420_pNRT21_low_N1_luc.tif:0378-0280	1309	284.814	372822	285	372822	162.785	background	line6	1mM	plate1
1	20230420_pNRT21_low_N2_luc.tif:0147-0069	1691	365.008	617229	322	617229	211.072	seedling9	line6	1mM	plate2
2	20230420_pNRT21_low_N2_luc.tif:0142-0119	1628	374.773	610131	323	610131	202.386	seedling10	line6	1mM	plate2
3	20230420_pNRT21_low_N2_luc.tif:0148-0180	1653	375.525	620743	336	620743	205.901	seedling11	line6	1mM	plate2
4	20230420_pNRT21_low_N2_luc.tif:0148-0220	1770	390.378	690969	346	690969	220.021	seedling12	line6	1mM	plate2
5	20230420_pNRT21_low_N2_luc.tif:0146-0284	1719	410.616	705849	362	705849	214.265	seedling13	line6	1mM	plate2
6	20230420_pNRT21_low_N2_luc.tif:0133-0343	1504	383.481	576755	343	576755	187.227	seedling14	line6	1mM	plate2
7	20230420_pNRT21_low_N2_luc.tif:0152-0395	1718	386.837	664586	348	664586	213.701	seedling15	line6	1mM	plate2
8	20230420_pNRT21_low_N2_luc.tif:0150-0447	1619	414.671	671352	348	671352	201.252	seedling16	line6	1mM	plate2
9	20230420_pNRT21_low_N2_luc.tif:0338-0019	1212	282.504	342395	282	342395	150.505	background	line6	1mM	plate2
10	20230420_pNRT21_low_N2_luc.tif:0376-0083	1528	285.592	436384	286	436384	190.576	background	line6	1mM	plate2
11	20230420_pNRT21_low_N2_luc.tif:0150-0476	1544	289.26	446617	289	446617	192.265	background	line6	1mM	plate2
1	20230420_pNRT21_low_N3_luc.tif:0167-0065	1720	358.238	616169	322	616169	214.565	seedling17	line6	1mM	plate3
2	20230420_pNRT21_low_N3_luc.tif:0138-0121	1233	324.008	399502	303	399502	153.146	seedling18	line6	1mM	plate3
3	20230420_pNRT21_low_N3_luc.tif:0156-0159	1621	377.311	611621	335	611621	202.025	seedling19	line6	1mM	plate3
4	20230420_pNRT21_low_N3_luc.tif:0171-0220	1840	424.778	781591	383	781591	229.022	seedling20	line6	1mM	plate3
5	20230420_pNRT21_low_N3_luc.tif:0154-0266	1629	387.425	631116	344	631116	202.41	seedling21	line6	1mM	plate3
6	20230420_pNRT21_low_N3_luc.tif:0151-0344	1633	374.868	612159	335	612159	203.278	seedling22	line6	1mM	plate3
7	20230420_pNRT21_low_N3_luc.tif:0165-0386	1776	394.3	700276	347	700276	220.735	seedling23	line6	1mM	plate3
8	20230420_pNRT21_low_N3_luc.tif:0143-0438	1390	383.851	533553	306	533553	173.096	seedling24	line6	1mM	plate3
9	20230420_pNRT21_low_N3_luc.tif:0387-0039	1418	283.068	401391	283	401391	176.142	background	line6	1mM	plate3
10	20230420_pNRT21_low_N3_luc.tif:0391-0137	1483	284.729	422253	285	422253	184.5	background	line6	1mM	plate3
11	20230420_pNRT21_low_N3_luc.tif:0157-0474	1461	291.055	425231	291	425231	181.511	background	line6	1mM	plate3
1	20230420_pNRT21_low_N4_luc.tif:0123-0074	1344	319.287	429122	300	429122	166.697	seedling25	line6	1mM	plate4
2	20230420_pNRT21_low_N4_luc.tif:0139-0111	1539	395.369	608473	343	608473	191.264	seedling26	line6	1mM	plate4
3	20230420_pNRT21_low_N4_luc.tif:0118-0172	1314	330.396	434141	307	434141	163.212	seedling27	line6	1mM	plate4
4	20230420_pNRT21_low_N4_luc.tif:0133-0217	1617	382.574	618622	339	618622	200.803	seedling28	line6	1mM	plate4
5	20230420_pNRT21_low_N4_luc.tif:0129-0270	1641	379.118	622132	343	622132	204.373	seedling29	line6	1mM	plate4
6	20230420_pNRT21_low_N4_luc.tif:0133-0322	1682	376.444	633179	338	633179	209.766	seedling30	line6	1mM	plate4
7	20230420_pNRT21_low_N4_luc.tif:0137-0373	1762	363.801	641018	316	641018	219.63	seedling31	line6	1mM	plate4
8	20230420_pNRT21_low_N4_luc.tif:0123-0432	1552	343.402	532960	313	532960	193.079	seedling32	line6	1mM	plate4
9	20230420_pNRT21_low_N4_luc.tif:0129-0466	1521	285.385	434070	285	434070	189.581	background	line6	1mM	plate4
10	20230420_pNRT21_low_N4_luc.tif:0360-0063	1409	283.275	399135	283	399135	175.026	background	line6	1mM	plate4
11	20230420_pNRT21_low_N4_luc.tif:0364-0274	1467	284.134	416824	284	416824	181.982	background	line6	1mM	plate4
1	20230420_pNRT21_med_N5_luc.tif:0165-0064	1570	359.551	564495	323	564495	195.664	seedling33	line11	1mM	plate1
2	20230420_pNRT21_med_N5_luc.tif:0164-0111	1637	356.749	583998	323	583998	203.699	seedling34	line11	1mM	plate1
3	20230420_pNRT21_med_N5_luc.tif:0159-0171	1581	344.274	544297	311	544297	196.83	seedling35	line11	1mM	plate1
4	20230420_pNRT21_med_N5_luc.tif:0166-0211	1671	387.963	648287	335	648287	208.243	seedling36	line11	1mM	plate1
5	20230420_pNRT21_med_N5_luc.tif:0160-0264	1621	348.601	565082	320	565082	201.862	seedling37	line11	1mM	plate1
6	20230420_pNRT21_med_N5_luc.tif:0151-0328	1411	340.742	480787	311	480787	175.03	seedling38	line11	1mM	plate1
7	20230420_pNRT21_med_N5_luc.tif:0167-0385	1692	371.526	628622	326	628622	210.88	seedling39	line11	1mM	plate1
