number_Parent	plate_info_Parent	area_Parent	mean_Parent	IntDen_Parent	median_Parent	RawIntDen_Parent	length_Parent	seedling_Parent	genotype_Parent	KNO3_Parent	PLATE_Parent	type_Parent	Parent_name
1	20230616_pNRT21_0.5_T4_N5_luc.tif:0200-0057	1823	349.826	637733	321	637733	227.336	seedling33	pNRT2.1:LUC	0.5mM	plate5	medium	line33
2	20230616_pNRT21_0.5_T4_N5_luc.tif:0210-0094	1975	334.99	661606	312	661606	245.451	seedling34	pNRT2.1:LUC	0.5mM	plate5	low	line34
3	20230616_pNRT21_0.5_T4_N5_luc.tif:0197-0145	1910	341.479	652225	315	652225	238.577	seedling35	pNRT2.1:LUC	0.5mM	plate5	other	line35
4	20230616_pNRT21_0.5_T4_N5_luc.tif:0209-0191	2217	344.706	764214	324	764214	275.917	seedling36	pNRT2.1:LUC	0.5mM	plate5	medium	line36
5	20230616_pNRT21_0.5_T4_N5_luc.tif:0204-0255	1962	356.484	699421	330	699421	245.115	seedling37	pNRT2.1:LUC	0.5mM	plate5	other	line37
6	20230616_pNRT21_0.5_T4_N5_luc.tif:0175-0312	1528	304.942	465951	296	465951	190.418	seedling38	pNRT2.1:LUC	0.5mM	plate5	other	line38
7	20230616_pNRT21_0.5_T4_N5_luc.tif:0201-0345	1824	332.962	607323	306	607323	228.259	seedling39	pNRT2.1:LUC	0.5mM	plate5	low	line39
8	20230616_pNRT21_0.5_T4_N5_luc.tif:0219-0385	2203	352.527	776616	326	776616	273.87	seedling40	pNRT2.1:LUC	0.5mM	plate5	other	line40
9	20230616_pNRT21_0.5_T4_N5_luc.tif:0374-0431	1670	285.881	477422	286	477422	207.197	background	pNRT2.1:LUC	0.5mM	plate5		background
10	20230616_pNRT21_0.5_T4_N5_luc.tif:0397-0320	1495	285.795	427264	286	427264	185.986	background	pNRT2.1:LUC	0.5mM	plate5		background
11	20230616_pNRT21_0.5_T4_N5_luc.tif:0380-0233	1684	285.989	481606	286	481606	209.435	background	pNRT2.1:LUC	0.5mM	plate5		background
1	20230616_pNRT21_0.5_T4_N6_luc.tif:0227-0060	2052	358.956	736578	332	736578	255.89	seedling41	pNRT2.1:LUC	0.5mM	plate6	other	line41
2	20230616_pNRT21_0.5_T4_N6_luc.tif:0203-0091	1800	323.383	582090	306	582090	223.761	seedling42	pNRT2.1:LUC	0.5mM	plate6	other	line42
3	20230616_pNRT21_0.5_T4_N6_luc.tif:0231-0138	2241	361.867	810945	338	810945	279.375	seedling43	pNRT2.1:LUC	0.5mM	plate6	other	line43
4	20230616_pNRT21_0.5_T4_N6_luc.tif:0237-0200	2439	375.205	915125	348	915125	304.573	seedling44	pNRT2.1:LUC	0.5mM	plate6	high	line44
5	20230616_pNRT21_0.5_T4_N6_luc.tif:0196-0256	1828	359.197	656613	333	656613	227.398	seedling45	pNRT2.1:LUC	0.5mM	plate6	other	line45
6	20230616_pNRT21_0.5_T4_N6_luc.tif:0178-0305	1489	328.551	489212	310	489212	185.567	seedling46	pNRT2.1:LUC	0.5mM	plate6	other	line46
7	20230616_pNRT21_0.5_T4_N6_luc.tif:0206-0351	1928	314.387	606138	300	606138	239.839	seedling47	pNRT2.1:LUC	0.5mM	plate6	low	line47
8	20230616_pNRT21_0.5_T4_N6_luc.tif:0198-0403	1748	324.912	567946	303	567946	216.768	seedling48	pNRT2.1:LUC	0.5mM	plate6	other	line48
9	20230616_pNRT21_0.5_T4_N6_luc.tif:0376-0434	1529	285.883	437115	286	437115	190.894	background	pNRT2.1:LUC	0.5mM	plate6		background
10	20230616_pNRT21_0.5_T4_N6_luc.tif:0403-0333	1331	285.696	380261	286	380261	165.187	background	pNRT2.1:LUC	0.5mM	plate6		background
11	20230616_pNRT21_0.5_T4_N6_luc.tif:0384-0172	1585	286.634	454315	287	454315	196.859	background	pNRT2.1:LUC	0.5mM	plate6		background
1	20230616_pNRT21_0.5_T4_N7_luc.tif:0180-0057	1527	369.665	564479	328	564479	190.334	seedling49	pNRT2.1:LUC	0.5mM	plate7	other	line49
2	20230616_pNRT21_0.5_T4_N7_luc.tif:0184-0108	1581	366.109	578818	329	578818	197.177	seedling50	pNRT2.1:LUC	0.5mM	plate7	other	line50
3	20230616_pNRT21_0.5_T4_N7_luc.tif:0201-0153	1881	346.326	651440	322	651440	234.285	seedling51	pNRT2.1:LUC	0.5mM	plate7	medium	line51
4	20230616_pNRT21_0.5_T4_N7_luc.tif:0209-0202	1837	363.453	667663	337	667663	228.749	seedling52	pNRT2.1:LUC	0.5mM	plate7	other	line52
5	20230616_pNRT21_0.5_T4_N7_luc.tif:0226-0233	2462	369.895	910681	342	910681	307.583	seedling53	pNRT2.1:LUC	0.5mM	plate7	other	line53
