number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	line33_1mM_plate1_luc.tif:0172-0217	1722	1376.944	2371098	1145	2371098	215.047	seedling1	line33	1mM	plate1
2	line33_1mM_plate1_luc.tif:0197-0262	1978	1445.438	2859077	1192	2859077	246.375	seedling2	line33	1mM	plate1
3	line33_1mM_plate1_luc.tif:0185-0338	1711	1449.678	2480399	1158	2480399	212.823	seedling3	line33	1mM	plate1
4	line33_1mM_plate1_luc.tif:0173-0373	1598	1353.098	2162251	1129	2162251	198.91	seedling4	line33	1mM	plate1
5	line33_1mM_plate1_luc.tif:0161-0432	1437	1251.064	1797779	1108	1797779	178.515	seedling5	line33	1mM	plate1
6	line33_1mM_plate1_luc.tif:0180-0487	1759	1446.941	2545169	1178	2545169	218.846	seedling6	line33	1mM	plate1
7	line33_1mM_plate1_luc.tif:0187-0541	1801	1407.476	2534865	1190	2534865	224.112	seedling7	line33	1mM	plate1
8	line33_1mM_plate1_luc.tif:0177-0584	1672	1390.265	2324523	1182	2324523	208.149	seedling8	line33	1mM	plate1
9	line33_1mM_plate1_luc.tif:0191-0308	1616	1053.402	1702298	1054	1702298	200.441	background	line33	1mM	plate1
10	line33_1mM_plate1_luc.tif:0169-0408	1544	1049.308	1620131	1049	1620131	192.186	background	line33	1mM	plate1
11	line33_1mM_plate1_luc.tif:0196-0616	1610	1041.676	1677098	1042	1677098	200.076	background	line33	1mM	plate1
1	line33_1mM_plate2_luc.tif:0196-0206	1481	1334.275	1976061	1115	1976061	184.233	seedling9	line33	1mM	plate2
2	line33_1mM_plate2_luc.tif:0215-0259	1681	1363.525	2292085	1139	2292085	209.54	seedling10	line33	1mM	plate2
3	line33_1mM_plate2_luc.tif:0210-0302	1682	1419.706	2387946	1163	2387946	209.891	seedling11	line33	1mM	plate2
4	line33_1mM_plate2_luc.tif:0214-0366	1651	1325.148	2187819	1128	2187819	205.49	seedling12	line33	1mM	plate2
5	line33_1mM_plate2_luc.tif:0220-0407	1881	1436.855	2702725	1141	2702725	234.018	seedling13	line33	1mM	plate2
6	line33_1mM_plate2_luc.tif:0201-0465	1515	1268.093	1921161	1112	1921161	188.667	seedling14	line33	1mM	plate2
7	line33_1mM_plate2_luc.tif:0195-0520	1490	1252.17	1865734	1111	1865734	184.69	seedling15	line33	1mM	plate2
8	line33_1mM_plate2_luc.tif:0192-0580	1340	1156.576	1549812	1080	1549812	167.232	seedling16	line33	1mM	plate2
9	line33_1mM_plate2_luc.tif:0209-0176	1438	1043.721	1500871	1043	1500871	177.53	background	line33	1mM	plate2
10	line33_1mM_plate2_luc.tif:0210-0337	1681	1047.276	1760471	1046	1760471	208.17	background	line33	1mM	plate2
11	line33_1mM_plate2_luc.tif:0202-0493	1519	1043.392	1584912	1044	1584912	188.521	background	line33	1mM	plate2
1	line33_1mM_plate3_luc.tif:0190-0223	1745	1348.531	2353186	1143	2353186	217.479	seedling17	line33	1mM	plate3
2	line33_1mM_plate3_luc.tif:0192-0264	1797	1355.349	2435563	1144	2435563	223.072	seedling18	line33	1mM	plate3
3	line33_1mM_plate3_luc.tif:0193-0328	1726	1319.574	2277585	1128	2277585	214.599	seedling19	line33	1mM	plate3
4	line33_1mM_plate3_luc.tif:0190-0389	1655	1259.29	2084125	1107	2084125	206.515	seedling20	line33	1mM	plate3
5	line33_1mM_plate3_luc.tif:0194-0436	1750	1357.847	2376233	1131	2376233	217.603	seedling21	line33	1mM	plate3
6	line33_1mM_plate3_luc.tif:0194-0484	1749	1373.6	2402426	1168	2402426	217.636	seedling22	line33	1mM	plate3
7	line33_1mM_plate3_luc.tif:0180-0548	1508	1296.34	1954881	1124	1954881	187.419	seedling23	line33	1mM	plate3
8	line33_1mM_plate3_luc.tif:0193-0595	1624	1424.772	2313830	1198	2313830	201.738	seedling24	line33	1mM	plate3
9	line33_1mM_plate3_luc.tif:0193-0306	1727	1048.66	1811035	1049	1811035	214.745	background	line33	1mM	plate3
10	line33_1mM_plate3_luc.tif:0183-0363	1493	1046.755	1562805	1047	1562805	185.207	background	line33	1mM	plate3
11	line33_1mM_plate3_luc.tif:0193-0519	1717	1047.358	1798314	1047	1798314	213.623	background	line33	1mM	plate3
1	line33_1mM_plate4_luc.tif:0184-0220	1708	1401.745	2394181	1154	2394181	212.666	seedling25	line33	1mM	plate4
2	line33_1mM_plate4_luc.tif:0190-0293	1730	1345.017	2326879	1139	2326879	215.218	seedling26	line33	1mM	plate4
3	line33_1mM_plate4_luc.tif:0196-0341	1886	1368.512	2581014	1145	2581014	235.021	seedling27	line33	1mM	plate4
4	line33_1mM_plate4_luc.tif:0189-0379	1757	1396.89	2454335	1149	2454335	218.764	seedling28	line33	1mM	plate4
