number	plate_info	length_px	scale_px_mm	seedling	genotype	KNO3	plate	lateralRoots
1	col0_1mM005.tif:0003-2895-0602:Blue	957.406	24.5	seedling1	Col0_WT	1mM	plate1	8
2	col0_1mM005.tif:0003-2876-0897:Blue	878.557	24.5	seedling2	Col0_WT	1mM	plate1	4
3	col0_1mM005.tif:0003-2984-1168:Blue	1151.98	24.5	seedling3	Col0_WT	1mM	plate1	13
4	col0_1mM005.tif:0003-2874-1463:Blue	1013.503	24.5	seedling4	Col0_WT	1mM	plate1	7
5	col0_1mM005.tif:0003-2884-1778:Blue	975.115	24.5	seedling5	Col0_WT	1mM	plate1	6
6	col0_1mM005.tif:0003-2990-2064:Blue	1092.728	24.5	seedling6	Col0_WT	1mM	plate1	10
7	col0_1mM005.tif:0003-2926-2341:Blue	1002.948	24.5	seedling7	Col0_WT	1mM	plate1	5
8	col0_1mM005.tif:0003-3046-2666:Blue	1230.546	24.5	seedling8	Col0_WT	1mM	plate1	13
1	col0_1mM005.tif:0003-3056-3678:Blue	1147.488	24.5	seedling9	Col0_WT	1mM	plate2	10
2	col0_1mM005.tif:0003-3008-3951:Blue	1109.709	24.5	seedling10	Col0_WT	1mM	plate2	10
3	col0_1mM005.tif:0003-3021-4314:Blue	1159.891	24.5	seedling11	Col0_WT	1mM	plate2	10
4	col0_1mM005.tif:0003-3016-4552:Blue	1106.166	24.5	seedling12	Col0_WT	1mM	plate2	8
5	col0_1mM005.tif:0003-2901-4862:Blue	783.819	24.5	seedling13	Col0_WT	1mM	plate2	4
6	col0_1mM005.tif:0003-3021-5130:Blue	1110.299	24.5	seedling14	Col0_WT	1mM	plate2	7
7	col0_1mM005.tif:0003-3080-5367:Blue	1219.499	24.5	seedling15	Col0_WT	1mM	plate2	11
8	col0_1mM005.tif:0003-3079-5660:Blue	1192.561	24.5	seedling16	Col0_WT	1mM	plate2	11
1	col0_1mM006.tif:0001-3127-0505:Red	1189.542	24.5	seedling17	Col0_WT	1mM	plate3	12
2	col0_1mM006.tif:0001-3171-0794:Red	1163.536	24.5	seedling18	Col0_WT	1mM	plate3	11
3	col0_1mM006.tif:0001-3134-1115:Red	1138.984	24.5	seedling19	Col0_WT	1mM	plate3	9
4	col0_1mM006.tif:0001-2972-1415:Red	747.464	24.5	seedling20	Col0_WT	1mM	plate3	3
5	col0_1mM006.tif:0001-3047-1653:Red	880.409	24.5	seedling21	Col0_WT	1mM	plate3	3
6	col0_1mM006.tif:0001-3198-2045:Red	1241.221	24.5	seedling22	Col0_WT	1mM	plate3	12
7	col0_1mM006.tif:0001-3161-2357:Red	1096.509	24.5	seedling23	Col0_WT	1mM	plate3	9
8	col0_1mM006.tif:0001-3125-2567:Red	1071.84	24.5	seedling24	Col0_WT	1mM	plate3	7
1	col0_1mM006.tif:0001-3150-3602:Red	1118.879	24.5	seedling25	Col0_WT	1mM	plate4	9
2	col0_1mM006.tif:0001-3085-3845:Red	1037.298	24.5	seedling26	Col0_WT	1mM	plate4	9
3	col0_1mM006.tif:0001-3199-4135:Red	1279.06	24.5	seedling27	Col0_WT	1mM	plate4	11
4	col0_1mM006.tif:0001-3095-4391:Red	1113.566	24.5	seedling28	Col0_WT	1mM	plate4	11
5	col0_1mM006.tif:0001-3019-4688:Red	947.429	24.5	seedling29	Col0_WT	1mM	plate4	4
