number	plate_info	length_px	scale_px_mm	seedling	genotype	KNO3	plate	lateralRoots
1	SC68_nrt21KO_1mM_001.tif:1666-1651	1017.423	23.3	seedling1	nrt2.1_KO	1mM	plate1	8
2	SC68_nrt21KO_1mM_001.tif:1616-1879	902.933	23.3	seedling2	nrt2.1_KO	1mM	plate1	3
3	SC68_nrt21KO_1mM_001.tif:1683-2211	1015.696	23.3	seedling3	nrt2.1_KO	1mM	plate1	6
4	SC68_nrt21KO_1mM_001.tif:1700-2402	1065.662	23.3	seedling4	nrt2.1_KO	1mM	plate1	9
5	SC68_nrt21KO_1mM_001.tif:1674-2708	1003.123	23.3	seedling5	nrt2.1_KO	1mM	plate1	5
6	SC68_nrt21KO_1mM_001.tif:1632-3259	880.358	23.3	seedling6	nrt2.1_KO	1mM	plate1	4
7	SC68_nrt21KO_1mM_001.tif:1505-3654	657.72	23.3	seedling7	nrt2.1_KO	1mM	plate1	2
1	SC68_nrt21KO_1mM_001.tif:4538-1622	818.304	23.3	seedling8	nrt2.1_KO	1mM	plate2	3
2	SC68_nrt21KO_1mM_001.tif:4647-1885	1071.419	23.3	seedling9	nrt2.1_KO	1mM	plate2	5
3	SC68_nrt21KO_1mM_001.tif:4594-2101	982.722	23.3	seedling10	nrt2.1_KO	1mM	plate2	6
4	SC68_nrt21KO_1mM_001.tif:4573-2452	961.562	23.3	seedling11	nrt2.1_KO	1mM	plate2	6
5	SC68_nrt21KO_1mM_001.tif:4615-2737	1053.437	23.3	seedling12	nrt2.1_KO	1mM	plate2	5
6	SC68_nrt21KO_1mM_001.tif:4533-3080	887.543	23.3	seedling13	nrt2.1_KO	1mM	plate2	4
7	SC68_nrt21KO_1mM_001.tif:4582-3285	928.254	23.3	seedling14	nrt2.1_KO	1mM	plate2	4
8	SC68_nrt21KO_1mM_001.tif:4634-3558	1059.215	23.3	seedling15	nrt2.1_KO	1mM	plate2	7
1	SC68_nrt21KO_1mM_002.tif:1486-1563	780.426	23.3	seedling16	nrt2.1_KO	1mM	plate3	3
2	SC68_nrt21KO_1mM_002.tif:1547-1892	909.964	23.3	seedling17	nrt2.1_KO	1mM	plate3	6
3	SC68_nrt21KO_1mM_002.tif:1422-2122	674.214	23.3	seedling18	nrt2.1_KO	1mM	plate3	2
4	SC68_nrt21KO_1mM_002.tif:1538-2454	895.838	23.3	seedling19	nrt2.1_KO	1mM	plate3	3
5	SC68_nrt21KO_1mM_002.tif:1421-2716	614.434	23.3	seedling20	nrt2.1_KO	1mM	plate3	1
6	SC68_nrt21KO_1mM_002.tif:1450-3012	706.564	23.3	seedling21	nrt2.1_KO	1mM	plate3	1
7	SC68_nrt21KO_1mM_002.tif:1550-3254	887.083	23.3	seedling22	nrt2.1_KO	1mM	plate3	4
8	SC68_nrt21KO_1mM_002.tif:1569-3579	914.06	23.3	seedling23	nrt2.1_KO	1mM	plate3	7
1	SC68_nrt21KO_1mM_002.tif:4617-1683	1004.655	23.3	seedling24	nrt2.1_KO	1mM	plate4	7
2	SC68_nrt21KO_1mM_002.tif:4498-1879	760.182	23.3	seedling25	nrt2.1_KO	1mM	plate4	3
3	SC68_nrt21KO_1mM_002.tif:4553-2157	909.531	23.3	seedling26	nrt2.1_KO	1mM	plate4	3
4	SC68_nrt21KO_1mM_002.tif:4550-2493	902.305	23.3	seedling27	nrt2.1_KO	1mM	plate4	5
5	SC68_nrt21KO_1mM_002.tif:4598-2738	1013.874	23.3	seedling28	nrt2.1_KO	1mM	plate4	6
6	SC68_nrt21KO_1mM_002.tif:4625-3139	1000.159	23.3	seedling29	nrt2.1_KO	1mM	plate4	7
7	SC68_nrt21KO_1mM_002.tif:4661-3368	1091.22	23.3	seedling30	nrt2.1_KO	1mM	plate4	8
8	SC68_nrt21KO_1mM_002.tif:4664-3648	1009.421	23.3	seedling31	nrt2.1_KO	1mM	plate4	7
1	SC68_nrt21KO_10mM_001.tif:1739-1555	1098.51	23.3	seedling1	nrt2.1_KO	10mM	plate1	9
2	SC68_nrt21KO_10mM_001.tif:1753-1837	1098.302	23.3	seedling2	nrt2.1_KO	10mM	plate1	8
3	SC68_nrt21KO_10mM_001.tif:1707-2040	944.118	23.3	seedling3	nrt2.1_KO	10mM	plate1	7
4	SC68_nrt21KO_10mM_001.tif:1770-2394	1086.05	23.3	seedling4	nrt2.1_KO	10mM	plate1	9
5	SC68_nrt21KO_10mM_001.tif:1684-2620	910.907	23.3	seedling5	nrt2.1_KO	10mM	plate1	7
6	SC68_nrt21KO_10mM_001.tif:1787-2914	1032.326	23.3	seedling6	nrt2.1_KO	10mM	plate1	9
7	SC68_nrt21KO_10mM_001.tif:1730-3127	958.858	23.3	seedling7	nrt2.1_KO	10mM	plate1	7
8	SC68_nrt21KO_10mM_001.tif:1646-3472	735.718	23.3	seedling8	nrt2.1_KO	10mM	plate1	2
1	SC68_nrt21KO_10mM_001.tif:4779-1567	1017.542	23.3	seedling9	nrt2.1_KO	10mM	plate2	11
2	SC68_nrt21KO_10mM_001.tif:4861-1897	1239.564	23.3	seedling10	nrt2.1_KO	10mM	plate2	11
3	SC68_nrt21KO_10mM_001.tif:4713-2130	871.387	23.3	seedling11	nrt2.1_KO	10mM	plate2	3
4	SC68_nrt21KO_10mM_001.tif:4838-2321	1153.673	23.3	seedling12	nrt2.1_KO	10mM	plate2	9
5	SC68_nrt21KO_10mM_001.tif:4763-2685	902.405	23.3	seedling13	nrt2.1_KO	10mM	plate2	7
6	SC68_nrt21KO_10mM_001.tif:4841-2882	1105.965	23.3	seedling14	nrt2.1_KO	10mM	plate2	9
7	SC68_nrt21KO_10mM_001.tif:4918-3153	1245.145	23.3	seedling15	nrt2.1_KO	10mM	plate2	10
8	SC68_nrt21KO_10mM_001.tif:4917-3463	1233.135	23.3	seedling16	nrt2.1_KO	10mM	plate2	10
1	SC68_nrt21KO_10mM_002.tif:1662-1656	1085.193	23.3	seedling17	nrt2.1_KO	10mM	plate3	8
2	SC68_nrt21KO_10mM_002.tif:1623-1904	1007.58	23.3	seedling18	nrt2.1_KO	10mM	plate3	7
3	SC68_nrt21KO_10mM_002.tif:1636-2168	965.948	23.3	seedling19	nrt2.1_KO	10mM	plate3	5
4	SC68_nrt21KO_10mM_002.tif:1505-2448	716.99	23.3	seedling20	nrt2.1_KO	10mM	plate3	2
5	SC68_nrt21KO_10mM_002.tif:1505-2685	755.068	23.3	seedling21	nrt2.1_KO	10mM	plate3	3
6	SC68_nrt21KO_10mM_002.tif:1480-2991	687.81	23.3	seedling22	nrt2.1_KO	10mM	plate3	3
7	SC68_nrt21KO_10mM_002.tif:1670-3251	1066.596	23.3	seedling23	nrt2.1_KO	10mM	plate3	10
8	SC68_nrt21KO_10mM_002.tif:1666-3462	1094.34	23.3	seedling24	nrt2.1_KO	10mM	plate3	11
1	SC68_nrt21KO_10mM_002.tif:4683-1602	993.405	23.3	seedling25	nrt2.1_KO	10mM	plate4	9
2	SC68_nrt21KO_10mM_002.tif:4593-1897	850.9	23.3	seedling26	nrt2.1_KO	10mM	plate4	3
3	SC68_nrt21KO_10mM_002.tif:4675-2200	1070.07	23.3	seedling27	nrt2.1_KO	10mM	plate4	8
4	SC68_nrt21KO_10mM_002.tif:4664-2359	1027.887	23.3	seedling28	nrt2.1_KO	10mM	plate4	7
5	SC68_nrt21KO_10mM_002.tif:4671-2671	1068.533	23.3	seedling29	nrt2.1_KO	10mM	plate4	8
