number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	pNRT2.1_LUC_1mM_N1_luc.tif:0138-0040	1612	329.51	531170	298	531170	200.276	seedling65	pNRT2.1:LUC	1mM	plate9
2	pNRT2.1_LUC_1mM_N1_luc.tif:0139-0091	1719	340.683	585634	307	585634	214.784	seedling66	pNRT2.1:LUC	1mM	plate9
3	pNRT2.1_LUC_1mM_N1_luc.tif:0145-0153	1863	350.56	653094	318	653094	231.389	seedling67	pNRT2.1:LUC	1mM	plate9
4	pNRT2.1_LUC_1mM_N1_luc.tif:0165-0224	2278	379.444	864373	339	864373	283.926	seedling68	pNRT2.1:LUC	1mM	plate9
5	pNRT2.1_LUC_1mM_N1_luc.tif:0154-0293	2192	384.109	841966	346	841966	272.959	seedling69	pNRT2.1:LUC	1mM	plate9
6	pNRT2.1_LUC_1mM_N1_luc.tif:0152-0348	2080	374.7	779376	341	779376	259.295	seedling70	pNRT2.1:LUC	1mM	plate9
7	pNRT2.1_LUC_1mM_N1_luc.tif:0358-0266	1439	280.97	404316	281	404316	178.537	background	pNRT2.1:LUC	1mM	plate9
8	pNRT2.1_LUC_1mM_N1_luc.tif:0365-0324	1663	281.087	467447	281	467447	211.142	background	pNRT2.1:LUC	1mM	plate9
9	pNRT2.1_LUC_1mM_N1_luc.tif:0365-0373	1725	281.191	485054	281	485054	214.396	background	pNRT2.1:LUC	1mM	plate9
1	pNRT2.1_LUC_1mM_N2_luc.tif:0167-0051	2136	361.591	772359	323	772359	267.714	seedling73	pNRT2.1:LUC	1mM	plate10
2	pNRT2.1_LUC_1mM_N2_luc.tif:0157-0121	2032	339.805	690484	307	690484	252.516	seedling74	pNRT2.1:LUC	1mM	plate10
3	pNRT2.1_LUC_1mM_N2_luc.tif:0147-0178	2065	361.812	747142	324	747142	257.338	seedling75	pNRT2.1:LUC	1mM	plate10
4	pNRT2.1_LUC_1mM_N2_luc.tif:0156-0239	2099	400.689	841047	355	841047	261.436	seedling76	pNRT2.1:LUC	1mM	plate10
5	pNRT2.1_LUC_1mM_N2_luc.tif:0156-0297	2108	404.073	851785	357	851785	263.577	seedling77	pNRT2.1:LUC	1mM	plate10
6	pNRT2.1_LUC_1mM_N2_luc.tif:0134-0349	1705	352.74	601421	326	601421	212.068	seedling78	pNRT2.1:LUC	1mM	plate10
7	pNRT2.1_LUC_1mM_N2_luc.tif:0144-0398	2168	387.465	840025	345	840025	271.289	seedling79	pNRT2.1:LUC	1mM	plate10
8	pNRT2.1_LUC_1mM_N2_luc.tif:0165-0440	2296	377.935	867739	344	867739	286.894	seedling80	pNRT2.1:LUC	1mM	plate10
9	pNRT2.1_LUC_1mM_N2_luc.tif:0247-0323	1603	280.178	449126	280	449126	199.15	background	pNRT2.1:LUC	1mM	plate10
10	pNRT2.1_LUC_1mM_N2_luc.tif:0251-0271	1842	280.845	517316	281	517316	228.563	background	pNRT2.1:LUC	1mM	plate10
11	pNRT2.1_LUC_1mM_N2_luc.tif:0395-0102	1791	279.261	500157	279	500157	223.244	background	pNRT2.1:LUC	1mM	plate10
1	pNRT2.1_LUC_1mM_N3_luc.tif:0149-0078	2146	346.233	743017	311	743017	267.793	seedling81	pNRT2.1:LUC	1mM	plate11
2	pNRT2.1_LUC_1mM_N3_luc.tif:0150-0119	2219	353.765	785004	317	785004	276.238	seedling82	pNRT2.1:LUC	1mM	plate11
3	pNRT2.1_LUC_1mM_N3_luc.tif:0140-0171	1971	365.87	721129	329	721129	245.272	seedling83	pNRT2.1:LUC	1mM	plate11
4	pNRT2.1_LUC_1mM_N3_luc.tif:0144-0230	2079	348.915	725394	319	725394	259.07	seedling84	pNRT2.1:LUC	1mM	plate11
5	pNRT2.1_LUC_1mM_N3_luc.tif:0129-0289	1663	321.384	534462	304	534462	206.824	seedling85	pNRT2.1:LUC	1mM	plate11
6	pNRT2.1_LUC_1mM_N3_luc.tif:0131-0338	1718	335.413	576240	311	576240	213.653	seedling86	pNRT2.1:LUC	1mM	plate11
7	pNRT2.1_LUC_1mM_N3_luc.tif:0156-0388	2127	378.614	805312	339	805312	265.38	seedling87	pNRT2.1:LUC	1mM	plate11
8	pNRT2.1_LUC_1mM_N3_luc.tif:0156-0455	2103	369.839	777772	329	777772	262.41	seedling88	pNRT2.1:LUC	1mM	plate11
9	pNRT2.1_LUC_1mM_N3_luc.tif:0285-0416	1784	281.513	502219	281	502219	222.203	background	pNRT2.1:LUC	1mM	plate11
10	pNRT2.1_LUC_1mM_N3_luc.tif:0280-0264	1715	281.141	482156	281	482156	213.97	background	pNRT2.1:LUC	1mM	plate11
11	pNRT2.1_LUC_1mM_N3_luc.tif:0281-0189	1740	281.243	489363	281	489363	216.166	background	pNRT2.1:LUC	1mM	plate11
1	pNRT2.1_LUC_1mM_N4_luc.tif:0148-0081	1909	381.211	727732	325	727732	237.516	seedling89	pNRT2.1:LUC	1mM	plate12
2	pNRT2.1_LUC_1mM_N4_luc.tif:0142-0149	1863	352.026	655824	321	655824	231.901	seedling90	pNRT2.1:LUC	1mM	plate12
3	pNRT2.1_LUC_1mM_N4_luc.tif:0162-0202	2178	373.762	814053	337	814053	271.766	seedling91	pNRT2.1:LUC	1mM	plate12
4	pNRT2.1_LUC_1mM_N4_luc.tif:0157-0238	2151	373.545	803495	332	803495	269.142	seedling92	pNRT2.1:LUC	1mM	plate12
5	pNRT2.1_LUC_1mM_N4_luc.tif:0147-0297	1910	358.581	684890	329	684890	237.899	seedling93	pNRT2.1:LUC	1mM	plate12
6	pNRT2.1_LUC_1mM_N4_luc.tif:0148-0350	2152	389.746	838734	347	838734	269.257	seedling94	pNRT2.1:LUC	1mM	plate12
7	pNRT2.1_LUC_1mM_N4_luc.tif:0129-0390	1658	347.98	576951	322	576951	206.886	seedling95	pNRT2.1:LUC	1mM	plate12
8	pNRT2.1_LUC_1mM_N4_luc.tif:0153-0430	1998	357.954	715192	323	715192	248.894	seedling96	pNRT2.1:LUC	1mM	plate12
9	pNRT2.1_LUC_1mM_N4_luc.tif:0302-0120	1431	280.63	401582	281	401582	177.931	background	pNRT2.1:LUC	1mM	plate12
10	pNRT2.1_LUC_1mM_N4_luc.tif:0296-0181	1436	281.376	404056	281	404056	178.282	background	pNRT2.1:LUC	1mM	plate12
11	pNRT2.1_LUC_1mM_N4_luc.tif:0295-0276	1514	281.964	426894	282	426894	188.437	background	pNRT2.1:LUC	1mM	plate12
1	pNRT2.1_LUC_10mM_N2_luc-1.tif:0123-0045	1614	324.393	523570	293	523570	200.932	seedling103	pNRT2.1:LUC	10mM	plate14
2	pNRT2.1_LUC_10mM_N2_luc-1.tif:0169-0157	2406	328.55	790491	293	790491	300.071	seedling104	pNRT2.1:LUC	10mM	plate14
3	pNRT2.1_LUC_10mM_N2_luc-1.tif:0168-0213	2407	336.018	808795	300	808795	299.829	seedling105	pNRT2.1:LUC	10mM	plate14
4	pNRT2.1_LUC_10mM_N2_luc-1.tif:0169-0291	2465	329.385	811933	299	811933	308.195	seedling106	pNRT2.1:LUC	10mM	plate14
5	pNRT2.1_LUC_10mM_N2_luc-1.tif:0140-0344	2038	330.629	673822	297	673822	254.1	seedling107	pNRT2.1:LUC	10mM	plate14
6	pNRT2.1_LUC_10mM_N2_luc-1.tif:0161-0383	2337	338.053	790030	304	790030	291.353	seedling108	pNRT2.1:LUC	10mM	plate14
7	pNRT2.1_LUC_10mM_N2_luc-1.tif:0153-0446	2136	319.634	682738	292	682738	265.639	seedling109	pNRT2.1:LUC	10mM	plate14
8	pNRT2.1_LUC_10mM_N2_luc-1.tif:0268-0420	1685	280.372	472426	280	472426	209.67	background	pNRT2.1:LUC	10mM	plate14
9	pNRT2.1_LUC_10mM_N2_luc-1.tif:0252-0260	1977	280.673	554890	281	554890	246.153	background	pNRT2.1:LUC	10mM	plate14
10	pNRT2.1_LUC_10mM_N2_luc-1.tif:0272-0125	1690	279.42	472219	279	472219	210.255	background	pNRT2.1:LUC	10mM	plate14
1	pNRT2.1_LUC_10mM_N3_luc.tif:0172-0013	2048	300.526	615477	282	615477	254.915	seedling110	pNRT2.1:LUC	10mM	plate15
2	pNRT2.1_LUC_10mM_N3_luc.tif:0176-0062	2190	317.5	695326	289	695326	272.694	seedling111	pNRT2.1:LUC	10mM	plate15
3	pNRT2.1_LUC_10mM_N3_luc.tif:0159-0128	1977	308.852	610600	286	610600	246.209	seedling112	pNRT2.1:LUC	10mM	plate15
4	pNRT2.1_LUC_10mM_N3_luc.tif:0172-0178	2375	318.872	757322	292	757322	296.245	seedling113	pNRT2.1:LUC	10mM	plate15
5	pNRT2.1_LUC_10mM_N3_luc.tif:0170-0248	2259	331.373	748572	297	748572	282.375	seedling114	pNRT2.1:LUC	10mM	plate15
6	pNRT2.1_LUC_10mM_N3_luc.tif:0197-0333	2453	350.344	859395	305	859395	305.379	seedling115	pNRT2.1:LUC	10mM	plate15
7	pNRT2.1_LUC_10mM_N3_luc.tif:0161-0386	2232	313.837	700484	293	700484	278.402	seedling116	pNRT2.1:LUC	10mM	plate15
8	pNRT2.1_LUC_10mM_N3_luc.tif:0160-0437	2011	358.318	720578	315	720578	250.315	seedling117	pNRT2.1:LUC	10mM	plate15
9	pNRT2.1_LUC_10mM_N3_luc.tif:0344-0297	1952	279.859	546284	280	546284	243.097	background	pNRT2.1:LUC	10mM	plate15
10	pNRT2.1_LUC_10mM_N3_luc.tif:0348-0226	2163	279.565	604699	280	604699	269.573	background	pNRT2.1:LUC	10mM	plate15
11	pNRT2.1_LUC_10mM_N3_luc.tif:0357-0116	1971	279.003	549914	279	549914	245.215	background	pNRT2.1:LUC	10mM	plate15
1	pNRT2.1_LUC_10mM_N4_luc.tif:0161-0045	2087	317.94	663541	291	663541	260.019	seedling118	pNRT2.1:LUC	10mM	plate16
2	pNRT2.1_LUC_10mM_N4_luc.tif:0163-0104	2192	327.913	718786	295	718786	273.329	seedling119	pNRT2.1:LUC	10mM	plate16
3	pNRT2.1_LUC_10mM_N4_luc.tif:0158-0149	2036	334.92	681897	298	681897	254.285	seedling120	pNRT2.1:LUC	10mM	plate16
4	pNRT2.1_LUC_10mM_N4_luc.tif:0148-0207	2023	313.931	635082	293	635082	251.704	seedling121	pNRT2.1:LUC	10mM	plate16
5	pNRT2.1_LUC_10mM_N4_luc.tif:0161-0264	2279	336.372	766592	296	766592	283.857	seedling122	pNRT2.1:LUC	10mM	plate16
6	pNRT2.1_LUC_10mM_N4_luc.tif:0152-0334	2049	317.765	651101	292	651101	255.295	seedling123	pNRT2.1:LUC	10mM	plate16
7	pNRT2.1_LUC_10mM_N4_luc.tif:0158-0393	2174	337.822	734424	307	734424	270.826	seedling124	pNRT2.1:LUC	10mM	plate16
8	pNRT2.1_LUC_10mM_N4_luc.tif:0164-0447	2242	326.892	732892	293	732892	279.188	seedling125	pNRT2.1:LUC	10mM	plate16
9	pNRT2.1_LUC_10mM_N4_luc.tif:0317-0422	1887	280.208	528752	280	528752	235.399	background	pNRT2.1:LUC	10mM	plate16
10	pNRT2.1_LUC_10mM_N4_luc.tif:0304-0364	2187	280.465	613378	281	613378	272.262	background	pNRT2.1:LUC	10mM	plate16
11	pNRT2.1_LUC_10mM_N4_luc.tif:0305-0304	1979	280.112	554342	280	554342	246.383	background	pNRT2.1:LUC	10mM	plate16
