number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	pNRT21_LUC_1mM_N1_luc.tif:0191-0042	2211	322.729	713553	295	713553	275.79	seedling65	pNRT2.1:LUC	1mM	plate9
2	pNRT21_LUC_1mM_N1_luc.tif:0200-0085	2343	319.558	748724	296	748724	292.002	seedling66	pNRT2.1:LUC	1mM	plate9
3	pNRT21_LUC_1mM_N1_luc.tif:0208-0146	2564	339.756	871134	313	871134	320.104	seedling67	pNRT2.1:LUC	1mM	plate9
4	pNRT21_LUC_1mM_N1_luc.tif:0242-0220	3019	366.391	1106135	330	1106135	376.211	seedling68	pNRT2.1:LUC	1mM	plate9
5	pNRT21_LUC_1mM_N1_luc.tif:0239-0283	3023	355.625	1075054	320	1075054	376.876	seedling69	pNRT2.1:LUC	1mM	plate9
6	pNRT21_LUC_1mM_N1_luc.tif:0233-0334	2954	358.502	1059015	326	1059015	369.403	seedling70	pNRT2.1:LUC	1mM	plate9
7	pNRT21_LUC_1mM_N1_luc.tif:0364-0246	1767	281.39	497217	281	497217	219.629	background	pNRT2.1:LUC	1mM	plate9
8	pNRT21_LUC_1mM_N1_luc.tif:0382-0359	1797	281.57	505981	282	505981	223.282	background	pNRT2.1:LUC	1mM	plate9
9	pNRT21_LUC_1mM_N1_luc.tif:0377-0117	1861	279.642	520414	280	520414	231.66	background	pNRT2.1:LUC	1mM	plate9
1	pNRT21_LUC_1mM_N2_luc.tif:0252-0050	2777	355.583	987455	322	987455	346.673	seedling73	pNRT2.1:LUC	1mM	plate10
2	pNRT21_LUC_1mM_N2_luc.tif:0234-0118	2713	331.202	898552	304	898552	338.154	seedling74	pNRT2.1:LUC	1mM	plate10
3	pNRT21_LUC_1mM_N2_luc.tif:0233-0181	2867	349.783	1002829	316	1002829	358.498	seedling75	pNRT2.1:LUC	1mM	plate10
4	pNRT21_LUC_1mM_N2_luc.tif:0247-0238	2887	371.995	1073950	333	1073950	360.941	seedling76	pNRT2.1:LUC	1mM	plate10
5	pNRT21_LUC_1mM_N2_luc.tif:0239-0304	2897	373.146	1081003	335	1081003	361.085	seedling77	pNRT2.1:LUC	1mM	plate10
6	pNRT21_LUC_1mM_N2_luc.tif:0207-0347	2439	338.259	825013	313	825013	303.904	seedling78	pNRT2.1:LUC	1mM	plate10
7	pNRT21_LUC_1mM_N2_luc.tif:0230-0402	2921	346.007	1010685	311	1010685	365.667	seedling79	pNRT2.1:LUC	1mM	plate10
8	pNRT21_LUC_1mM_N2_luc.tif:0254-0437	3128	357.536	1118373	323	1118373	390.31	seedling80	pNRT2.1:LUC	1mM	plate10
9	pNRT21_LUC_1mM_N2_luc.tif:0374-0378	1934	281.74	544886	282	544886	240.355	background	pNRT2.1:LUC	1mM	plate10
10	pNRT21_LUC_1mM_N2_luc.tif:0378-0277	2127	281.743	599268	282	599268	264.649	background	pNRT2.1:LUC	1mM	plate10
11	pNRT21_LUC_1mM_N2_luc.tif:0380-0088	1920	279.796	537209	280	537209	238.926	background	pNRT2.1:LUC	1mM	plate10
1	pNRT21_LUC_1mM_N3_luc.tif:0254-0072	2947	331.757	977687	300	977687	368.054	seedling81	pNRT2.1:LUC	1mM	plate11
2	pNRT21_LUC_1mM_N3_luc.tif:0251-0103	3018	347.139	1047665	313	1047665	377.715	seedling82	pNRT2.1:LUC	1mM	plate11
3	pNRT21_LUC_1mM_N3_luc.tif:0230-0154	2709	345.891	937020	316	937020	338.041	seedling83	pNRT2.1:LUC	1mM	plate11
4	pNRT21_LUC_1mM_N3_luc.tif:0234-0215	2793	334.017	932910	308	932910	348.986	seedling84	pNRT2.1:LUC	1mM	plate11
5	pNRT21_LUC_1mM_N3_luc.tif:0207-0273	2322	314.666	730654	299	730654	289.619	seedling85	pNRT2.1:LUC	1mM	plate11
6	pNRT21_LUC_1mM_N3_luc.tif:0219-0323	2454	325.949	799879	306	799879	305.298	seedling86	pNRT2.1:LUC	1mM	plate11
7	pNRT21_LUC_1mM_N3_luc.tif:0254-0367	3054	351.051	1072110	318	1072110	380.926	seedling87	pNRT2.1:LUC	1mM	plate11
8	pNRT21_LUC_1mM_N3_luc.tif:0252-0436	2908	365.809	1063772	338	1063772	363.665	seedling88	pNRT2.1:LUC	1mM	plate11
9	pNRT21_LUC_1mM_N3_luc.tif:0374-0247	1826	280.128	511513	280	511513	227.613	background	pNRT2.1:LUC	1mM	plate11
10	pNRT21_LUC_1mM_N3_luc.tif:0386-0394	1806	280.821	507163	281	507163	224.185	background	pNRT2.1:LUC	1mM	plate11
11	pNRT21_LUC_1mM_N3_luc.tif:0384-0191	1773	280.164	496731	280	496731	220.258	background	pNRT2.1:LUC	1mM	plate11
1	pNRT21_LUC_1mM_N4_luc.tif:0243-0081	2713	367.797	997834	327	997834	339.432	seedling89	pNRT2.1:LUC	1mM	plate12
2	pNRT21_LUC_1mM_N4_luc.tif:0233-0147	2601	338.908	881500	311	881500	324.418	seedling90	pNRT2.1:LUC	1mM	plate12
3	pNRT21_LUC_1mM_N4_luc.tif:0262-0203	3046	343.892	1047494	316	1047494	380.701	seedling91	pNRT2.1:LUC	1mM	plate12
