number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	line59_1mM_plate1_luc.tif:0170-0153	1547	1468.09	2271135	1176	2271135	193.046	seedling1	line59	1mM	plate1
2	line59_1mM_plate1_luc.tif:0176-0207	1529	1323.854	2024173	1119	2024173	190.417	seedling2	line59	1mM	plate1
3	line59_1mM_plate1_luc.tif:0160-0257	1416	1352.334	1914905	1130	1914905	176.016	seedling3	line59	1mM	plate1
4	line59_1mM_plate1_luc.tif:0171-0309	1579	1323.254	2089418	1116	2089418	196.61	seedling4	line59	1mM	plate1
5	line59_1mM_plate1_luc.tif:0152-0361	1251	1260.541	1576937	1097	1576937	155.518	seedling5	line59	1mM	plate1
6	line59_1mM_plate1_luc.tif:0157-0415	1295	1107.312	1433969	1064	1433969	161.626	seedling6	line59	1mM	plate1
7	line59_1mM_plate1_luc.tif:0166-0459	1492	1293.298	1929601	1115	1929601	185.832	seedling7	line59	1mM	plate1
8	line59_1mM_plate1_luc.tif:0178-0521	1660	1484.24	2463839	1185	2463839	206.061	seedling8	line59	1mM	plate1
9	line59_1mM_plate1_luc.tif:0186-0233	1234	1041.639	1285382	1042	1285382	153.508	background	line59	1mM	plate1
10	line59_1mM_plate1_luc.tif:0160-0338	1216	1041.461	1266417	1040	1266417	150.987	background	line59	1mM	plate1
11	line59_1mM_plate1_luc.tif:0192-0489	1349	1041.757	1405330	1041	1405330	168.326	background	line59	1mM	plate1
1	line59_1mM_plate2_luc.tif:0207-0146	1500	1494.707	2242060	1194	2242060	186.532	seedling9	line59	1mM	plate2
2	line59_1mM_plate2_luc.tif:0210-0200	1600	1385.991	2217585	1142	2217585	198.834	seedling10	line59	1mM	plate2
3	line59_1mM_plate2_luc.tif:0213-0239	1653	1419.497	2346428	1142	2346428	205.649	seedling11	line59	1mM	plate2
4	line59_1mM_plate2_luc.tif:0179-0285	1221	1203.13	1469022	1090	1469022	151.592	seedling12	line59	1mM	plate2
5	line59_1mM_plate2_luc.tif:0179-0352	1204	1225.512	1475516	1086	1475516	149.348	seedling13	line59	1mM	plate2
6	line59_1mM_plate2_luc.tif:0202-0420	1586	1342.007	2128423	1114	2128423	196.94	seedling14	line59	1mM	plate2
7	line59_1mM_plate2_luc.tif:0187-0462	1425	1363.644	1943192	1121	1943192	176.833	seedling15	line59	1mM	plate2
8	line59_1mM_plate2_luc.tif:0201-0526	1572	1439.447	2262810	1146	2262810	195.518	seedling16	line59	1mM	plate2
9	line59_1mM_plate2_luc.tif:0205-0222	1535	1050.328	1612254	1050	1612254	190.642	background	line59	1mM	plate2
10	line59_1mM_plate2_luc.tif:0202-0328	1212	1038.791	1259015	1039	1259015	150.444	background	line59	1mM	plate2
11	line59_1mM_plate2_luc.tif:0204-0492	1421	1042.133	1480871	1042	1480871	176.748	background	line59	1mM	plate2
1	line59_1mM_plate3_luc.tif:0181-0181	1452	1290.912	1874404	1107	1874404	180.767	seedling17	line59	1mM	plate3
2	line59_1mM_plate3_luc.tif:0167-0231	1321	1321.148	1745237	1110	1745237	164.26	seedling18	line59	1mM	plate3
3	line59_1mM_plate3_luc.tif:0165-0274	1300	1200.792	1561029	1084	1561029	161.38	seedling19	line59	1mM	plate3
4	line59_1mM_plate3_luc.tif:0195-0332	1739	1541.787	2681167	1171	2681167	216.104	seedling20	line59	1mM	plate3
5	line59_1mM_plate3_luc.tif:0185-0378	1540	1385.155	2133139	1134	2133139	192.168	seedling21	line59	1mM	plate3
6	line59_1mM_plate3_luc.tif:0197-0427	1740	1447.978	2519482	1153	2519482	215.93	seedling22	line59	1mM	plate3
7	line59_1mM_plate3_luc.tif:0188-0474	1641	1436.865	2357896	1161	2357896	204.274	seedling23	line59	1mM	plate3
8	line59_1mM_plate3_luc.tif:0196-0523	1824	1439.86	2626305	1196	2626305	226.259	seedling24	line59	1mM	plate3
9	line59_1mM_plate3_luc.tif:0176-0252	1337	1042.663	1394041	1042	1394041	166.35	background	line59	1mM	plate3
10	line59_1mM_plate3_luc.tif:0215-0352	1458	1049.818	1530635	1050	1530635	181.229	background	line59	1mM	plate3
11	line59_1mM_plate3_luc.tif:0187-0498	1503	1049.26	1577038	1049	1577038	187.425	background	line59	1mM	plate3
1	line59_1mM_plate4_luc.tif:0142-0319	1211	1231.353	1491168	1088	1491168	150.131	seedling25	line59	1mM	plate4
2	line59_1mM_plate4_luc.tif:0157-0382	1446	1402.082	2027411	1126	2027411	179.667	seedling26	line59	1mM	plate4
3	line59_1mM_plate4_luc.tif:0164-0429	1457	1491.367	2172922	1171	2172922	180.926	seedling27	line59	1mM	plate4
4	line59_1mM_plate4_luc.tif:0171-0464	1621	1563.109	2533800	1187	2533800	202.099	seedling28	line59	1mM	plate4
5	line59_1mM_plate4_luc.tif:0170-0520	1596	1430.453	2283003	1166	2283003	198.904	seedling29	line59	1mM	plate4
6	line59_1mM_plate4_luc.tif:0157-0345	1147	1041.488	1194587	1041	1194587	142.31	background	line59	1mM	plate4
7	line59_1mM_plate4_luc.tif:0154-0403	1245	1047.742	1304439	1047	1304439	154.506	background	line59	1mM	plate4
8	line59_1mM_plate4_luc.tif:0174-0541	1346	1040.755	1400856	1041	1400856	167.478	background	line59	1mM	plate4
1	line62_1mM_plate1_luc.tif:0174-0157	1471	1388.043	2041811	1140	2041811	183.109	seedling1	line62	1mM	plate1
2	line62_1mM_plate1_luc.tif:0168-0194	1485	1374.451	2041059	1146	2041059	184.628	seedling2	line62	1mM	plate1
3	line62_1mM_plate1_luc.tif:0170-0260	1396	1215.948	1697464	1086	1697464	173.233	seedling3	line62	1mM	plate1
4	line62_1mM_plate1_luc.tif:0192-0324	1692	1359.011	2299447	1134	2299447	210.635	seedling4	line62	1mM	plate1
5	line62_1mM_plate1_luc.tif:0192-0372	1575	1341.726	2113219	1125	2113219	196.078	seedling5	line62	1mM	plate1
6	line62_1mM_plate1_luc.tif:0194-0467	1627	1362.785	2217251	1145	2217251	202.775	seedling6	line62	1mM	plate1
7	line62_1mM_plate1_luc.tif:0186-0527	1528	1353.445	2068064	1155	2068064	190.496	seedling7	line62	1mM	plate1
8	line62_1mM_plate1_luc.tif:0176-0227	1328	1044.566	1387183	1044	1387183	164.978	background	line62	1mM	plate1
9	line62_1mM_plate1_luc.tif:0219-0349	1307	1047.448	1369014	1047	1369014	162.126	background	line62	1mM	plate1
10	line62_1mM_plate1_luc.tif:0188-0498	1354	1046.277	1416659	1046	1416659	168.792	background	line62	1mM	plate1
1	line62_1mM_plate2_luc.tif:0163-0175	1475	1359.858	2005791	1140	2005791	183.84	seedling8	line62	1mM	plate2
2	line62_1mM_plate2_luc.tif:0158-0229	1456	1489.517	2168737	1177	2168737	182.224	seedling9	line62	1mM	plate2
3	line62_1mM_plate2_luc.tif:0159-0271	1387	1261.954	1750330	1105	1750330	172.974	seedling10	line62	1mM	plate2
4	line62_1mM_plate2_luc.tif:0171-0318	1489	1410.027	2099530	1149	2099530	185.506	seedling11	line62	1mM	plate2
5	line62_1mM_plate2_luc.tif:0183-0380	1679	1523.343	2557693	1170	2557693	209.419	seedling12	line62	1mM	plate2
6	line62_1mM_plate2_luc.tif:0182-0430	1581	1413.35	2234507	1146	2234507	197.058	seedling13	line62	1mM	plate2
7	line62_1mM_plate2_luc.tif:0178-0475	1645	1416.62	2330340	1151	2330340	205.213	seedling14	line62	1mM	plate2
8	line62_1mM_plate2_luc.tif:0164-0552	1391	1299.088	1807032	1104	1807032	173.558	seedling15	line62	1mM	plate2
9	line62_1mM_plate2_luc.tif:0170-0202	1227	1050.942	1289506	1050	1289506	152.487	background	line62	1mM	plate2
10	line62_1mM_plate2_luc.tif:0177-0346	1384	1047.618	1449904	1049	1449904	172.072	background	line62	1mM	plate2
11	line62_1mM_plate2_luc.tif:0194-0510	1389	1040.213	1444856	1039	1444856	172.978	background	line62	1mM	plate2
