"id"	"label"	"degree"	"community"	"group"	"gene_type"	"description"
"AT2G40750"	"WRKY54"	132	1	1	"Regulator"	"member of WRKY Transcription Factor"
"AT3G56400"	"WRKY70"	98	1	1	"Regulator"	"Member of WRKY Transcription Factor"
"AT2G17040"	"NAC036"	62	1	1	"Regulator"	"Member of the NAC transcription factor family and more specifically, the ONAC022 subfamily. Involved in leaf and inflorescence stem morphogenesis. The mRNA is cell-to-cell mobile."
"mean_AT1G80840-AT2G38470"	"mean_WRKY40-WRKY33"	32	2	2	"Grouped Regulators"	NA
"AT2G43010"	"PIF4"	9	3	3	"Regulator"	"Isolated as a semidominant mutation defective in red -light responses. Encodes a nuclear localized  bHLH protein that interacts with active PhyB protein. Negatively regulates phyB mediated red light responses. Involved in shade avoidance response. Protein abundance is negatively regulated by PhyB.Involved in the regulation of response to nutrient levels."
"AT1G01720"	"ATAF1"	37	4	4	"Regulator"	"Belongs to a large family of putative transcriptional activators with NAC domain. Transcript level increases in response to wounding and abscisic acid. ATAF1 attentuates ABA signaling and sythesis. Mutants are hyposensitive to ABA. The mRNA is cell-to-cell mobile."
"AT1G18570"	"MYB51"	40	2	2	"Regulator"	"Encodes a member of the R2R3-MYB transcription family. Involved in indole glucosinolate biosynthesis. The mRNA is cell-to-cell mobile."
"AT1G68200"	"CDM1"	11	4	4	"Regulator"	"Zinc finger C-x8-C-x5-C-x3-H type family protein"
"AT2G46400"	"WRKY46"	63	1	1	"Regulator"	"Encodes a WRKY transcription factor that contributes to the feedforward inhibition of osmotic/salt stress-dependent LR inhibition via regulation of ABA signaling and auxin   homeostasis."
"AT2G18328"	"RL4"	13	5	5	"Regulator"	"RAD-like 4"
"AT2G40340"	"DREB2C"	66	6	6	"Regulator"	"Encodes a member of the DREB subfamily A-2 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are eight members in this subfamily including DREB2A AND DREB2B that are involved in response to drought."
"AT2G18300"	"HBI1"	12	7	7	"Regulator"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"AT5G07690"	"MYB29"	16	8	8	"Regulator"	"Encodes a putative transcription factor (MYB29) that acts as a negative regulator of mitochondrial stress responses."
"AT5G45110"	"NPR3"	21	1	1	"Regulator"	"Encodes NPR3, a paralog of NPR1.  Involved in negative regulation of defense responses against bacterial and oomycete pathogens.  npr3 mutants has elevated level of PR1 expression.  Interacts with TGA2, TGA3, TGA5 and TGA6 in yeast two hybrid assays. NPR3 and NPR4 are receptors for the immune signal salicylic acid. The mRNA is cell-to-cell mobile."
"AT2G42380"	"BZIP34"	14	1	1	"Regulator"	"Encodes a member of the BZIP family of transcription factors. Forms heterodimers with the related protein AtbZIP61. Binds to G-boxes in vitro and is localized to the nucleus in onion epidermal cells."
"AT1G28370"	"ERF11"	5	9	9	"Regulator"	"encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and leafy petiole."
"AT1G68880"	"BZIP"	5	2	2	"Regulator"	"basic leucine-zipper 8"
"AT1G72030"	"AT1G72030"	11	10	10	"Regulator"	"Acyl-CoA N-acyltransferases (NAT) superfamily protein"
"AT5G19790"	"RAP2.11"	20	4	4	"Regulator"	"encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family (RAP2.11). The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11."
"AT5G67480"	"BT4"	11	11	11	"Regulator"	"BTB and TAZ domain protein. Located in cytoplasm and expressed in fruit, flower and leaves."
"AT1G79700"	"WRI4"	44	11	11	"Regulator"	"WRI4 encodes an AP2/ERF-type transcriptional activator that specifically controls cuticular wax biosynthesis in Arabidopsis stems. It also functions to activate transcription of genes involved fatty acid biosynthesis during seed and flower development as well as stem wax biosynthesis. Targets identified by ChIP-seq include: LACS1, KCR1, PAS2, ECR, and WSD1."
"AT2G36050"	"OFP15"	13	12	12	"Regulator"	"ovate family protein 15"
"AT1G70700"	"TIFY7"	4	13	13	"Regulator"	"JAZ9 is a protein presumed to be involved in jasmonate signaling. JAZ9 transcript levels rise in response to a jasmonate stimulus. JAZ9 can interact with the COI1 F-box subunit of an SCF E3 ubiquitin ligase in a yeast-two-hybrid assay only in the presence of jasmonate-isoleucine (JA-ILE) or coronatine. The Jas domain appears to be important for JAZ9-COI1 interactions in the presence of coronatine. Two positive residues (R205 and R206) in the Jas domain shown to be important for coronatine -dependent COI1 binding are not required for binding AtMYC2. The mRNA is cell-to-cell mobile."
"AT3G19184"	"AT3G19184"	15	14	14	"Regulator"	"AP2/B3-like transcriptional factor family protein"
"AT5G07580"	"ERF106"	6	14	14	"Regulator"	"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"AT2G20180"	"PIL5"	17	12	12	"Regulator"	"Encodes a novel Myc-related bHLH transcription factor that has transcriptional activation activity in the dark.  It is a key negative regulator of phytochrome-mediated seed germination and acts by inhibiting chlorophyll biosynthesis, light-mediated suppression of hypocotyl elongation and far-red light-mediated suppression of seed germination, and promoting negative gravitropism in hypocotyls.  Light reduces this activity in a phy-dependent manner.  The protein preferentially interacts with the Pfr forms of Phytochrome A (PhyA) and Phytochrome B (PhyB), is physically associated with APRR1/TOC1 and is degraded in red (R) and far-red (FR) light through the ubiquitin (ub)-26S proteasome pathway to optimize photomorphogenic development in Arabidopsis.  It also negatively regulates GA3 oxidase expression."
"AT1G18330"	"EPR1"	32	1	1	"Regulator"	"EARLY-PHYTOCHROME-RESPONSIVE1"
"AT3G27700"	"AT3G27700"	28	15	15	"Regulator"	"zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein"
"AT4G06746"	"RAP2.9"	7	5	5	"Regulator"	"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family (RAP2.9). The protein contains one AP2 domain. There are 16 members in this subfamily including RAP2.1 and RAP2.10."
"AT4G22950"	"AGL19"	19	10	10	"Regulator"	"MADS-box protein AGL19"
"mean_AT4G37610-AT5G49450-AT4G27410-AT1G68840-AT1G25560-AT1G71030-AT5G17300-AT5G28770-AT3G29035"	"mean_BT5-BZIP1-RD26-RAV2-TEM1-MYBL2-RVE1-BZO2H3-NAC3"	81	11	11	"Grouped Regulators"	NA
"AT1G32700"	"AT1G32700"	7	2	2	"Regulator"	"PLATZ transcription factor family protein"
"AT1G19050"	"ARR7"	7	16	16	"Regulator"	"Encodes a member of the Arabidopsis response regulator (ARR) family, most closely related to ARR15. A two-component response regulator protein containing a phosphate accepting domain in the receiver domain but lacking a DNA binding domain in the output domain. Involved in response to cytokinin and meristem stem cell maintenance. Arr7 protein is stabilized by cytokinin."
"AT2G46810"	"MYC70"	21	4	4	"Regulator"	"MYC-type transcription factor which interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance."
"AT3G56980"	"BHLH39"	12	10	10	"Regulator"	"Encodes a member of the basic helix-loop-helix transcription factor protein."
"AT1G66470"	"RHD6"	28	6	6	"Regulator"	"ROOT HAIR DEFECTIVE6"
"AT3G15500"	"NAC3"	18	2	2	"Regulator"	"Encodes an ATAF-like NAC-domain transcription factor that doesn't contain C-terminal sequences shared by CUC1, CUC2 and NAM. Note: this protein (AtNAC3) is not to be confused with the protein encoded by locus AT3G29035, which, on occasion, has also been referred to as AtNAC3. The mRNA is cell-to-cell mobile."
"AT4G00050"	"UNE10"	22	6	6	"Regulator"	"Encodes a phytochrome interacting factor that    inhibits phytochrome A-mediated far-red light responses and binds to promoter regions of AT2G46970 and AT3G62090."
"AT3G01600"	"NAC044"	6	16	16	"Regulator"	"NAC domain containing protein 44"
"AT5G07100"	"WRKY26"	9	5	5	"Regulator"	"Encodes WRKY DNA-binding protein 26 (WRKY26)."
"AT3G04070"	"NAC047"	3	7	7	"Regulator"	"NAC domain containing protein 47"
"AT5G04340"	"ZAT6"	11	5	5	"Regulator"	"Encodes a C2H2 zinc finger transcription factor that coordinately activates phytochelatin-synthesis related gene expression and directly targets GSH1 by binding to its promoter to positively regulate Cd accumulation and tolerance."
"AT4G37540"	"LBD39"	52	11	11	"Regulator"	"LOB domain-containing protein 39"
"AT5G63160"	"BT1"	18	11	11	"Regulator"	"BTB and TAZ domain protein. Short-lived nuclear-cytoplasmic protein targeted for degradation by the 26S proteosome pathway. Acts redundantly with BT2 and BT3 during female gametophyte development."
"AT5G08790"	"ATAF2"	17	16	16	"Regulator"	"induced by wounding, belongs to a large family of putative transcriptional activators with NAC domain."
"AT2G28510"	"DOF2.1"	6	10	10	"Regulator"	"DOF transcription factor with a conserved zinc finger (ZF) DNA-binding domain."
"mean_AT1G75490-AT2G25900-AT1G13260-AT5G61600-AT3G46600-AT2G19810-AT1G76590-AT5G47390-AT5G43700"	"mean_NA-ATCTH-RAV1-ERF104-AT3G46600-OZF1-AT1G76590-MYBH-ATAUX2-11"	89	11	11	"Grouped Regulators"	NA
"AT2G40200"	"AT2G40200"	13	4	4	"Regulator"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"AT3G53680"	"AT3G53680"	10	15	15	"Regulator"	"Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain-containing protein"
"AT2G47460"	"MYB12"	12	3	3	"Regulator"	"\"MYB12 belongs to subgroup 7 of the R2R3-MYB family. It strongly activates the promoters of chalcone synthase (CHS), flavanone 3-hydroxylase (F3H), flavonol synthase (FLS) and - to a lesser extent - chalcone flavanone isomerase (CHI), but cannot activate the promoters of flavonoid-3'hydroxylase (F3'H) and dihydroflavonol 4-reductase (DF). The activation requires a functional MYB recognition element (MRE). Results from the myb12-1f allele indicate that an activation domain might be present in the C-terminus. Overexpression or knock-out plants do not show any obvious phenotype under greenhouse conditions. Young myb12-ko seedlings contain reduced amounts of flavonoids (quercetin and kaempferol), while seedlings as well as leaves of MYB12-OX plants displayed an increased flavonoid content. They did not show any significant difference in anthocyanin content. Expression of CHS and FLS shows a clear correlation to MYB12 expression levels. CHI and F3H show increased transcript levels in the MYB12-OX lines, but no differences in the knock-out. Even in the absence of functional MYB12, flavonol biosynthesis is not completely absent, suggesting functional redundancy. \" The redundant factors are MYB11 and MYB111 although MYB12 is primarily required for flavonol biosynthesis in roots. Mutations in MYB12 block both auxin and ethylene stimulation of flavonoid synthesis."
"AT3G23030"	"IAA2"	8	2	2	"Regulator"	"auxin inducible gene expressed in the nucleus"
"AT4G24540"	"AGL24"	6	5	5	"Regulator"	"Encodes a MADS-box protein involved in flowering. Regulates the expression of SOC1 and is also upregulated by SOC1. Binds with IMK3 kinase domain. Phosphorylated by IMK3"
"mean_AT3G02550-AT3G48360-AT1G68520-AT1G25550-AT4G37260-AT4G29190-AT4G36540-AT5G67420-AT1G68670-AT5G46710-AT3G47500"	"mean_LBD41-BT2-BBX14-HHO3-MYB73-OZF2-BEE2-LBD37-HHO2-AT5G46710-CDF3"	101	11	11	"Grouped Regulators"	NA
"AT5G66940"	"ATDOF5.8"	21	9	9	"Regulator"	"Encodes a nuclear localized DOF-domain binding transcription factor."
"AT5G05410"	"DREB2A"	31	6	6	"Regulator"	"Encodes a transcription factor that specifically binds to DRE/CRT cis elements (responsive to drought and low-temperature stress).  Belongs to the DREB subfamily A-2 of ERF/AP2 transcription factor family (DREB2A). There are eight members in this subfamily including DREB2B.  The protein contains one AP2 domain. Overexpression of transcriptional activation domain of DREB2A resulted in significant drought stress tolerance but only slight freezing tolerance in transgenic Arabidopsis plants. Microarray and RNA gel blot analyses revealed that DREB2A regulates expression of many water stress-inducible genes. The mRNA is cell-to-cell mobile."
"AT5G28300"	"GT2L"	3	7	7	"Regulator"	"Encodes a Ca(2+)-dependent CaM-binding protein. AtGT2L specifically targets the nucleus and possesses both transcriptional activation and DNA-binding abilities, implicating its function as a nuclear transcription factor."
"AT5G63790"	"NAC102"	51	6	6	"Regulator"	"Encodes a member of the NAC family of transcription factors. ANAC102 appears to have a role in mediating response to low oxygen stress (hypoxia) in germinating seedlings.  Its expression can be induced by beta-cyclocitral, an oxidized   by-product of beta-carotene generated in the chloroplasts, mediates a protective retrograde response that lowers the levels of toxic peroxides and carbonyls, limiting damage to intracellular components."
"AT3G01970"	"WRKY45"	2	9	9	"Regulator"	"member of WRKY Transcription Factor"
"AT5G06510"	"NF-YA10"	4	17	17	"Regulator"	"nuclear factor Y, subunit A10"
"AT1G46480"	"WOX4"	10	15	15	"Regulator"	"Encodes WOX4, a WUSCHEL-related homeobox gene family member with 65 amino acids in its homeodomain. Proteins in this family contain a sequence of eight residues (TLPLFPMH) downstream of the homeodomain called the WUS box. This protein also contains an acidic domain approximately 10 residues upstream of the WUS box. Part of the TDIF-TDR-WOX4 signaling pathway that plays a crucial role in the maintenance of the vascular meristem organization during secondary growth. WOX4 and WOX14 act downstream of the PXY receptor kinase to regulate plant vascular proliferation independently of any role in vascular organisation."
"AT5G61590"	"DEWAX"	24	11	11	"Regulator"	"Encodes an AP2/ERF-type transcription factor that is preferentially expressed in the epidermis and induced by darkness and negatively regulates cuticular wax biosynthesis."
"AT2G05160"	"AT2G05160"	11	18	18	"Regulator"	"CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein"
"AT4G37180"	"UIF1"	3	13	13	"Regulator"	"UIF1 is a nuclear and cytoplasmically localized myb-domain containing member of the GARP G2-like subfamily of transcription factors. Interacts with ULT1 and binds to the WUS promoter. UIF1 binding domains are also found in CUC and AG promoters suggesting they are also direct targets.  This locus was also identified as a putative cytoskeletal protein in a yeast screen."
"AT1G49130"	"BBX17"	20	7	7	"Regulator"	"Regulated by heat shock."
"AT5G15840"	"CO"	5	2	2	"Regulator"	"Encodes a protein showing similarities to zinc finger transcription factors, involved in regulation of flowering under long days. Acts upstream of FT and SOC1."
"AT1G10470"	"ARR4"	2	19	19	"Regulator"	"Encodes a two-component response regulator. Acts redundantly with ARR3 in the control of circadian period in a cytokinin-independent manner."
"AT3G46090"	"ZAT7"	33	1	1	"Regulator"	"C2H2 and C2HC zinc fingers superfamily protein"
"AT1G25440"	"BBX15"	11	15	15	"Regulator"	"B-box type zinc finger protein with CCT domain-containing protein"
"AT3G61950"	"MYC67"	10	14	14	"Regulator"	"MYC-type transcription factor which interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance."
"AT5G51190"	"ERF105"	13	2	2	"Regulator"	"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5. Involved in regulating root architecture and the response to cold stress."
"AT4G18170"	"WRKY28"	2	7	7	"Regulator"	"Member of WRKY Transcription Factor"
"AT4G17500"	"ERF-1"	19	11	11	"Regulator"	"Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-1). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5. The mRNA is cell-to-cell mobile."
"AT3G27940"	"LBD26"	6	4	4	"Regulator"	"LOB domain-containing protein 26"
"AT2G46130"	"WRKY43"	3	7	7	"Regulator"	"member of WRKY Transcription Factor"
"AT5G57620"	"MYB36"	11	9	9	"Regulator"	"MYB36 is a transcriptional regulator that acts to promote differentiation of the endodermis during root development. It promotes the development the Casparian band in part by regulating the expression of genes involved in localizing lignin biosynthetic machinery to the Casparian band. MYB36 binds to and regulates the expression of factors involved in producing the Casparian band including  CASP1, PER64, and ESB1."
"AT4G11070"	"WRKY41"	14	4	4	"Regulator"	"member of WRKY Transcription Factor"
"AT4G32800"	"ERF043"	12	7	7	"Regulator"	"encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY."
"AT5G44260"	"TZF5"	25	2	2	"Regulator"	"Encodes a Tandem CCCH Zinc Finger protein. Interacts and co-localizes with MARD1 and RD21A in processing bodies (PBs) and stress granules (SGs)."
"AT5G39760"	"HB23"	12	6	6	"Regulator"	"Functions together with TZP in co-regulation of the expression of blue-light dependent transcriptional regulators. Coassociates with and regulates the expression of light-regulated loci as well as transcriptional regulators to shape plant development in response to environmental stimuli with targets in RNA processing factors as well as proteins involved in salt stress and ABA signaling, in addition to embryo development. Acts downstream of TZP action with regard to blue-light-regulated hypocotyl elongation."
"mean_AT4G17490-AT3G50060-AT3G55980"	"mean_ERF6-MYB77-SZF1"	24	2	2	"Grouped Regulators"	NA
"AT1G02220"	"NAC003"	19	6	6	"Regulator"	"NAC domain transcription factor which functions as a negative regulator of the TDIF-PXY module and fine-tunes TDIF signaling in vascular development. Controls the balance of xylem formation and cambial cell divisions."
"AT2G23320"	"WRKY15"	10	16	16	"Regulator"	"Encodes WRKY DNA-binding protein 15 (WRKY15)."
"AT3G59060"	"PIL6"	16	11	11	"Regulator"	"Encodes a novel Myc-related bHLH transcription factor, which physically associated with APRR1/TOC1 and is a member of PIF3 transcription factor family. Involved in shade avoidance. Functions as negative regulator of PhyB. Protein levels are modulated by phytochrome B."
"AT1G71692"	"AGL12"	3	19	19	"Regulator"	"Encodes a member of the MADS box family of transcription factors. Involved in root cell differentiation and flowering time. Loss of function mutations have abnormal cellular differentiation in the roots and are late flowering. AGL12 along with AGL14, and AGL17 is preferentially expressed in root tissues and represent the only characterized MADS box genes expressed in roots."
"AT5G62920"	"ARR6"	13	18	18	"Regulator"	"Encodes a Type-A response regulator that is responsive to cytokinin treatment.  Its C-ter domain is very short in comparison to other Arabidopsis ARRs (17 total). Arr6 protein is stabilized by cytokinin."
"AT5G13220"	"JAZ10"	9	13	13	"Regulator"	"Encodes JAZ10, a member of the JASMONATE ZIM-domain (JAZ) proteins acting as repressors of jasmonate (JA) signaling. An alternatively spliced form (JAZ10.4) of JAZ10 lacks the Jas domain."
"AT2G20570"	"GPRI1"	9	10	10	"Regulator"	"Encodes GLK1, Golden2-like 1, one of a pair of partially redundant nuclear transcription factors that regulate chloroplast development in a cell-autonomous manner. GLK2, Golden2-like 2, is encoded by At5g44190. GLK1 and GLK2 regulate the expression of the photosynthetic apparatus."
"AT2G40670"	"RR16"	8	5	5	"Regulator"	"response regulator 16"
"AT3G06160"	"AT3G06160"	3	2	2	"Regulator"	"AP2/B3-like transcriptional factor family protein"
"AT2G28500"	"LBD11"	4	14	14	"Regulator"	"LOB domain-containing protein 11"
"AT2G40140"	"CZF1"	16	2	2	"Regulator"	"zinc finger (CCCH-type) family protein"
"AT3G47620"	"TCP"	3	13	13	"Regulator"	"Encodes a transcription factor AtTCP14 that regulates seed germination.  AtTCP14 shows elevated expression level just prior to germination.  AtTCP14 is predominantly expressed in the vascular tissue of the embryo, and affects gene expression in radicles in a non-cell-autonomous manner. Modulates GA-dependent stamen filament elongation by direct activation of SAUR63 subfamily genes through conserved target sites in their promoters."
"AT1G27730"	"STZ"	4	13	13	"Regulator"	"Related to Cys2/His2-type zinc-finger proteins found in higher plants. Compensated for a subset of calcineurin deficiency in yeast. Salt tolerance produced by ZAT10 appeared to be partially dependent on ENA1/PMR2, a P-type ATPase required for Li+ and Na+ efflux in yeast. The protein is localized to the nucleus, acts as a transcriptional repressor and is responsive to chitin oligomers. Also involved in response to photooxidative stress."
"AT5G65080"	"MAF5"	10	8	8	"Regulator"	"Is upregulated during vernalization and regulates flowering time. Encodes MADS-domain protein. Two variants encoding proteins of 198 and 184 amino acids have been reported."
"AT3G07650"	"COL9"	11	2	2	"Regulator"	"This gene belongs to the CO (CONSTANS) gene family. This gene family is divided in three subgroups: groups III, to which COL9 belongs, is characterised by one B-box (supposed to regulate protein-protein interactions) and a second diverged zinc finger. COL9 downregulates expression of CO (CONSTANS) as well as FT and SOC1 which are known regulatory targets of CO. The mRNA is cell-to-cell mobile."
"AT5G53420"	"CCT101"	6	9	9	"Regulator"	"Member of ASML2 family of CCT domain proteins.There is a preferential accumulation of RNA isoforms CCT101.1 and CCT101.2 in response to N-treatment, each isoform has different targets."
"AT5G37260"	"RVE2"	13	12	12	"Regulator"	"Encodes a MYB family transcription factor Circadian 1 (CIR1).  Involved in circadian regulation in Arabidopsis."
"AT1G78600"	"LZF1"	23	6	6	"Regulator"	"light-regulated zinc finger protein 1"
"AT2G32100"	"OFP16"	11	15	15	"Regulator"	"ovate family protein 16"
"AT5G39610"	"NAC6"	7	2	2	"Regulator"	"Encodes a NAC-domain transcription factor. Positively regulates aging-induced cell death and senescence in leaves.  This gene is upregulated in response to salt stress in wildtype as well as NTHK1 transgenic lines although in the latter case the induction was drastically reduced. It was also upregulated by ABA, ACC and NAA treatment, although in the latter two cases, the induction occurred relatively late when compared with NaCl or ABA treatments. Note: this protein (AtNAC6) on occasion has also been referred to as AtNAC2, not to be confused with the AtNAC2 found at locus AT3G15510."
"AT2G41450"	"AT2G41450"	9	6	6	"Regulator"	"N-acetyltransferase"
"AT4G34590"	"GBF6"	7	20	20	"Regulator"	"Encodes a basic domain leucine zipper (bZip) transcription factor bZIP11. Translation is repressed by sucrose. Directly regulates gene expression of ASN1 and ProDH2, which are enzyme-coding genes involved in amino acid metabolism."
"AT4G11880"	"AGL14"	12	10	10	"Regulator"	"AGL12, AGL14, and AGL17 are all preferentially expressed in root tissues and therefore represent the only characterized MADS box genes expressed in roots. The mRNA is cell-to-cell mobile."
"AT5G46690"	"BHLH071"	2	21	21	"Regulator"	"beta HLH protein 71"
"AT3G28920"	"HB34"	7	12	12	"Regulator"	"homeobox protein 34"
"AT5G10140"	"FLC"	3	6	6	"Regulator"	"MADS-box protein encoded by FLOWERING LOCUS C - transcription factor that functions as a repressor of floral transition and contributes to temperature compensation of the circadian clock. Expression is downregulated during cold treatment. Vernalization, FRI and the autonomous pathway all influence the state of FLC chromatin. Both maternal and paternal alleles are reset by vernalization, but their earliest activation differs in timing and location. Histone H3 trimethylation at lysine 4 and histone acetylation are associated with active FLC expression, whereas histone deacetylation and histone H3 dimethylation at lysines 9 and 27 are involved in FLC repression. Expression is also repressed by two small RNAs (30- and 24-nt) complementary to the FLC sense strand 3? to the polyA site. The small RNAs are most likely derived from an antisense transcript of FLC. Interacts with SOC1 and FT chromatin in vivo. Member of a protein complex."
"AT3G02830"	"ZFN1"	10	18	18	"Regulator"	"Encodes a zinc finger protein that binds to PORA mRNA in vivo and recruits the Pfr form of phytochrome to the 5&#8242"
